seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,pool_only_prompt_update,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch
0,10.0,0.16013889014720917,0.12211397960782051,0.20749999582767487,0.19235952645540239,0.49884822964668274,0.973440408706665,0.2,0.2261842042207718,0.032894738018512726,8,6876,0.025708895176649094,0.05141779035329819,0.5,0.003532067406922579,0.2747739553451538,0.27472320199012756,0.27480167150497437,0.48087137937545776,0.9977996349334717,0.03958193212747574,0.1538248509168625,0.1670238971710205,0.03957837074995041,0.04296189546585083,0.007916385307908058,0.051451243460178375,0.051444053649902344,0.05145842954516411,5.0,5.0,weighted_mean,1.0,0.03957837074995041,0.0,0.0,0.0,"[30019, 3438, 3438]",0.0,0.0,0.006534073501825333,True,50
1,40.0,0.24347221851348877,0.18940183371305466,0.21250000596046448,0.17155599296092988,0.48992329835891724,0.8721717596054077,0.2,0.22552631795406342,0.032894738018512726,8,6856,0.05586996674537659,0.05586996674537659,1.0,0.008171332068741322,0.2925125062465668,0.29251107573509216,0.29251351952552795,0.39042750000953674,0.8487154245376587,1.1340439319610596,4.023873329162598,0.44742923974990845,1.1351046562194824,0.12618888914585114,0.22680878639221191,0.05633779615163803,0.05625719577074051,0.05641840398311615,5.0,5.0,weighted_mean,1.0,1.1351046562194824,0.0,0.0,0.0,"[30019, 3428, 3428]",0.0,0.0,0.00616943184286356,True,80
2,85.0,0.2231944501399994,0.2129998743534088,0.21916666626930237,0.2033969521522522,0.46922817826271057,0.8974021077156067,0.2,0.22750000655651093,0.032894738018512726,8,6916,0.06306381523609161,0.06306381523609161,1.0,0.009989745914936066,0.3168138563632965,0.3168136775493622,0.31681397557258606,0.563406229019165,0.9415128231048584,0.12318578362464905,3.7121849060058594,0.10180959105491638,0.12331205606460571,0.0032268576323986053,0.2463715672492981,0.06490742415189743,0.0633876621723175,0.06642720103263855,0.5,0.5,weighted_mean,1.0,0.12331205606460571,0.0,0.0,0.0,"[30019, 3458, 3458]",0.0,0.0,0.0009295698255300522,False,100
