seed,test_label_cheat_enabled,test_label_cheat_fraction,actual_test_label_cheat_fraction,test_label_cheat_count,label_train_count,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,candidate_pool_enabled,candidate_pool_ratio,candidate_pool_count,candidate_pool_topk_count,candidate_pool_score_mean,candidate_pool_score_selected_mean,candidate_pool_structural_mean,candidate_pool_uncertainty_mean,candidate_pool_disagreement_mean,adapter_query_candidate_pool_mean_delta_ce,adapter_query_candidate_pool_positive_delta_ratio,adapter_query_outside_candidate_pool_mean_delta_ce,adapter_query_outside_candidate_pool_positive_delta_ratio,adapter_test_candidate_pool_mean_delta_ce,adapter_test_candidate_pool_positive_delta_ratio,adapter_test_outside_candidate_pool_mean_delta_ce,adapter_test_outside_candidate_pool_positive_delta_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_attribute_view,use_enhanced_role_view,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,attribute_view_weight,view_gate_entropy,semantic_route_margin,structural_route_margin,role_route_margin,attribute_route_margin,prompt_view_prior,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_delta_eps,prompt_correction_loss,prompt_anti_harm_loss,prompt_correction_supervised_count,prompt_correction_harmful_count,prompt_correction_target_norm,prompt_delta_logit_norm,prompt_delta_logit_label_alignment,harmful_prompt_delta_ratio,prompt_message_help_loss,prompt_message_help_query_loss,prompt_class_anti_harm_loss,class_balanced_mean_delta_ce,class_balanced_positive_delta_ratio,query_class_balanced_mean_delta_ce,query_class_balanced_positive_delta_ratio,message_help_supervised_count,message_help_query_supervised_count,message_help_class_count,message_help_query_class_count,message_help_margin,message_help_class_balanced,prompt_class_anti_harm_floor,utility_receive_gate_loss,utility_receive_gate_query_loss,receive_gate_budget,utility_gate_supervised_count,utility_gate_query_supervised_count,utility_gate_positive_count,utility_gate_query_positive_count,utility_gate_negative_count,utility_gate_query_negative_count,utility_gate_ignored_count,utility_gate_query_ignored_count,utility_gate_target_mean,utility_gate_query_target_mean,utility_gate_delta_corr_train,utility_gate_query_delta_corr,utility_gate_label_strategy,utility_gate_query_label_strategy,query_proto_alignment_loss,query_proto_supervised_count,query_proto_class_count,query_proto_mean_delta_dist,query_proto_positive_ratio,correction_alignment_loss,correction_alignment_anti_harm_loss,correction_alignment_node_count,correction_alignment_harmful_count,correction_alignment_cosine_mean,correction_alignment_delta_h_norm,correction_alignment_delta_ce_mean,support_query_enabled,support_only_prompt_graph,support_count,query_count,train_support_ratio,use_utility_receive_gate,utility_receive_gate_mean,utility_receive_gate_min,utility_receive_gate_max,utility_receive_gate_floor,benefit_gate_mean,benefit_gate_min,benefit_gate_max,use_edge_utility,edge_utility_mean,edge_utility_min,edge_utility_max,edge_utility_supervision_loss,edge_utility_supervised_count,edge_utility_positive_count,edge_utility_negative_count,edge_utility_ignored_count,edge_utility_target_mean,edge_utility_delta_ce_mean,edge_utility_delta_ce_positive_ratio,edge_utility_delta_corr_train,pool_strategy_id,pool_selected_ratio,pool_score_mean,pool_score_selected_mean,pool_uncertainty_mean,pool_disagreement_mean,use_hard_receive_gate,hard_receive_ratio,hard_receive_selected_ratio,receive_gate_mean,receive_gate_min,receive_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,pattern_prompt_usage_entropy,dominant_prompt_slot_ratio,active_prompt_slot_count@0.05,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,correction_norm,node_to_prompt_update_norm,raw_prompt_update_norm,unbounded_prompt_update_norm,prompt_update_clip_ratio,bounded_correction_clip_ratio,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,bounded_prompt_update,max_prompt_update_norm,prompt_update_bound_mode,receiver_version,prompt_fusion,prompt_slot_head_count,prototype_direction_strength_mean,prototype_direction_normalize,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,init_prompt_adapter_update_norm,prompt_adapter_enabled,prompt_adapter_update_norm,prompt_adapter_update_max_norm,prompt_adapter_raw_delta_norm,prompt_adapter_delta_norm,prompt_adapter_gate_mean,prompt_adapter_gate_min,prompt_adapter_gate_max,prompt_adapter_raw_gate_mean,prompt_adapter_raw_gate_min,prompt_adapter_raw_gate_max,prompt_adapter_update_mask_ratio,prompt_adapter_clip_ratio,high_frequency_norm,low_frequency_norm,adapter_query_mean_delta_ce,adapter_query_positive_delta_ratio,adapter_query_mean_ce_no_prompt,adapter_query_mean_ce_prompt,adapter_query_count,adapter_train_mean_delta_ce,adapter_train_positive_delta_ratio,adapter_val_mean_delta_ce,adapter_val_positive_delta_ratio,adapter_test_mean_delta_ce,adapter_test_positive_delta_ratio,prompt_adapter_update_norm_loss,prompt_adapter_gate_budget_loss,prompt_adapter_gate_consistency_loss,prompt_adapter_delta_consistency_loss,prompt_adapter_episode_count,support_context_enabled,support_context_available,support_context_coverage,support_context_count,support_similarity_margin,support_similarity_entropy,support_reliability_mean,support_reliability_min,support_reliability_max,support_topk_mean_score,prompt_adapter_message_help_loss,prompt_adapter_message_help_mean_delta_ce,prompt_adapter_message_help_positive_ratio,prompt_adapter_message_help_count,prompt_adapter_message_help_anti_harm_loss,prompt_adapter_utility_gate_loss,prompt_adapter_utility_gate_target_mean,prompt_adapter_utility_gate_count,prompt_adapter_utility_gate_delta_mean,prompt_adapter_utility_gate_positive_ratio,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_mean_delta_ce_train_pool,utility_positive_delta_ratio_train_pool,utility_mean_delta_ce_val_pool,utility_positive_delta_ratio_val_pool,utility_mean_delta_ce_test_pool,utility_positive_delta_ratio_test_pool,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,False,0.1,0.0,0,230,115.0,0.36900368332862854,0.3502773463726044,0.36900368332862854,0.35031611323356626,0.4799506962299347,0.9914815425872803,0.0,0.39042600989341736,0.10101009905338287,1.0,0.39042600989341736,889.0,684.0,0.5364968776702881,0.6263994574546814,0.48051366209983826,0.8036396503448486,0.290144145488739,0.002729919816677769,0.7746031880378723,0.0,0.0,0.00027292800950817764,0.5109243988990784,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quantile,quantile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,125.0,105.0,0.5434782608695652,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03369586169719696,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,0.0001239776611328125,0.0001239776611328125,0.0009699929505586624,1.0,0.0038749612091730037,0.037049793948729835,0.03673099974791209,0.03366099918882052,0.39877792199452716,0.13802513976891836,0.9847699006398519,0.39877792199452716,0.13802513976891836,0.9847699006398519,0.39042600989341736,0.3847167293230693,1.9139505624771118,0.7580805420875549,0.002732018008828163,0.7523809671401978,0.6565942168235779,0.6538622379302979,105.0,0.0027739880606532097,0.7739130258560181,0.0001746686320984736,0.24666666984558105,8.560472633689642e-05,0.16025303304195404,0.0001321738527622074,0.031333692371845245,0.0007239377009682357,0.004410627763718367,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0029862459438542524,0.002729919816677769,0.7746031880378723,105.0,1.4584791803902894e-07,0.7323197523752848,0.5340543389320374,104.0,0.002729919816677769,0.7746031880378723,True,155,,,,,,,,,,,,,
1,False,0.1,0.0,0,230,55.0,0.35793358087539673,0.3062256991863251,0.3584607243537903,0.3062675714492798,0.4974764585494995,0.9999399781227112,0.0,0.37505489587783813,0.10101009905338287,1.0,0.37505489587783813,854.0,684.0,0.5944445729255676,0.6752912998199463,0.5656938552856445,0.9849684834480286,0.17237593233585358,0.000781457774185886,0.7365079522132874,0.0,0.0,0.0002408902655588463,0.6395147442817688,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quantile,quantile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,125.0,105.0,0.5434782608695652,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019965482875704765,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,8.83340835571289e-05,8.83340835571289e-05,0.0009683421230874956,1.0,0.002417441535120209,0.02160722389817238,0.019989121705293655,0.019974202538530033,0.33626579244931537,0.12741504112879434,0.6754323244094849,0.33626579244931537,0.12741504112879434,0.6754323244094849,0.37505489587783813,0.015663885821898777,0.6158854961395264,0.2660699784755707,0.0007718500564806163,0.7523809671401978,1.4257937669754028,1.4250218868255615,105.0,0.0007705846801400185,0.7260869741439819,6.033301178831607e-05,0.20000000298023224,7.327026105485857e-05,0.19451765716075897,5.376394256018102e-05,0.038349177688360214,0.00015803583664819598,0.0011317497119307518,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.004234348113338153,0.000781457774185886,0.7365079522132874,105.0,2.641490084442921e-07,0.7620182434717814,0.5097711284955343,104.66666666666667,0.000781457774185886,0.7365079522132874,True,95,,,,,,,,,,,,,
2,False,0.1,0.0,0,230,195.0,0.3294675946235657,0.264504936337471,0.3294675946235657,0.264504936337471,0.49853670597076416,0.9998446106910706,0.0,0.3706631660461426,0.10101009905338287,1.0,0.3706631660461426,844.0,684.0,0.6059880256652832,0.6782659292221069,0.627466082572937,0.9947623014450073,0.12736056745052338,0.0014078087794284027,0.5555555820465088,0.0,0.0,0.0001999257947318256,0.41578948497772217,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quantile,quantile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,125.0,105.0,0.5434782608695652,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019428415223956108,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0]",0.0,6.224215030670166e-05,6.224215030670166e-05,0.0009619998163543642,1.0,0.002603211129705111,0.029444364209969837,0.02158639331658681,0.01942046048740546,0.38217462102572125,0.16231578091780344,0.7490620414415995,0.38217462102572125,0.16231578091780344,0.7490620414415995,0.3706631660461426,0.19543258349100748,0.43706488609313965,0.22015687823295593,0.0015112292021512985,0.5714285969734192,1.4999163150787354,1.4984052181243896,105.0,0.0013308856869116426,0.5782608985900879,8.282899943878874e-05,0.11999999731779099,6.007259071338922e-05,0.1249341070652008,9.387177851749584e-05,0.05663594603538513,0.00021406651649158448,0.007501085288822651,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0037279510870575905,0.0014078087794284027,0.5555555820465088,105.0,1.868867040381398e-07,0.7361536224683126,0.5176992217699686,104.0,0.0014078087794284027,0.5555555820465088,False,200,,,,,,,,,,,,,
