seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch
0,65.0,0.2613186240196228,0.2307244896888733,0.2601867616176605,0.235595640540123,0.48130759596824646,0.9960407614707947,0.2,0.23907895386219025,0.05026315897703171,8,7268,0.05979172885417938,0.05979172885417938,1.0,1.0,0.33392006158828735,0.3346729874610901,0.33140692114830017,0.9999918341636658,0.002994522452354431,0.2067386358976364,0.18591201305389404,0.23492053151130676,1.0,0.10000000149011612,0.10016510635614395,3.136890518362634e-05,0.0,0.0,0.0,0.0,382.0,0.0,0.41980206966400146,0.9991855025291443,0.0,0.0,0.0,0.0,0.0,0.0,0.060013990849256516,0.060013990849256516,0.060013990849256516,0.0,0.0,weighted_mean,1.0,1.0,0.0,0.0,0.0,0.0,"[30019, 3634, 3634]",0.0,0.0,0.0,False,80
1,35.0,0.2662705183029175,0.19463264830410482,0.27320316433906555,0.2408313050866127,0.4918171167373657,0.999991238117218,0.2,0.2402631640434265,0.05026315897703171,8,7304,0.05510825663805008,0.05510825663805008,1.0,1.0,0.33239680528640747,0.33171236515045166,0.33589082956314087,0.9999864101409912,0.0027614489663392305,0.203779399394989,0.18569333851337433,0.22820605337619781,1.0,0.10000000149011612,0.10021905601024628,3.012232446053531e-05,0.0,0.0,0.0,0.0,382.0,0.0,0.35659751296043396,0.9989646673202515,0.0,0.0,0.0,0.0,0.0,0.0,0.05521122366189957,0.05521122366189957,0.05521122366189957,0.0,0.0,weighted_mean,1.0,1.0,0.0,0.0,0.0,0.0,"[30019, 3652, 3652]",0.0,0.0,0.0,True,75
2,5.0,0.26004526019096375,0.09012727290391923,0.25990378856658936,0.08316022627986967,0.49998486042022705,1.0,0.2,0.24157895147800446,0.05026315897703171,8,7344,0.012676122598350048,0.05070449039340019,0.25,1.0,0.32849493622779846,0.33023831248283386,0.34126678109169006,0.9998667240142822,0.0006351869669742882,0.2661564350128174,0.2546955645084381,0.2695091664791107,1.0,0.10000000149011612,0.10021786391735077,0.004513263702392578,0.0,0.0,0.0,0.0,382.0,0.0,0.5157154202461243,0.9959706664085388,2.78945321952051e-06,0.0005480432300828397,0.002409747801721096,2.7795249479822814e-06,1.22215797091485e-05,2.7894533559447154e-05,0.05071725323796272,0.05071725323796272,0.05071725323796272,0.10000000149011612,0.1,weighted_mean,1.0,1.0,2.7795249479822814e-06,0.0,0.0,0.0,"[30019, 3672, 3672]",0.0,0.0,0.0,True,45
