node_id,label,ce_no_prompt,ce_prompt,delta_ce,benefited,primary_prompt_slot,acceptance_gate,structural_score
10,1,0.07951496541500092,0.07678677886724472,0.002728186547756195,True,19,1.0,0.6666666865348816
32,2,0.012012285180389881,0.011547747999429703,0.0004645371809601784,True,19,1.0,0.6666666865348816
153,2,0.08387773483991623,0.08104294538497925,0.002834789454936981,True,19,1.0,0.47475698590278625
155,3,0.2861032783985138,0.27191799879074097,0.014185279607772827,True,19,1.0,0.6666666865348816
158,2,0.14478757977485657,0.1398928314447403,0.004894748330116272,True,19,1.0,0.6666666865348816
163,3,0.3659767508506775,0.3499666154384613,0.016010135412216187,True,19,1.0,0.6666666865348816
165,4,0.4555510878562927,0.43828919529914856,0.017261892557144165,True,19,1.0,0.6666666865348816
174,2,0.14817176759243011,0.14326158165931702,0.004910185933113098,True,19,1.0,0.5206076502799988
197,2,0.02308528684079647,0.02244252897799015,0.0006427578628063202,True,19,1.0,0.30238115787506104
210,3,0.2800995111465454,0.2664088010787964,0.013690710067749023,True,19,1.0,0.6666666865348816
244,3,0.3823210895061493,0.3660847246646881,0.01623636484146118,True,19,1.0,0.6666666865348816
310,3,0.7175674438476562,0.7178911566734314,-0.0003237128257751465,False,19,1.0,0.03474677726626396
315,2,1.5678631067276,1.5616178512573242,0.006245255470275879,True,19,1.0,0.6666666865348816
362,3,0.19815365970134735,0.18783074617385864,0.010322913527488708,True,19,1.0,0.6666666865348816
420,3,0.20774565637111664,0.1972048282623291,0.010540828108787537,True,19,1.0,0.6666666865348816
452,2,0.018381254747509956,0.017759941518306732,0.0006213132292032242,True,19,1.0,0.6666666865348816
459,0,0.007123429793864489,0.007075964938849211,4.746485501527786e-05,True,19,1.0,0.8053434491157532
494,1,0.019467830657958984,0.01871545985341072,0.0007523708045482635,True,19,1.0,0.6666666865348816
502,3,0.28763875365257263,0.2733573019504547,0.01428145170211792,True,19,1.0,0.6666666865348816
503,1,0.047745414078235626,0.045943211764097214,0.0018022023141384125,True,19,1.0,0.6666666865348816
505,1,1.3498973846435547,1.3404064178466797,0.009490966796875,True,19,1.0,0.2072746306657791
