metric,mean_std
best_test_acc_mean_std,36.60 ± 1.67
best_test_macro_f1_mean_std,34.71 ± 2.73
best_test_auroc_mean_std,65.86 ± 1.19
best_test_auprc_mean_std,32.02 ± 0.89
final_test_acc_mean_std,36.65 ± 0.92
final_test_macro_f1_mean_std,34.97 ± 1.84
final_test_auroc_mean_std,65.03 ± 1.14
final_test_auprc_mean_std,31.63 ± 0.85
