seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,receiver_version,prompt_fusion,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch
0,65.0,0.3396320343017578,0.32143778800964357,0.33515664935112,0.31850009858608247,0.4797361195087433,0.9935217499732971,0.2,0.23847167193889618,0.05094422399997711,8,2172,0.05979172885417938,0.05979172885417938,1.0,1.0,1.0,5.0,2.0,1.0,0.022944476455450058,0.9752810001373291,0.0017744684591889381,0.10645580291748047,0.0030281259678304195,0.20707471668720245,0.18900024890899658,0.238007590174675,1.0,0.10000000149011612,0.10128913074731827,4.96996653964743e-05,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37310969829559326,0.014010990038514137,0.9655172228813171,0.3478260934352875,0.3836633563041687,0.9300911854103343,0.2957306578755379,0.07935953885316849,0.6799708008766174,0.8695994019508362,0.9861090779304504,0.0,0.0,0.0,0.0,0.0,0.0,0.012112944386899471,0.012112944386899471,0.012112944386899471,0.012112944386899471,0.0,0.0,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.0,0.0,0.0,0.0,"[36101, 1086, 1086]",0.0,0.0,0.0,False,80
1,35.0,0.36946791410446167,0.3261299952864647,0.3460964560508728,0.3354174643754959,0.4913848638534546,0.9999808073043823,0.2,0.24110671877861023,0.05094422399997711,8,2196,0.05510825663805008,0.05510825663805008,1.0,1.0,1.0,5.0,2.0,1.0,0.3667854964733124,0.5246610641479492,0.10855337232351303,0.8582260012626648,0.0027604319620877504,0.20264461636543274,0.19413641095161438,0.22833023965358734,1.0,0.10000000149011612,0.10018214583396912,2.4665419005032163e-06,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5676650404930115,0.14545801281929016,0.9568965435028076,0.3870967626571655,0.4029850661754608,0.9136745607333843,0.296931691467762,0.08658654987812042,0.5372456312179565,0.8208994269371033,0.9914000630378723,0.0,0.0,0.0,0.0,0.0,0.0,0.011092336848378181,0.011092336848378181,0.011092336848378181,0.011092336848378181,0.0,0.0,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.0,0.0,0.0,0.0,"[36101, 1098, 1098]",0.0,0.0,0.0,True,75
2,60.0,0.3092988431453705,0.2912252753973007,0.30581799149513245,0.28731762170791625,0.4814531207084656,0.9956528544425964,0.2,0.24418093264102936,0.05094422399997711,8,2224,0.058992378413677216,0.058992378413677216,1.0,1.0,1.0,5.0,2.0,1.0,0.04446542263031006,0.9526548385620117,0.0028797604609280825,0.1768556833267212,0.002970839152112603,0.20683804154396057,0.19071634113788605,0.232809379696846,1.0,0.10000000149011612,0.10071942210197449,4.7290126531152055e-05,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3831914961338043,0.01407854538410902,0.9655172228813171,0.3611111044883728,0.3391089141368866,0.9276466108149276,0.27193692326545715,0.07577958703041077,0.6844414472579956,0.859959602355957,0.9797787666320801,0.0,0.0,0.0,0.0,0.0,0.0,0.011937329545617104,0.011937329545617104,0.011937329545617104,0.011937329545617104,0.0,0.0,layernorm,v2_conditioned,residual_gate,1.0,1.0,0.0,0.0,0.0,0.0,"[36101, 1112, 1112]",0.0,0.0,0.0,False,80
