tag,overrides,best_acc_mean,best_acc_std,best_f1_mean,best_f1_std,best_auroc_mean,best_auroc_std,best_auprc_mean,best_auprc_std,final_acc_mean,final_acc_std,final_f1_mean,final_f1_std
baseline,{},0.3659989446401596,0.016651622292630553,0.34708910673856735,0.0272990970450754,0.6586465167999267,0.011854101277724126,0.3202101081609726,0.008857657300211806,0.36647337675094604,0.009232776064793193,0.3496846807934344,0.018386084905939036
edge010,"{""node_feature_edge_gate_strength"": 0.1}",0.36779125332832335,0.017157924009937747,0.34919369369745257,0.027646742242359256,0.6577879738807678,0.010571148267657229,0.3199709677696228,0.008527028323171619,0.36689509749412536,0.010043515221905035,0.3503807411529124,0.01871622226851309
harm010,"{""lambda_p23_feature_harm"": 0.1}",0.36647337675094604,0.01696532623664018,0.34745030403137206,0.02749970377819631,0.6588477754592895,0.011511956372785513,0.32017653793096545,0.008992925653164226,0.36663152277469635,0.009335886061745473,0.3498206166364253,0.0184575993076231
