node_id,label,ce_no_prompt,ce_prompt,delta_ce,benefited,primary_prompt_slot,acceptance_gate,structural_score
7,4,1.2722728252410889,1.2564854621887207,0.015787363052368164,True,4,1.0,0.25430068373680115
36,0,2.5734457969665527,2.571411609649658,0.0020341873168945312,True,1,1.0,0.23813927173614502
62,4,1.4201312065124512,1.4049022197723389,0.015228986740112305,True,4,1.0,0.40308108925819397
64,3,1.283664345741272,1.2812840938568115,0.0023802518844604492,True,4,1.0,0.2812615633010864
88,1,1.1906003952026367,1.1849919557571411,0.0056084394454956055,True,0,1.0,0.6666666865348816
110,2,0.8721297979354858,0.8680433630943298,0.004086434841156006,True,1,1.0,0.10111987590789795
147,4,1.406235694885254,1.3936164379119873,0.012619256973266602,True,4,1.0,0.33676108717918396
149,0,2.25079345703125,2.247410774230957,0.0033826828002929688,True,0,1.0,0.3150348961353302
156,1,1.2499473094940186,1.2444638013839722,0.005483508110046387,True,0,1.0,0.6666666865348816
218,2,1.461428165435791,1.4570250511169434,0.004403114318847656,True,1,1.0,0.1213761568069458
220,4,1.2529791593551636,1.252159833908081,0.0008193254470825195,True,1,1.0,0.26270949840545654
265,4,1.4320392608642578,1.416525959968567,0.015513300895690918,True,4,1.0,0.5043092370033264
270,0,3.27398943901062,3.3077492713928223,-0.03375983238220215,False,4,1.0,0.43832436203956604
309,4,1.259616732597351,1.2428762912750244,0.01674044132232666,True,4,1.0,0.6666666865348816
368,1,1.6561744213104248,1.6518774032592773,0.004297018051147461,True,1,1.0,0.11095348000526428
386,0,1.2106229066848755,1.2029668092727661,0.007656097412109375,True,0,1.0,0.6666666865348816
393,3,1.185315489768982,1.1811715364456177,0.004143953323364258,True,4,1.0,0.08888677507638931
411,3,1.0606402158737183,1.0605658292770386,7.43865966796875e-05,True,4,1.0,0.1694568395614624
423,2,1.3946852684020996,1.3883053064346313,0.006379961967468262,True,2,1.0,0.387266606092453
424,3,1.3032251596450806,1.3036442995071411,-0.0004191398620605469,False,2,1.0,0.1556338518857956
430,2,1.046697735786438,1.0461715459823608,0.0005261898040771484,True,1,1.0,0.6666666865348816
449,4,1.2971242666244507,1.2813397645950317,0.015784502029418945,True,4,1.0,0.3247237503528595
450,2,1.4640464782714844,1.4645969867706299,-0.0005505084991455078,False,1,1.0,0.22541575133800507
