seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_delta_eps,prompt_correction_loss,prompt_anti_harm_loss,prompt_correction_supervised_count,prompt_correction_harmful_count,prompt_correction_target_norm,prompt_delta_logit_norm,prompt_delta_logit_label_alignment,harmful_prompt_delta_ratio,prompt_message_help_loss,prompt_class_anti_harm_loss,class_balanced_mean_delta_ce,class_balanced_positive_delta_ratio,message_help_supervised_count,message_help_class_count,message_help_margin,message_help_class_balanced,prompt_class_anti_harm_floor,benefit_gate_mean,benefit_gate_min,benefit_gate_max,use_hard_receive_gate,hard_receive_ratio,hard_receive_selected_ratio,receive_gate_mean,receive_gate_min,receive_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,dominant_prompt_slot_ratio,active_prompt_slot_count@0.05,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,correction_norm,node_to_prompt_update_norm,raw_prompt_update_norm,unbounded_prompt_update_norm,prompt_update_clip_ratio,bounded_correction_clip_ratio,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,bounded_prompt_update,max_prompt_update_norm,prompt_update_bound_mode,receiver_version,prompt_fusion,prompt_slot_head_count,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,60.0,0.3406265676021576,0.3232650846242905,0.3406265676021576,0.3245481997728348,0.4808330833911896,0.9804189801216125,0.2,0.23847167193889618,0.05094422399997711,16,2172,0.058992378413677216,0.058992378413677216,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.34621429443359375,0.3498036861419678,0.3039819896221161,0.9981992840766907,0.029496191069483757,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007271742215380073,0.0,0.031680602580308914,0.9739130139350891,116.0,5.0,0.005,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9999999403953552,1.0000001192092896,1.6114566326141357,1.8536697626113892,0.0,0.0,0.0,0.19490254872563717,0.8953433986753225,0.00047905821702443063,0.0005152543308213353,0.0515599250793457,0.5093163251876831,0.7028144001960754,1.0,0.04480116069316864,1.8324253559112549,0.002845690818503499,0.045115385204553604,0.045115385204553604,8.337578037753701e-05,0.21829408407211304,0.05457352101802826,0.174007847905159,0.174007847905159,0.1186029464006424,0.117195725440979,0.12001018226146698,0.12001018226146698,0.25,0.25,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.045115385204553604,0.0,0.0,0.0,"[36101, 1086, 1086]",0.0,0.0,0.0,False,80,0.25,0.036806728690862656,0.9741379022598267,0.3629056215286255,0.32609885931015015,0.0,0.10197734832763672
0,65.0,0.34858280420303345,0.3324427306652069,0.3401292860507965,0.3255141705274582,0.4791434705257416,0.9762531518936157,0.2,0.23891085386276245,0.05094422399997711,16,2176,0.05979172885417938,0.05979172885417938,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.3432375490665436,0.34868156909942627,0.30808088183403015,0.9986571073532104,0.029895862564444542,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003594979061745107,0.0,0.05002834275364876,0.9913043975830078,116.0,5.0,0.005,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9999999403953552,1.0000001192092896,1.6103029251098633,1.8849586248397827,0.0,0.0,0.0,0.19490254872563717,0.899565564468503,0.000642747210804373,0.0006878124549984932,0.052324943244457245,0.5103943943977356,0.7018964290618896,1.0,0.04362863302230835,0.9236240386962891,0.0016291660722345114,0.043934520334005356,0.043934520334005356,9.66938168858178e-05,0.11122014373540878,0.05561007186770439,0.10902747511863708,0.10902747511863708,0.11992323398590088,0.11870571225881577,0.12114075571298599,0.12114075571298599,0.5,0.5,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.043934520334005356,0.0,0.0,0.0,"[36101, 1088, 1088]",0.0,0.0,0.0,False,80,0.5,0.051103658974170685,0.982758641242981,0.36821478605270386,0.3171111047267914,0.0,0.16360966861248016
0,65.0,0.34808552265167236,0.33148414492607114,0.3411238193511963,0.32645046412944795,0.47948771715164185,0.9729254841804504,0.2,0.23935002088546753,0.05094422399997711,16,2180,0.05979172885417938,0.05979172885417938,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.33963677287101746,0.343963623046875,0.31639963388442993,0.9993951916694641,0.029895862564444542,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002771356957964599,0.0,0.06228743866086006,0.9826086759567261,116.0,5.0,0.005,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9999999403953552,1.0000001192092896,1.6139925718307495,1.8522545099258423,0.0,0.0,0.0,0.19490254872563717,0.888426436111331,0.0017227674834430218,0.001778290723450482,0.0582466758787632,0.5449658036231995,0.6739798784255981,1.0,0.04319535940885544,0.5256375074386597,0.0034019267186522484,0.04349604249000549,0.04349604249000549,0.00040380784776061773,0.06253793090581894,0.06253793090581894,0.1389010101556778,0.1389010101556778,0.11928527057170868,0.11870385706424713,0.11986667662858963,0.11986667662858963,1.0,1.0,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.04349604249000549,0.0,0.0,0.0,"[36101, 1090, 1090]",0.0,0.0,0.0,False,80,1.0,0.057085372507572174,1.0,0.37222525477409363,0.31513985991477966,0.0,0.14355750381946564
1,75.0,0.34211835265159607,0.32905031442642213,0.34361013770103455,0.33309590220451357,0.47444334626197815,0.9610020518302917,0.2,0.24110671877861023,0.05094422399997711,16,2196,0.06141285225749016,0.06141285225749016,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.34395357966423035,0.34599584341049194,0.3100505471229553,0.9988735914230347,0.030706429854035378,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016050273552536964,0.0,0.03336315602064133,0.9491143226623535,116.0,5.0,0.005,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9999999403953552,1.0000001192092896,1.6155489683151245,1.739621877670288,0.0,0.0,0.0,0.19490254872563717,0.8810641802847385,0.0006413808441720903,0.0006903238827362657,0.06868721544742584,0.5668047070503235,0.6555283069610596,1.0,0.044268831610679626,1.617680311203003,0.0015282861422747374,0.04457957297563553,0.04457957297563553,4.652334246202372e-05,0.20146554708480835,0.05036638677120209,0.15263846516609192,0.15263846516609192,0.12360011041164398,0.12176626920700073,0.12543395161628723,0.12543395161628723,0.25,0.25,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.04457957297563553,0.0,0.0,0.0,"[36101, 1098, 1098]",0.0,0.0,0.0,False,80,0.25,0.031803760677576065,0.9482758641242981,0.33143675327301025,0.2996329665184021,0.0,0.07751413434743881
1,75.0,0.3451019525527954,0.3322527766227722,0.3446046710014343,0.33542217016220094,0.4751547873020172,0.9615649580955505,0.2,0.24110671877861023,0.05094422399997711,16,2196,0.06141285225749016,0.06141285225749016,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.33945080637931824,0.3518202602863312,0.30872905254364014,0.9986435174942017,0.03070642240345478,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011080021504312754,0.0,0.046400632709264755,0.9739130139350891,116.0,5.0,0.005,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9999999403953552,1.0000001192092896,1.6109756231307983,1.8176212310791016,0.0,0.0,0.0,0.19490254872563717,0.8887955378741026,0.0027501063887029886,0.002950855065137148,0.05930523946881294,0.5446040630340576,0.6741403341293335,1.0,0.04347947984933853,0.860236644744873,0.0010703564621508121,0.04378454387187958,0.04378454387187958,6.516510620713234e-05,0.10605443269014359,0.05302721634507179,0.09027475118637085,0.09027475118637085,0.12291434407234192,0.12176492810249329,0.12406376004219055,0.12406376004219055,0.5,0.5,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.04378454387187958,0.0,0.0,0.0,"[36101, 1098, 1098]",0.0,0.0,0.0,False,80,0.5,0.045177631080150604,0.9655172228813171,0.3358341157436371,0.2906564772129059,0.0,0.16323381662368774
1,20.0,0.35902535915374756,0.3114779483526945,0.32769766449928284,0.3106264114379883,0.49542105197906494,0.9887373447418213,0.2,0.24110671877861023,0.05094422399997711,16,2196,0.05286979675292969,0.05286979675292969,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.33100929856300354,0.3345414996147156,0.3344492018222809,0.9999889135360718,0.026434898376464844,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015572597039863467,0.0,0.012510274536907673,0.8608695864677429,116.0,5.0,0.005,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9999998807907104,1.0000001192092896,1.6124227046966553,0.3973010182380676,0.0,0.0,0.0,0.19490254872563717,0.6974219493567944,0.0030187054071575403,0.003323283279314637,0.2956647276878357,0.9967354536056519,0.09746017307043076,16.0,0.03560894727706909,0.4543769955635071,0.013990667648613453,0.03584878891706467,0.03584878891706467,0.0014763318467885256,0.04773039370775223,0.04773039370775223,0.11971216648817062,0.11971216648817062,0.1056506484746933,0.10552216321229935,0.10577914118766785,0.10577914118766785,1.0,1.0,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.03584878891706467,0.0,0.0,0.0,"[36101, 1098, 1098]",0.0,0.0,0.0,True,60,1.0,0.05984698608517647,0.9741379022598267,0.5232101678848267,0.46336326003074646,0.0,0.23654977977275848
2,65.0,0.31029337644577026,0.2934269905090332,0.30432620644569397,0.2859063744544983,0.47864073514938354,0.978587806224823,0.2,0.243302583694458,0.05094422399997711,16,2216,0.05979172885417938,0.05979172885417938,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.3457719385623932,0.34715309739112854,0.30707502365112305,0.9985669255256653,0.029895862564444542,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024087035562843084,0.0,0.030949139967560768,0.9652174115180969,116.0,5.0,0.005,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9999999403953552,1.0000001192092896,3.080496072769165,1.493869662284851,0.17241379618644714,0.23529411852359772,0.18069307506084442,0.19490254872563717,0.22333256714046001,0.0005790317663922906,0.0007142507238313556,0.050427697598934174,0.5122301578521729,0.7005804181098938,1.0,0.04202781245112419,1.5914686918258667,0.0028875130228698254,0.04232253134250641,0.04232253134250641,8.569297642679885e-05,0.1928848922252655,0.048221223056316376,0.060183167457580566,0.060183167457580566,0.12035543471574783,0.11870816349983215,0.12200270593166351,0.12200270593166351,0.25,0.25,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.04232253134250641,0.0,0.0,0.0,"[36101, 1108, 1108]",0.0,0.0,0.0,False,80,0.25,0.030791645869612694,0.982758641242981,0.3425402343273163,0.31174856424331665,0.0,-0.08030126988887787
2,65.0,0.31079065799713135,0.2946204483509064,0.3147687613964081,0.299873012304306,0.47921836376190186,0.9722981452941895,0.2,0.24374176561832428,0.05094422399997711,16,2220,0.05979172885417938,0.05979172885417938,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.3398575782775879,0.3488808870315552,0.31126153469085693,0.9989369511604309,0.02989586442708969,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028453306294977665,0.0,0.042513228952884674,0.9826086759567261,116.0,5.0,0.005,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9999999403953552,1.0000001192092896,1.6095459461212158,1.8254607915878296,0.0,0.0,0.0,0.19490254872563717,0.8893566150218248,0.00064875214593485,0.0007732569938525558,0.059164050966501236,0.5508402585983276,0.6694379448890686,1.0,0.043307095766067505,0.9302608370780945,0.002799590118229389,0.043610237538814545,0.043610237538814545,0.0001661635615164414,0.11186376214027405,0.055931881070137024,0.09703445434570312,0.09703445434570312,0.1197410374879837,0.11870680004358292,0.12077527493238449,0.12077527493238449,0.5,0.5,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.043610237538814545,0.0,0.0,0.0,"[36101, 1110, 1110]",0.0,0.0,0.0,False,80,0.5,0.04241980239748955,0.982758641242981,0.34382352232933044,0.301403671503067,0.0,0.007820134982466698
2,60.0,0.32073596119880676,0.3059758275747299,0.3147687613964081,0.3010809749364853,0.48149389028549194,0.9707520008087158,0.2,0.24374176561832428,0.05094422399997711,16,2220,0.058992378413677216,0.058992378413677216,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.3352125883102417,0.3402562737464905,0.3245311975479126,0.9998234510421753,0.02949618734419346,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024733836762607098,0.0,0.05471944808959961,0.9826086759567261,116.0,5.0,0.005,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9999999403953552,1.0000001192092896,1.6090354919433594,1.8460280895233154,0.0,0.0,0.0,0.19490254872563717,0.8927619513124228,0.000751300307456404,0.0008381390944123268,0.05709336698055267,0.5415782332420349,0.6773187518119812,1.0,0.04377005994319916,0.5481356978416443,0.005502671003341675,0.044073089957237244,0.044073089957237244,0.0006448604981414974,0.06420426815748215,0.06420426815748215,0.11862189322710037,0.11862189322710037,0.11750832945108414,0.11719302833080292,0.11782363057136536,0.11782363057136536,1.0,1.0,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.044073089957237244,0.0,0.0,0.0,"[36101, 1110, 1110]",0.0,0.0,0.0,False,80,1.0,0.05018825829029083,0.982758641242981,0.34738945960998535,0.2972012162208557,0.0,0.02820989303290844
