seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,early_stopped,stopped_epoch
0,1.0,0.2031436562538147,0.09920828128233553,0.20632709562778473,0.19225900769233703,0.5,1.0,True,41
1,10.0,0.22025467455387115,0.13365017785690725,0.20871467888355255,0.19837096333503723,0.49804744124412537,1.0,True,50
2,28.0,0.22781535983085632,0.19060532599687577,0.22602467238903046,0.21877513825893402,0.4931480288505554,0.9999740719795227,True,68
3,8.0,0.22761639952659607,0.14299228452146054,0.2262236326932907,0.21200972944498062,0.4985632598400116,1.0,True,48
4,38.0,0.21030640602111816,0.19576530233025552,0.2134898453950882,0.20119548290967942,0.4900510609149933,0.9999090433120728,True,78
