dataset,seed,prompt_variant,run_dir,checkpoint_path,selected_message_scale,edge_scale_multiplier,num_nodes,test_nodes,pool_nodes,test_pool_nodes,pool_ratio,test_pool_ratio,test_acc_prompt_off,test_acc_prompt_on,test_pool_acc_prompt_off,test_pool_acc_prompt_on,test_non_pool_acc_prompt_off,test_non_pool_acc_prompt_on,test_fixed_by_prompt,test_broken_by_prompt,test_pool_fixed_by_prompt,test_pool_broken_by_prompt,test_non_pool_fixed_by_prompt,test_non_pool_broken_by_prompt,test_prediction_change_ratio,test_pool_prediction_change_ratio,test_non_pool_prediction_change_ratio,pool_error_precision_test,pool_error_recall_test,pool_low_conf_overlap_test,pool_low_margin_overlap_test,pool_high_structural_overlap_test,structural_score_pool_mean,structural_score_non_pool_mean,structural_score_test_wrong_mean,structural_score_test_correct_mean,confidence_off_pool_mean,confidence_off_non_pool_mean,margin_off_pool_mean,margin_off_non_pool_mean,h_delta_norm_pool_mean,h_delta_norm_non_pool_mean,logit_delta_norm_pool_mean,logit_delta_norm_non_pool_mean,prompt_usage_distribution,prompt_usage_full_distribution,prompt_usage_entropy,prompt_usage_full_entropy
Actor,0,p2_strength,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/Actor/20260606_202626/scale_5p0/seed_0,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/Actor/20260606_202626/scale_5p0/seed_0/best_model.pt,5.0,1.0,7600,7425,1542,1482,0.20289473235607147,0.19959595799446106,0.23191919922828674,0.22329966723918915,0.20715250074863434,0.16396760940551758,0.2380952388048172,0.2380952388048172,137,201,137,201,0,0,0.11892256140708923,0.5958164930343628,0.0,0.7928475141525269,0.20603191302823076,0.1524966261808367,0.1882591093117409,0.9109311740890689,0.6677798628807068,0.3729323744773865,0.4347623884677887,0.4265795052051544,0.2621222734451294,0.2521003484725952,0.04828980565071106,0.03839610144495964,10.685261726379395,0.0,4.043944835662842,0.0,"[5.5660493671894073e-05, 0.6454872488975525, 0.0022301531862467527, 0.0, 0.005430961027741432, 0.27365002036094666, 0.0727461501955986, 0.00039989108336158097]","[0.0700971782207489, 0.3801356554031372, 0.07032079249620438, 0.06883297860622406, 0.07065241038799286, 0.1923605352640152, 0.07749620079994202, 0.07010424882173538]",0.42004290223121643,0.8722053170204163
Actor,1,p2_strength,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/Actor/20260606_202626/scale_5p0/seed_1,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/Actor/20260606_202626/scale_5p0/seed_1/best_model.pt,5.0,1.0,7600,7425,1537,1480,0.2022368460893631,0.19932660460472107,0.20188552141189575,0.2074074000120163,0.19729728996753693,0.22499999403953552,0.20302775502204895,0.20302775502204895,187,146,187,146,0,0,0.09804713726043701,0.49189189076423645,0.0,0.8027027249336243,0.20047249409382384,0.16283783783783784,0.16216216216216217,0.7837837837837838,0.6684818863868713,0.3305048644542694,0.40102437138557434,0.3891967236995697,0.3133620321750641,0.2961232662200928,0.07775772362947464,0.056246429681777954,12.294831275939941,0.0,5.714122772216797,0.0,"[0.3371856212615967, 0.0037744527217000723, 0.44145679473876953, 0.001229439047165215, 0.004754714667797089, 0.0028504193760454655, 0.20768743753433228, 0.001061112154275179]","[0.2332889884710312, 0.06286532431840897, 0.2933638095855713, 0.06169905886054039, 0.06447404623031616, 0.0616995207965374, 0.15988384187221527, 0.06272538751363754]",0.5446930527687073,0.8947240114212036
Actor,2,p2_strength,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/Actor/20260606_202626/scale_5p0/seed_2,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/Actor/20260606_202626/scale_5p0/seed_2/best_model.pt,5.0,0.5,7600,7425,1542,1493,0.20289473235607147,0.2010774463415146,0.26208755373954773,0.260606050491333,0.2759544551372528,0.2685867249965668,0.2585974335670471,0.2585974335670471,89,100,89,100,0,0,0.0556228943169117,0.27662423253059387,0.0,0.7240455746650696,0.1972987771491148,0.15874079035498995,0.1607501674480911,0.7146684527796383,0.6746627688407898,0.48989924788475037,0.5252395868301392,0.5338769555091858,0.21504342555999756,0.2120952308177948,0.00939254742115736,0.006592817138880491,0.7296634912490845,0.0,0.14422552287578583,0.0,"[0.6549084782600403, 0.012915179133415222, 0.0, 0.17473116517066956, 0.029891178011894226, 0.11270356178283691, 0.0, 0.014850417152047157]","[0.26791298389434814, 0.10370509326457977, 0.09650918841362, 0.11327943205833435, 0.10439059883356094, 0.11543400585651398, 0.09256035834550858, 0.10620835423469543]",0.5057415962219238,0.963621973991394
