seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,mean_prompt_edge_weight,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_gate_mean,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch
0,10.0,0.1325252503156662,0.10914759635925293,0.2308417558670044,0.19639865458011627,0.5021607279777527,0.9999909996986389,0.2,0.20289473235607147,0.003289473708719015,8,6168,0.015420197509229183,0.030840395018458366,0.5,0.007710098754614592,0.5277299284934998,0.9999293684959412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[30019, 3084, 3084]",0.0,0.0,0.00115237757563591,True,50
1,5.0,0.1690235733985901,0.08513232124969364,0.1796633005142212,0.16621720641851426,0.5010645389556885,0.9999969601631165,0.2,0.20250000059604645,0.003289473708719015,8,6156,0.007606183178722858,0.030424732714891434,0.25,0.0038030913565307856,0.3356172442436218,0.9996588826179504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[30019, 3078, 3078]",0.0,0.0,0.0013119801878929138,True,45
2,10.0,0.2632996737957001,0.1713992662727833,0.19299663603305817,0.19022913724184037,0.502189040184021,0.9999893307685852,0.2,0.20289473235607147,0.003289473708719015,8,6168,0.0154197346419096,0.0308394692838192,0.5,0.0077098673209548,0.6185820698738098,0.9999903440475464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[30019, 3084, 3084]",0.0,0.0,0.001126319169998169,True,50
