dataset,seed,prompt_variant,run_dir,checkpoint_path,selected_message_scale,edge_scale_multiplier,num_nodes,test_nodes,pool_nodes,test_pool_nodes,pool_ratio,test_pool_ratio,test_acc_prompt_off,test_acc_prompt_on,test_pool_acc_prompt_off,test_pool_acc_prompt_on,test_non_pool_acc_prompt_off,test_non_pool_acc_prompt_on,test_fixed_by_prompt,test_broken_by_prompt,test_pool_fixed_by_prompt,test_pool_broken_by_prompt,test_non_pool_fixed_by_prompt,test_non_pool_broken_by_prompt,test_prediction_change_ratio,test_pool_prediction_change_ratio,test_non_pool_prediction_change_ratio,pool_error_precision_test,pool_error_recall_test,pool_low_conf_overlap_test,pool_low_margin_overlap_test,pool_high_structural_overlap_test,structural_score_pool_mean,structural_score_non_pool_mean,structural_score_test_wrong_mean,structural_score_test_correct_mean,confidence_off_pool_mean,confidence_off_non_pool_mean,margin_off_pool_mean,margin_off_non_pool_mean,h_delta_norm_pool_mean,h_delta_norm_non_pool_mean,logit_delta_norm_pool_mean,logit_delta_norm_non_pool_mean,prompt_usage_distribution,prompt_usage_full_distribution,prompt_usage_entropy,prompt_usage_full_entropy
squirrel,0,p2_strength,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/squirrel/20260606_204713/scale_0p0/seed_0,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/squirrel/20260606_204713/scale_0p0/seed_0/best_model.pt,0.0,0.05,5201,5026,1063,1014,0.20438377559185028,0.20175088942050934,0.2031436562538147,0.2031436562538147,0.2120315581560135,0.2120315581560135,0.20089730620384216,0.20089730620384216,0,0,0,0,0,0,0.0,0.0,0.0,0.7879684567451477,0.19950062421972534,0.2968441814595661,0.1952662721893491,0.8915187376725838,0.6763976216316223,0.5795344710350037,0.6027423143386841,0.5865453481674194,0.21215352416038513,0.21834440529346466,0.005895417183637619,0.010079466737806797,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.48545992374420166, 0.0, 0.0, 0.5145400762557983]","[0.1142454594373703, 0.09951046109199524, 0.10806678235530853, 0.12816183269023895, 0.14716586470603943, 0.13916704058647156, 0.10770103335380554, 0.15598157048225403]",0.3331299424171448,0.9942483305931091
squirrel,1,p2_strength,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/squirrel/20260606_204713/scale_0p0/seed_1,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/squirrel/20260606_204713/scale_0p0/seed_1/best_model.pt,0.0,0.5,5201,5026,1061,1006,0.20399923622608185,0.20015917718410492,0.22025467455387115,0.22025467455387115,0.26640158891677856,0.26640158891677856,0.20870646834373474,0.20870646834373474,0,0,0,0,0,0,0.0,0.0,0.0,0.7335984110832214,0.18831334524113294,0.33101391650099404,0.22365805168986083,0.8926441351888668,0.6668170690536499,0.5076367259025574,0.5260676741600037,0.587426483631134,0.21855536103248596,0.24617689847946167,0.009554184973239899,0.020733144134283066,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.5029022693634033, 0.0, 0.4970977008342743, 0.0, 0.0]","[0.12476234883069992, 0.12513376772403717, 0.1195237934589386, 0.13072210550308228, 0.1278868019580841, 0.12921321392059326, 0.12351689487695694, 0.11924107372760773]",0.33332523703575134,0.999760627746582
squirrel,2,p2_strength,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/squirrel/20260606_204713/scale_2p0/seed_2,/Users/jackson/IdeaRebuild/outputs/p2_rejection_gate_validation/squirrel/20260606_204713/scale_2p0/seed_2/best_model.pt,2.0,1.0,5201,5026,1060,1009,0.20380696654319763,0.20075607299804688,0.23597294092178345,0.2423398345708847,0.19028741121292114,0.22200198471546173,0.24744834005832672,0.24744834005832672,102,70,102,70,0,0,0.09669717401266098,0.4816650152206421,0.0,0.8097125887870789,0.21276041666666667,0.2933597621407334,0.2705649157581764,0.8533201189296333,0.6655210256576538,0.4662671387195587,0.5125000476837158,0.4901866316795349,0.24233689904212952,0.3222896158695221,0.030449790880084038,0.12977543473243713,2.1682302951812744,0.0,0.6668086647987366,0.0,"[0.5234983563423157, 0.0, 0.446376770734787, 0.008491099812090397, 0.006426970940083265, 0.005795047152787447, 0.009411651641130447, 0.0]","[0.30791595578193665, 0.06850522756576538, 0.2634985148906708, 0.07449719309806824, 0.07348975539207458, 0.07055992633104324, 0.07405100762844086, 0.06748241186141968]",0.4066261947154999,0.8871908187866211
