seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,early_stopped,stopped_epoch
0,93.0,0.6368302702903748,0.5916632289687792,0.6349053382873535,0.5905896748105685,0.46732306480407715,0.906612753868103,True,133
1,48.0,0.5925569534301758,0.5668611576159795,0.5383381247520447,0.4742114742596944,0.48765555024147034,0.9993905425071716,True,88
2,28.0,0.646454930305481,0.5798781787355741,0.6265640258789062,0.5886229798197746,0.4946679174900055,0.9999939203262329,True,68
3,96.0,0.5915944576263428,0.5255217875043551,0.5739493370056152,0.5072165777285894,0.4651243984699249,0.8889918327331543,True,136
4,44.0,0.5951235294342041,0.5419538567463557,0.6047481298446655,0.5425604904691378,0.4894298315048218,0.9997528791427612,True,84
