dataset,strategy,runs,mean_train_acc,mean_val_acc,mean_test_acc,mean_train_pool_acc,mean_val_pool_acc,mean_test_pool_acc,mean_test_pool_accepted_ratio,mean_test_pool_fixed,mean_test_pool_broken
Actor,oracle_all_splits_upper_bound,3,0.7993019024531046,0.27111110587914783,0.26754386226336163,0.7993019024531046,0.37841641902923584,0.40238263209660846,0.024605263024568558,187.0,0.0
Actor,oracle_test_upper_bound,3,0.5986038446426392,0.23777777949968973,0.26754386226336163,0.5986038446426392,0.20617790768543878,0.40238263209660846,0.024605263024568558,187.0,0.0
Actor,prompt_off,3,0.5986038446426392,0.23777777949968973,0.24108658730983734,0.5986038446426392,0.20617790768543878,0.2696056564648946,0.0,0.0,0.0
Actor,prompt_on_all_pool,3,0.6666666666666666,0.2600000003973643,0.24943406879901886,0.6666666666666666,0.3233756919701894,0.31151698033014935,0.18543859819571176,187.0,128.0
Actor,train_high_learned_acceptance,3,0.6937172810236613,0.25111111501852673,0.24764195084571838,0.6937172810236613,0.2726230025291443,0.3025820056597392,0.09157894924283028,109.0,62.666666666666664
Actor,train_high_logit_delta,3,0.6937172810236613,0.24666666487852731,0.2488209754228592,0.6937172810236613,0.25111762682596844,0.3084554473559062,0.09517543762922287,131.33333333333334,76.66666666666667
Actor,train_high_structural_score,3,0.6893542806307474,0.2600000003973643,0.24943406879901886,0.6893542806307474,0.3233756919701894,0.31151698033014935,0.18543859819571176,187.0,128.0
Actor,train_low_conf_off,3,0.6972076892852783,0.24666666984558105,0.24721751113732657,0.6972076892852783,0.24853698164224625,0.30046478907267254,0.09719297972818215,116.66666666666667,73.33333333333333
Actor,train_low_conf_on,3,0.6893542806307474,0.24222221970558167,0.24438785016536713,0.6893542806307474,0.22703160593907037,0.28622467319170636,0.07807017614444096,76.0,52.666666666666664
Actor,train_low_margin_off,3,0.7033158739407858,0.2399999996026357,0.2454253931840261,0.7033158739407858,0.21627891808748245,0.2914515733718872,0.07912280715148275,87.66666666666667,57.0
Actor,train_low_margin_on,3,0.6858638723691305,0.24444443980852762,0.2443406879901886,0.6858638723691305,0.23778429379065832,0.28598708907763165,0.07364035149415334,73.66666666666667,50.666666666666664
