dataset,seed,target_hetero_ratio_threshold,strategy,pool_ratio,pool_node_ratio,hetero_edge_ratio,hetero_node_ratio_any,target_node_ratio,pool_count,hetero_node_count,overlap_count,precision,recall,f1,iou,score_mean_overlap,score_mean_missed_hetero
squirrel,0,0.0,random,0.05,0.049990386464141515,0.7778657078742981,0.9915400743484497,0.9915400884445299,260.0,5157.0,257.0,0.9884615384615385,0.04983517548962575,0.09488646852501384,0.0498062015503876,0.0,0.0
squirrel,0,0.5,random,0.05,0.049990386464141515,0.7778657078742981,0.9915400743484497,0.944433762737935,260.0,4912.0,245.0,0.9423076923076923,0.04987785016286645,0.09474091260634183,0.04972599959407347,0.0,0.0
squirrel,0,0.75,random,0.05,0.049990386464141515,0.7778657078742981,0.9915400743484497,0.6648721399730821,260.0,3458.0,180.0,0.6923076923076923,0.05205320994794679,0.09682625067240451,0.05087620124364047,0.0,0.0
squirrel,0,0.0,random,0.1,0.09998077292828303,0.7778657078742981,0.9915400743484497,0.9915400884445299,520.0,5157.0,516.0,0.9923076923076923,0.10005817335660268,0.181786154659151,0.09998062391009495,0.0,0.0
squirrel,0,0.5,random,0.1,0.09998077292828303,0.7778657078742981,0.9915400743484497,0.944433762737935,520.0,4912.0,486.0,0.9346153846153846,0.0989413680781759,0.178939617083947,0.09826122118883947,0.0,0.0
squirrel,0,0.75,random,0.1,0.09998077292828303,0.7778657078742981,0.9915400743484497,0.6648721399730821,520.0,3458.0,348.0,0.6692307692307692,0.1006362058993638,0.17496229260935142,0.09586776859504133,0.0,0.0
squirrel,0,0.0,random,0.15,0.14997115939242453,0.7778657078742981,0.9915400743484497,0.9915400884445299,780.0,5157.0,775.0,0.9935897435897436,0.1502811712235796,0.26107461680983657,0.15013560635412632,0.0,0.0
squirrel,0,0.5,random,0.15,0.14997115939242453,0.7778657078742981,0.9915400743484497,0.944433762737935,780.0,4912.0,730.0,0.9358974358974359,0.1486156351791531,0.2565003513703444,0.147118097541314,0.0,0.0
squirrel,0,0.75,random,0.15,0.14997115939242453,0.7778657078742981,0.9915400743484497,0.6648721399730821,780.0,3458.0,526.0,0.6743589743589744,0.15211104684788895,0.24823029731005192,0.14170258620689655,0.0,0.0
squirrel,0,0.0,random,0.2,0.19996154585656606,0.7778657078742981,0.9915400743484497,0.9915400884445299,1040.0,5157.0,1032.0,0.9923076923076923,0.20011634671320536,0.3330643859932225,0.19980638915779284,0.0,0.0
squirrel,0,0.5,random,0.2,0.19996154585656606,0.7778657078742981,0.9915400743484497,0.944433762737935,1040.0,4912.0,975.0,0.9375,0.19849348534201955,0.3276209677419355,0.19590114526823388,0.0,0.0
squirrel,0,0.75,random,0.2,0.19996154585656606,0.7778657078742981,0.9915400743484497,0.6648721399730821,1040.0,3458.0,691.0,0.6644230769230769,0.19982648930017352,0.3072476656291685,0.1815077488836354,0.0,0.0
squirrel,0,0.0,random,0.3,0.29994231878484906,0.7778657078742981,0.9915400743484497,0.9915400884445299,1560.0,5157.0,1546.0,0.9910256410256411,0.29978669769245686,0.46032454965014147,0.2989750531812029,0.0,0.0
squirrel,0,0.5,random,0.3,0.29994231878484906,0.7778657078742981,0.9915400743484497,0.944433762737935,1560.0,4912.0,1468.0,0.941025641025641,0.2988599348534202,0.45364647713226214,0.293365307753797,0.0,0.0
squirrel,0,0.75,random,0.3,0.29994231878484906,0.7778657078742981,0.9915400743484497,0.6648721399730821,1560.0,3458.0,1041.0,0.6673076923076923,0.30104106419895893,0.4149063371861299,0.2617550917777219,0.0,0.0
squirrel,0,0.0,degree,0.05,0.049990386464141515,0.7778657078742981,0.9915400743484497,0.9915400884445299,260.0,5157.0,260.0,1.0,0.05041690905565251,0.09599409267122024,0.05041690905565251,665.96923828125,45.63140869140625
squirrel,0,0.5,degree,0.05,0.049990386464141515,0.7778657078742981,0.9915400743484497,0.944433762737935,260.0,4912.0,260.0,1.0,0.052931596091205214,0.10054137664346482,0.052931596091205214,665.96923828125,47.1502571105957
squirrel,0,0.75,degree,0.05,0.049990386464141515,0.7778657078742981,0.9915400743484497,0.6648721399730821,260.0,3458.0,171.0,0.6576923076923077,0.04945054945054945,0.09198493813878429,0.04820975472230053,591.8538208007812,47.77578353881836
squirrel,0,0.0,degree,0.1,0.09998077292828303,0.7778657078742981,0.9915400743484497,0.9915400884445299,520.0,5157.0,520.0,1.0,0.10083381811130503,0.18319534965650872,0.10083381811130503,436.67498779296875,36.5620002746582
squirrel,0,0.5,degree,0.1,0.09998077292828303,0.7778657078742981,0.9915400743484497,0.944433762737935,520.0,4912.0,519.0,0.9980769230769231,0.10565960912052118,0.1910898379970545,0.10563810299206187,437.1502990722656,37.699520111083984
squirrel,0,0.75,degree,0.1,0.09998077292828303,0.7778657078742981,0.9915400743484497,0.6648721399730821,520.0,3458.0,382.0,0.7346153846153847,0.11046847888953153,0.19205630970336854,0.10622914349276974,380.5078430175781,36.70090866088867
squirrel,0,0.0,degree,0.15,0.14997115939242453,0.7778657078742981,0.9915400743484497,0.9915400884445299,780.0,5157.0,780.0,1.0,0.15125072716695753,0.2627589691763517,0.15125072716695753,346.9718017578125,28.780214309692383
squirrel,0,0.5,degree,0.15,0.14997115939242453,0.7778657078742981,0.9915400743484497,0.944433762737935,780.0,4912.0,779.0,0.9987179487179487,0.15859120521172637,0.2737174982431482,0.1585589253002239,347.1733093261719,29.52988052368164
squirrel,0,0.75,degree,0.15,0.14997115939242453,0.7778657078742981,0.9915400743484497,0.6648721399730821,780.0,3458.0,558.0,0.7153846153846154,0.16136495083863506,0.2633317602642756,0.1516304347826087,313.3028564453125,28.766551971435547
squirrel,0,0.0,degree,0.2,0.19996154585656606,0.7778657078742981,0.9915400743484497,0.9915400884445299,1040.0,5157.0,1040.0,1.0,0.20166763622261005,0.3356462804582863,0.20166763622261005,297.45001220703125,21.195287704467773
squirrel,0,0.5,degree,0.2,0.19996154585656606,0.7778657078742981,0.9915400743484497,0.944433762737935,1040.0,4912.0,1036.0,0.9961538461538462,0.21091205211726385,0.3481182795698925,0.21074043938161108,298.01544189453125,21.607585906982422
squirrel,0,0.75,degree,0.2,0.19996154585656606,0.7778657078742981,0.9915400743484497,0.6648721399730821,1040.0,3458.0,730.0,0.7019230769230769,0.21110468478889532,0.3245887060915963,0.1937367303609342,274.28082275390625,21.268695831298828
squirrel,0,0.0,degree,0.3,0.29994231878484906,0.7778657078742981,0.9915400743484497,0.9915400884445299,1560.0,5157.0,1560.0,1.0,0.30250145433391507,0.4644930772666369,0.30250145433391507,223.6980743408203,13.244370460510254
squirrel,0,0.5,degree,0.3,0.29994231878484906,0.7778657078742981,0.9915400743484497,0.944433762737935,1560.0,4912.0,1542.0,0.9884615384615385,0.31392508143322473,0.476514215080346,0.3127789046653144,225.28729248046875,13.383382797241211
squirrel,0,0.75,degree,0.3,0.29994231878484906,0.7778657078742981,0.9915400743484497,0.6648721399730821,1560.0,3458.0,1098.0,0.7038461538461539,0.3175245806824754,0.4376245516141889,0.2801020408163265,207.50364685058594,12.884322166442871
squirrel,0,0.0,support_neighbor_entropy,0.05,0.049990386464141515,0.7778657078742981,0.9915400743484497,0.9915400884445299,260.0,5157.0,260.0,1.0,0.05041690905565251,0.09599409267122024,0.05041690905565251,0.8391131162643433,0.3027435839176178
squirrel,0,0.5,support_neighbor_entropy,0.05,0.049990386464141515,0.7778657078742981,0.9915400743484497,0.944433762737935,260.0,4912.0,260.0,1.0,0.052931596091205214,0.10054137664346482,0.052931596091205214,0.8391131162643433,0.3146325647830963
