seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,mean_prompt_edge_weight,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,pool_only_prompt_update,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch
0,70.0,0.303996205329895,0.29075674116611483,0.30542340874671936,0.29240390956401824,0.47802695631980896,0.9369321465492249,0.2,0.20860782265663147,0.010979359038174152,8,1900,0.06059855595231056,0.06059855595231056,1.0,0.03029927797615528,0.7335963845252991,0.976790726184845,0.1550459861755371,4.803006649017334,0.05308695137500763,0.15558506548404694,0.0016153298784047365,0.3100919723510742,0.06282351166009903,0.06085050851106644,0.06479651480913162,0.5,0.5,weighted_mean,1.0,0.15558506548404694,0.0,0.0,0.0,"[36101, 950, 950]",0.0,0.0,0.000697791576385498,False,100
1,55.0,0.27640342712402344,0.25932269990444184,0.2697431147098541,0.23312888890504838,0.4850733280181885,0.8836740255355835,0.2,0.2081686407327652,0.010979359038174152,8,1896,0.05820050463080406,0.05820050463080406,1.0,0.02910025231540203,0.681327223777771,0.9677430391311646,0.4785792827606201,4.00837516784668,0.49602800607681274,0.48005589842796326,0.0583135187625885,0.23928964138031006,0.05926426500082016,0.05859970673918724,0.05992882698774338,2.0,2.0,weighted_mean,1.0,0.48005589842796326,0.0,0.0,0.0,"[36101, 948, 948]",0.0,0.0,0.0038904882967472076,True,95
2,1.0,0.240723118185997,0.13392525315284728,0.22835394740104675,0.20059886276721955,0.500249981880188,0.9542605876922607,0.2,0.20904698967933655,0.010979359038174152,8,1904,0.0025070090778172016,0.05014017969369888,0.05,0.001253504422493279,0.3367825150489807,0.9970880150794983,0.028704334050416946,0.11440543830394745,0.13872887194156647,0.02868298441171646,0.03478119894862175,0.005740866996347904,0.050142694264650345,0.050142694264650345,0.050142694264650345,5.0,5.0,weighted_mean,1.0,0.02868298441171646,0.0,0.0,0.0,"[36101, 952, 952]",0.0,0.0,0.008018262684345245,True,40
