seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_delta_eps,benefit_gate_mean,benefit_gate_min,benefit_gate_max,use_hard_receive_gate,hard_receive_ratio,hard_receive_selected_ratio,receive_gate_mean,receive_gate_min,receive_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,unbounded_prompt_update_norm,prompt_update_clip_ratio,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,bounded_prompt_update,max_prompt_update_norm,prompt_update_bound_mode,receiver_version,prompt_fusion,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,65.0,0.2614600956439972,0.23081070184707642,0.2601867616176605,0.23559301793575288,0.4810864329338074,0.9960393309593201,0.2,0.23921053111553192,0.05026315897703171,8,3636,0.05981889367103577,0.05981889367103577,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3319045603275299,0.3493080735206604,0.3187873661518097,0.9993608593940735,0.0026159053668379784,0.2839418351650238,0.10021939873695374,0.9904507994651794,0.0,1.0,0.2839418351650238,0.005281686782836914,0.16242121160030365,67.0,55.0,12.0,315.0,0.8208954930305481,0.00012602134665939957,0.14397905759162305,0.031413612565445025,0.9772727272727273,0.4782608695652174,0.11241878569126129,60.0,54.0,6.0,322.0,0.0001766056811902672,0.14136125654450263,0.6244799494743347,1.0,0.2,0.0,0.0,0.0001,0.3381197154521942,0.2702994644641876,0.9785892367362976,1.0,0.15000000596046448,0.15016502141952515,0.11832450330257416,0.027709946036338806,0.9675662517547607,0.0,0.0,0.0,0.0,0.0,0.2810986628117094,0.9999999850988388,0.05143725872039795,0.07044893503189087,0.49878671765327454,0.9799463748931885,1.0551088053034618e-05,0.00018180666666012257,0.0,1.056219480233267e-05,0.0,4.2204352212138474e-05,1.0551088053034618e-05,0.0,0.1461973637342453,0.060013990849256516,0.2323807328939438,0.2323807328939438,0.25,0.25,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,1.056219480233267e-05,0.0,0.0,0.0,"[30019, 0, 3636]",0.0,0.0,2.3793429136276245e-05,False,80,0.25,5.892617264180444e-05,0.15706805884838104,0.7249931693077087,0.7249342203140259,0.846162736415863,0.14150258898735046
0,65.0,0.261177122592926,0.2306516468524933,0.2601867616176605,0.23559609055519104,0.4810014069080353,0.9960381388664246,0.2,0.2393421083688736,0.05026315897703171,8,3638,0.05989597737789154,0.05989597737789154,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32567527890205383,0.3470454812049866,0.3272792398929596,0.9996128678321838,0.002913382137194276,0.24807775020599365,0.07557113468647003,0.9979904890060425,0.0,1.0,0.24807775020599365,0.0016962968511506915,0.24548132717609406,85.0,61.0,24.0,297.0,0.7176470756530762,0.0005700801848433912,0.15968586387434555,0.06282722513089005,1.0,0.5106382978723404,0.22862695157527924,82.0,61.0,21.0,300.0,0.0005060582188889384,0.15968586387434555,0.7634395956993103,1.0,0.2,0.0,0.0,0.0001,0.2226099818944931,0.028212344273924828,0.9971625208854675,1.0,0.15000000596046448,0.15008246898651123,0.09318939596414566,0.002355033066123724,0.9950146079063416,0.0,0.0,0.0,0.0,0.0,0.2337683884526048,1.0,0.05415142700076103,0.07469286024570465,0.43599551916122437,0.963733434677124,5.715009683626704e-05,0.0004919185303151608,0.0,5.721025445382111e-05,0.0,0.00011430019367253408,5.715009683626704e-05,0.0,0.14630210399627686,0.060013990849256516,0.2325902283191681,0.2325902283191681,0.5,0.5,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,5.721025445382111e-05,0.0,0.0,0.0,"[30019, 0, 3638]",0.0,0.0,4.7579407691955566e-05,False,80,0.5,0.000230630103033036,0.14921465516090393,0.725010335445404,0.7247797250747681,0.8378134369850159,0.14540308713912964
0,65.0,0.26174306869506836,0.23111576735973358,0.2601867616176605,0.23563483655452727,0.48076099157333374,0.9960277080535889,0.2,0.23973684012889862,0.05026315897703171,8,3644,0.060173049569129944,0.060173049569129944,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3215608298778534,0.36949294805526733,0.3089461922645569,0.9972458481788635,0.003862498328089714,0.2441265881061554,0.05445864796638489,0.9769317507743835,0.0,1.0,0.2441265881061554,0.002738659968599677,0.07811437547206879,50.0,44.0,6.0,332.0,0.8799999952316284,0.0034354215022176504,0.11518324607329843,0.015706806282722512,1.0,0.42857142857142855,0.07127921283245087,50.0,44.0,6.0,332.0,0.0008962576976045966,0.11518324607329843,0.8723716735839844,1.0,0.2,0.0,0.0,0.0001,0.42383521795272827,0.08390749990940094,0.9984898567199707,1.0,0.15000000596046448,0.15038418769836426,0.15040984749794006,0.006135507021099329,0.9732328057289124,0.0,0.0,0.0,0.0,0.0,0.218500459331496,0.9999999925494194,0.06085703894495964,0.06981320679187775,0.5067182183265686,0.9625327587127686,0.00028983780066482723,0.0012432611547410488,0.0,0.00029014289611950517,0.0,0.00028983780066482723,0.00028983780066482723,0.0,0.146683007478714,0.060013990849256516,0.23335202038288116,0.23335202038288116,1.0,1.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.00029014289611950517,0.0,0.0,0.0,"[30019, 0, 3644]",0.0,0.0,9.514763951301575e-05,False,80,1.0,0.001061954302713275,0.14921465516090393,0.7250652313232422,0.7240033149719238,0.8052398562431335,0.15412698686122894
0,50.0,0.26754385232925415,0.22585742622613908,0.2604697346687317,0.23580849766731263,0.48674842715263367,0.9998109340667725,0.2,0.23973684012889862,0.05026315897703171,8,3644,0.057680435478687286,0.057680435478687286,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32587379217147827,0.34989088773727417,0.3242352306842804,0.999440610408783,0.0031399079598486423,0.2742750346660614,0.17500750720500946,0.9372916221618652,0.0,1.0,0.2742750346660614,0.004249126184731722,0.18133999407291412,86.0,73.0,13.0,296.0,0.8488371968269348,0.00411646394059062,0.19109947643979058,0.034031413612565446,0.9473684210526315,0.22916666666666666,0.14370785653591156,84.0,73.0,11.0,298.0,0.0009261901723220944,0.19109947643979058,0.7735745906829834,1.0,0.2,0.0,0.0,0.0001,0.3881239593029022,0.27255985140800476,0.9983579516410828,1.0,0.15000000596046448,0.15038418769836426,0.12167362868785858,0.048549432307481766,0.9045708775520325,0.0,0.0,0.0,0.0,0.0,0.211361668796636,1.0000000223517418,0.065311498939991,0.09642485529184341,0.32410845160484314,0.9655828475952148,0.0004876783350482583,0.0011066521983593702,0.0,0.0004881916684098542,0.0,0.0002493642386980355,0.000498728477396071,0.004929021932184696,0.14150938391685486,0.05757463723421097,0.22544413805007935,0.22544413805007935,2.0,2.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.0004881916684098542,0.0,0.0,0.0,"[30019, 0, 3644]",0.0,0.0,0.00019024312496185303,False,80,2.0,0.0012840975541621447,0.1439790576696396,0.7250950932502747,0.7238109707832336,0.746797502040863,0.2080419957637787
0,65.0,0.26174306869506836,0.23112241327762603,0.2606112062931061,0.23588553369045256,0.47967925667762756,0.9960146546363831,0.2,0.2393421083688736,0.05026315897703171,8,3638,0.0600031316280365,0.0600031316280365,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3215361535549164,0.35713672637939453,0.3213271200656891,0.9988113045692444,0.004089427180588245,0.24677540361881256,0.030539555475115776,0.9863514304161072,0.0,1.0,0.24677540361881256,0.00787198543548584,0.13020266592502594,50.0,43.0,7.0,332.0,0.8600000143051147,0.008576415479183197,0.112565445026178,0.01832460732984293,0.9459459459459459,0.38461538461538464,0.13695047795772552,49.0,42.0,7.0,333.0,0.0007428907556459308,0.1099476439790576,0.751984179019928,1.0,0.2,0.0,0.0,0.0001,0.5998740792274475,0.19142304360866547,0.9998883008956909,1.0,0.15000000596046448,0.15008246898651123,0.1754690557718277,0.007780356332659721,0.9838292598724365,0.0,0.0,0.0,0.0,0.0,0.21713077962260863,0.9999999813735485,0.09189043194055557,0.09706513583660126,0.4868859350681305,0.9581472277641296,0.000717459712177515,0.0009747364092618227,0.0,0.0007182149565778673,0.0,0.00022674858337268233,0.0011337429750710726,0.035751841962337494,0.14644090831279755,0.060013990849256516,0.23286783695220947,0.23286783695220947,5.0,5.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.0007182149565778673,0.0,0.0,0.0,"[30019, 0, 3638]",0.0,0.0,0.00046454742550849915,False,80,5.0,0.0015236771432682872,0.15706805884838104,0.7249827980995178,0.7234591245651245,0.6903319954872131,0.13638262450695038
1,35.0,0.2662705183029175,0.1946344841271639,0.27320316433906555,0.2408339038491249,0.49186891317367554,0.999991238117218,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.0551086962223053,0.0551086962223053,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32838404178619385,0.34308376908302307,0.3285321593284607,0.9998062252998352,0.002691458212211728,0.30862367153167725,0.27054357528686523,0.7745891213417053,0.0,1.0,0.30862367153167725,0.010099843144416809,0.3698880672454834,169.0,120.0,49.0,213.0,0.7100591659545898,1.5431960491696373e-05,0.31413612565445026,0.12827225130890052,0.975,0.37209302325581395,0.6447814106941223,154.0,77.0,77.0,228.0,5.456789585878141e-05,0.20157068062827224,0.4243820011615753,1.0,0.2,0.00014162063598632812,0.0,0.0001,0.5130325555801392,0.4596427083015442,0.8516417145729065,1.0,0.15000000596046448,0.15005476772785187,0.1632290482521057,0.12818185985088348,0.6519139409065247,0.0,0.0,0.0,0.0,0.0,0.2650970673275506,1.0000000074505806,0.038950350135564804,0.05292049050331116,0.3390335142612457,0.9841117858886719,5.610472726402804e-06,0.00010343239409849048,0.0,5.616378530248767e-06,0.0,2.2441890905611217e-05,5.610472726402804e-06,0.0,0.13620558381080627,0.05521122366189957,0.2171999216079712,0.2171999216079712,0.25,0.25,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,5.616378530248767e-06,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,1.9650906324386597e-05,True,75,0.25,3.58695542672649e-05,0.1780104786157608,0.8272625207901001,0.8272267580032349,0.634522020816803,0.04305838793516159
1,35.0,0.2662705183029175,0.19463264830410482,0.27320316433906555,0.24083284586668013,0.4918433129787445,0.999991238117218,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.0551089271903038,0.0551089271903038,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3324098289012909,0.33174920082092285,0.33584102988243103,0.9999868869781494,0.0022206148132681847,0.288509339094162,0.24092811346054077,0.7146438360214233,0.0,1.0,0.288509339094162,0.008325129747390747,0.486096054315567,196.0,122.0,74.0,186.0,0.6224489808082581,1.824510400183499e-05,0.3193717277486911,0.193717277486911,0.8461538461538461,0.48854961832061067,0.6953606605529785,154.0,77.0,77.0,228.0,3.742828266695142e-05,0.20157068062827224,-0.009802599437534809,1.0,0.2,4.875659942626953e-05,0.0,0.0001,0.5168724656105042,0.4761180579662323,0.5771908760070801,1.0,0.15000000596046448,0.15005476772785187,0.15070277452468872,0.1250186562538147,0.38626518845558167,0.0,0.0,0.0,0.0,0.0,0.211361668796636,1.0000000223517418,0.012973126024007797,0.01357967872172594,0.33007901906967163,0.9839425683021545,1.0649237992765848e-05,9.816218516789377e-05,0.0,1.0660447514965199e-05,0.0,2.1298475985531695e-05,1.0649237992765848e-05,0.0,0.13620586693286896,0.05521122366189957,0.21720050275325775,0.21720050275325775,0.5,0.5,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,1.0660447514965199e-05,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,3.9268285036087036e-05,True,75,0.5,0.0001536880008643493,0.1518324613571167,0.827289342880249,0.8271355628967285,0.6322982311248779,0.15297283232212067
1,35.0,0.2661290466785431,0.1945187021046877,0.27320316433906555,0.2407048299908638,0.49178534746170044,0.9999911189079285,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.05510995164513588,0.05510995164513588,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33111539483070374,0.3362848162651062,0.3325997591018677,0.9999806880950928,0.002268079901114106,0.2878861129283905,0.25285854935646057,0.6795757412910461,0.0,1.0,0.2878861129283905,0.007842092774808407,0.5307762622833252,211.0,126.0,85.0,171.0,0.5971564054489136,4.310150325181894e-05,0.3298429319371728,0.22251308900523561,0.7777777777777778,0.44,0.6897680759429932,154.0,77.0,77.0,228.0,4.761365562444553e-05,0.20157068062827224,0.1912471055984497,1.0,0.2,0.00023508071899414062,-0.00015676021575927734,0.0001,0.5480192303657532,0.528035581111908,0.5839141607284546,1.0,0.15000000596046448,0.15005476772785187,0.15784312784671783,0.13895879685878754,0.39510464668273926,0.0,0.0,0.0,0.0,0.0,0.22713888659566855,1.0,0.015462301671504974,0.016855519264936447,0.33279260993003845,0.9916872978210449,2.70584860118106e-05,0.00012470738147385418,0.0,2.7086969566880725e-05,0.0,2.70584860118106e-05,2.70584860118106e-05,0.0,0.13620728254318237,0.05521122366189957,0.21720334887504578,0.21720334887504578,1.0,1.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,2.7086969566880725e-05,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,7.853657007217407e-05,True,75,1.0,0.0006987216765992343,0.14136125147342682,0.8273932337760925,0.8266944289207458,0.7412604689598083,0.13532716035842896
1,35.0,0.2659875452518463,0.1944671381264925,0.2729201912879944,0.2406068339943886,0.49167582392692566,0.9999902248382568,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.05512179806828499,0.05512179806828499,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3305628001689911,0.33859729766845703,0.3308399021625519,0.9999433755874634,0.0023472881875932217,0.30534082651138306,0.2683485150337219,0.7088537812232971,0.0,1.0,0.30534082651138306,0.011335169896483421,0.5120388865470886,213.0,127.0,86.0,169.0,0.5962441563606262,0.0002681668847799301,0.3324607329842932,0.225130890052356,0.8571428571428571,0.5133333333333333,0.6615528464317322,154.0,77.0,77.0,228.0,0.00014955070219002664,0.20157068062827224,0.561431884765625,1.0,0.2,0.0002598762512207031,-5.805492401123047e-05,0.0001,0.5076578259468079,0.47000473737716675,0.7888372540473938,1.0,0.15000000596046448,0.15005476772785187,0.15721258521080017,0.1313343048095703,0.5568374395370483,0.0,0.0,0.0,0.0,0.0,0.21786712462538305,1.000000037252903,0.0228872150182724,0.026450732722878456,0.33296117186546326,0.9864030480384827,0.00012165047519374639,0.0002802832459565252,0.0,0.00012177853204775602,0.0,6.0825237596873194e-05,0.00012165047519374639,0.0,0.13622364401817322,0.05521122366189957,0.21723607182502747,0.21723607182502747,2.0,2.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.00012177853204775602,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,0.0001569986343383789,True,75,2.0,0.0014710287796333432,0.1780104786157608,0.8275426626205444,0.8260716795921326,0.7486935257911682,-0.002533503109589219
1,35.0,0.26556310057640076,0.19445855766534806,0.27320316433906555,0.24085666686296464,0.4914640486240387,0.9999783039093018,0.2,0.2402631640434265,0.05026315897703171,8,3652,0.05518390238285065,0.05518390238285065,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3300575911998749,0.33698928356170654,0.3329531252384186,0.9999669194221497,0.002203387441113591,0.2833669185638428,0.227945014834404,0.6750964522361755,0.0,1.0,0.2833669185638428,0.006946783512830734,0.4168759882450104,200.0,134.0,66.0,182.0,0.6700000166893005,0.0014211863745003939,0.3507853403141361,0.17277486910994763,0.8080808080808081,0.46534653465346537,0.6636030673980713,154.0,77.0,77.0,228.0,0.0002989324275404215,0.20157068062827224,0.5376120805740356,1.0,0.2,0.0003439188003540039,0.0,0.0001,0.503412127494812,0.4219902753829956,0.6619259119033813,1.0,0.15000000596046448,0.15005476772785187,0.14455091953277588,0.10938311368227005,0.4093962609767914,0.0,0.0,0.0,0.0,0.0,0.22636556577428604,1.0000000298023224,0.03956497460603714,0.054955024272203445,0.400774210691452,0.9837212562561035,0.0005235400749370456,0.0004837740561924875,0.0,0.0005240911268629134,0.0,0.0001050811551976949,0.000525405746884644,0.0019058885518461466,0.13630875945091248,0.05521122366189957,0.21740630269050598,0.21740630269050598,5.0,5.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.0005240911268629134,0.0,0.0,0.0,"[30019, 0, 3652]",0.0,0.0,0.0003785528242588043,True,75,5.0,0.0010295157553628087,0.13612565398216248,0.8275008797645569,0.8264713883399963,0.8465616703033447,0.052631501108407974
