run,best_epoch_mean,best_test_acc,final_test_acc,best_test_macro_f1,final_test_macro_f1,best_pattern_only_test_acc,final_pattern_only_test_acc,final_pattern_only_train_acc,final_adapter_train_delta_ce,final_adapter_val_delta_ce,final_adapter_test_delta_ce,final_pattern_max_prob,final_pattern_usage_entropy
v02_full,32.0,0.35178351402282715,0.3444034357865651,0.3067919115225474,0.3022468189398448,0.32419610023498535,0.3175188899040222,0.7550724744796753,0.034719061106443405,0.0071461003584166365,0.002426834932217995,0.3904767334461212,0.925234874089559
basis_only,1.0,0.3523106674353282,0.35213495294253033,0.3070630778868993,0.3068897972504298,0.3533649643262227,0.35283781091372174,0.7318840622901917,0.009590214739243189,-0.0010124515586843093,-0.0024210087722167373,0.641037106513977,0.41475693384806317
enrichment_only,63.333333333333336,0.3537163933118184,0.3384290933609009,0.3046067893505096,0.29759850800037385,0.263925497730573,0.2616411844889323,0.5362318952878317,0.038883619010448456,0.009720176962825159,0.005396511017655333,0.510996013879776,0.8758271932601929
episode_support,38.666666666666664,0.35072921713193256,0.3489720622698466,0.3055078834295273,0.3038070925200979,0.3305218815803528,0.34282199541727704,0.7202898462613424,0.03048776959379514,0.0068783782577763,0.003449058160185814,0.4197390129168828,0.8563860853513082
no_stage1,13.666666666666666,0.35354067881902057,0.3422948519388835,0.30851857860883075,0.29941763716439407,0.3426462809244792,0.3171674609184265,0.7231884002685547,0.043729582180579506,0.0066813148829775555,0.0015500137427200873,0.39904146393140155,0.905051032702128
no_transition,83.66666666666667,0.3561764160792033,0.35108065605163574,0.3096847303211689,0.30373820662498474,0.34352486332257587,0.33965911467870075,0.726086954275767,0.03389837654928366,0.008739669574424624,0.004634740296751261,0.3955800036589305,0.9278651475906372
sharper_basis,33.666666666666664,0.3533649543921153,0.3433491388956706,0.3074011127154032,0.3000956843296687,0.33386048674583435,0.32753469546635944,0.7623188495635986,0.03513774275779724,0.004101386992260814,0.0014375918544828892,0.5391143461068472,0.8158991734186808
