dataset,seed,prompt_variant,run_dir,checkpoint_path,selected_message_scale,edge_scale_multiplier,num_nodes,test_nodes,pool_nodes,test_pool_nodes,pool_ratio,test_pool_ratio,test_acc_prompt_off,test_acc_prompt_on,test_pool_acc_prompt_off,test_pool_acc_prompt_on,test_non_pool_acc_prompt_off,test_non_pool_acc_prompt_on,test_fixed_by_prompt,test_broken_by_prompt,test_pool_fixed_by_prompt,test_pool_broken_by_prompt,test_non_pool_fixed_by_prompt,test_non_pool_broken_by_prompt,test_prediction_change_ratio,test_pool_prediction_change_ratio,test_non_pool_prediction_change_ratio,pool_error_precision_test,pool_error_recall_test,pool_low_conf_overlap_test,pool_low_margin_overlap_test,pool_high_structural_overlap_test,structural_score_pool_mean,structural_score_non_pool_mean,structural_score_test_wrong_mean,structural_score_test_correct_mean,confidence_off_pool_mean,confidence_off_non_pool_mean,margin_off_pool_mean,margin_off_non_pool_mean,h_delta_norm_pool_mean,h_delta_norm_non_pool_mean,logit_delta_norm_pool_mean,logit_delta_norm_non_pool_mean,prompt_usage_distribution,prompt_usage_full_distribution,prompt_usage_entropy,prompt_usage_full_entropy
chameleon,0,p2_strength,/Users/jackson/IdeaRebuild/outputs/p2_pool_only_grid/chameleon/20260606_173833/scale_0p5/seed_0,/Users/jackson/IdeaRebuild/outputs/p2_pool_only_grid/chameleon/20260606_173833/scale_0p5/seed_0/best_model.pt,0.5,1.0,2277,2102,475,419,0.20860782265663147,0.19933396577835083,0.31255945563316345,0.303996205329895,0.3412887752056122,0.29832935333251953,0.30540701746940613,0.30540701746940613,11,29,11,29,0,0,0.03092293068766594,0.1551312655210495,0.0,0.6587111949920654,0.19100346020761247,0.2577565632458234,0.23627684964200477,0.9880668257756563,0.6642606258392334,0.491546094417572,0.5184366106987,0.5531713962554932,0.37879323959350586,0.4290193021297455,0.18504489958286285,0.24346069991588593,1.4963029623031616,0.0,0.808642566204071,0.0,"[0.07307174056768417, 0.15412186086177826, 0.0, 0.0, 0.24697846174240112, 0.24133026599884033, 0.2844976782798767, 0.0]","[0.1094408854842186, 0.1102236807346344, 0.10375145077705383, 0.09950833767652512, 0.11461956799030304, 0.1355849951505661, 0.2323441505432129, 0.09452692419290543]",0.7335963845252991,0.976790726184845
chameleon,1,p2_strength,/Users/jackson/IdeaRebuild/outputs/p2_pool_only_grid/chameleon/20260606_173833/scale_2p0/seed_1,/Users/jackson/IdeaRebuild/outputs/p2_pool_only_grid/chameleon/20260606_173833/scale_2p0/seed_1/best_model.pt,2.0,1.0,2277,2102,474,422,0.2081686407327652,0.20076118409633636,0.2664129436016083,0.27640342712402344,0.25355449318885803,0.3033175468444824,0.2696428596973419,0.2696428596973419,58,37,58,37,0,0,0.11417697370052338,0.5687204003334045,0.0,0.7464454770088196,0.20428015564202334,0.2677725118483412,0.26540284360189575,0.9170616113744076,0.6696475744247437,0.5051530003547668,0.5368831157684326,0.5443449020385742,0.32303017377853394,0.34408342838287354,0.11909803748130798,0.13867028057575226,4.330456733703613,0.0,2.062096357345581,0.0,"[0.00016755580145400017, 0.45906996726989746, 0.058590762317180634, 0.20772530138492584, 0.0043931445106863976, 0.11802975833415985, 0.00040576900937594473, 0.15161772072315216]","[0.09812165051698685, 0.25900784134864807, 0.10499510169029236, 0.1216740533709526, 0.10300755500793457, 0.10367091000080109, 0.10219618678092957, 0.1073267012834549]",0.681327223777771,0.9677430391311646
chameleon,2,p2_strength,/Users/jackson/IdeaRebuild/outputs/p2_pool_only_grid/chameleon/20260606_173833/scale_5p0/seed_2,/Users/jackson/IdeaRebuild/outputs/p2_pool_only_grid/chameleon/20260606_173833/scale_5p0/seed_2/best_model.pt,5.0,0.05,2277,2102,476,427,0.20904698967933655,0.20313987135887146,0.240723118185997,0.240723118185997,0.17798595130443573,0.17798595130443573,0.25671643018722534,0.25671643018722534,16,16,16,16,0,0,0.04043767973780632,0.1990632265806198,0.0,0.8220140337944031,0.2199248120300752,0.18969555035128804,0.20608899297423888,1.0,0.6904239058494568,0.60256427526474,0.6248061656951904,0.6090964674949646,0.2141919881105423,0.2145547717809677,0.0034484241623431444,0.003734330181032419,0.18469689786434174,0.0,0.01830589957535267,0.0,"[0.0, 0.0, 0.5065021514892578, 0.4924887418746948, 0.0, 0.001009113620966673, 0.0, 0.0]","[0.12055127322673798, 0.1221703588962555, 0.14150835573673248, 0.13787022233009338, 0.09893935173749924, 0.13417094945907593, 0.13314753770828247, 0.11164197325706482]",0.3367825150489807,0.9970880150794983
