dataset,strategy,runs,mean_train_acc,mean_val_acc,mean_test_acc,mean_train_pool_acc,mean_val_pool_acc,mean_test_pool_acc,mean_test_pool_accepted_ratio,mean_test_pool_fixed,mean_test_pool_broken
chameleon,oracle_all_splits_upper_bound,3,0.8786666591962179,0.41777777671813965,0.3587284783522288,0.8786666591962179,0.4177066187063853,0.41740209857622784,0.006880398218830426,15.666666666666666,0.0
chameleon,oracle_test_upper_bound,3,0.8533333341280619,0.4044444461663564,0.3587284783522288,0.8533333341280619,0.35544609030087787,0.41740209857622784,0.006880398218830426,15.666666666666666,0.0
chameleon,prompt_off,3,0.8533333341280619,0.4044444461663564,0.3503818213939667,0.8533333341280619,0.35544609030087787,0.3759181002775828,0.0,0.0,0.0
chameleon,prompt_on_all_pool,3,0.8506666620572408,0.41555555661519367,0.34896111488342285,0.8506666620572408,0.40844736496607464,0.36855483055114746,0.16483676930268606,15.666666666666666,18.333333333333332
chameleon,train_high_learned_acceptance,3,0.8573333422342936,0.4088888963063558,0.3496714731057485,0.8573333422342936,0.37843459844589233,0.3723665078481038,0.06602254478881757,1.6666666666666667,3.0
chameleon,train_high_logit_delta,3,0.8640000025431315,0.40666667620340985,0.3503818114598592,0.8640000025431315,0.36694033940633136,0.37589208285013836,0.08446786490579446,3.3333333333333335,3.3333333333333335
chameleon,train_high_structural_score,3,0.8546666701634725,0.41111111640930176,0.3514473537604014,0.8546666701634725,0.3899288475513458,0.3811674416065216,0.11111110685548435,11.0,9.0
chameleon,train_low_conf_off,3,0.8586666584014893,0.41555555661519367,0.34896111488342285,0.8586666584014893,0.40844736496607464,0.36855483055114746,0.14814814925193787,15.666666666666666,18.333333333333332
chameleon,train_low_conf_on,3,0.8560000061988831,0.41111111640930176,0.3518025279045105,0.8560000061988831,0.3899288475513458,0.38296924034754437,0.10276679671369493,11.666666666666666,9.0
chameleon,train_low_margin_off,3,0.8573333422342936,0.41333333651224774,0.350914587577184,0.8573333422342936,0.3991881012916565,0.37849074602127075,0.08798125836377342,10.0,9.0
chameleon,train_low_margin_on,3,0.8506666620572408,0.41555555661519367,0.34896111488342285,0.8506666620572408,0.40844736496607464,0.36855483055114746,0.1645439863204956,15.666666666666666,18.333333333333332
