node_id,label,ce_no_prompt,ce_prompt,delta_ce,benefited,primary_prompt_slot,acceptance_gate,structural_score
7,4,1.3288867473602295,1.3073970079421997,0.021489739418029785,True,14,1.0,0.28074967861175537
36,0,2.3888039588928223,2.408539295196533,-0.019735336303710938,False,14,1.0,0.24790863692760468
62,4,1.428194284439087,1.4041725397109985,0.02402174472808838,True,14,1.0,0.40902945399284363
64,3,1.29318106174469,1.289821982383728,0.003359079360961914,True,14,1.0,0.27668124437332153
88,1,1.1778368949890137,1.1662055253982544,0.011631369590759277,True,14,1.0,0.6666666865348816
110,2,0.9162400960922241,0.9004853367805481,0.015754759311676025,True,14,1.0,0.11120545864105225
147,4,1.4174277782440186,1.3976728916168213,0.019754886627197266,True,14,1.0,0.3466605842113495
149,0,2.127115249633789,2.160994052886963,-0.03387880325317383,False,14,1.0,0.3282592296600342
156,1,1.2759125232696533,1.265662431716919,0.010250091552734375,True,14,1.0,0.6666666865348816
218,2,1.4693653583526611,1.457319736480713,0.012045621871948242,True,14,1.0,0.13870413601398468
220,4,1.2747132778167725,1.2524240016937256,0.022289276123046875,True,14,1.0,0.28910794854164124
265,4,1.4416996240615845,1.4191843271255493,0.022515296936035156,True,14,1.0,0.5480090975761414
270,0,3.128262758255005,3.173424243927002,-0.04516148567199707,False,14,1.0,0.4633094370365143
309,4,1.2635128498077393,1.2354185581207275,0.02809429168701172,True,14,1.0,0.6666666865348816
368,1,1.6547486782073975,1.662321925163269,-0.007573246955871582,False,14,1.0,0.12452248483896255
386,0,1.2783164978027344,1.2740496397018433,0.004266858100891113,True,14,1.0,0.6666666865348816
393,3,1.1838626861572266,1.1820589303970337,0.001803755760192871,True,14,1.0,0.08767382055521011
411,3,1.0857492685317993,1.0874104499816895,-0.0016611814498901367,False,14,1.0,0.185842826962471
423,2,1.4088226556777954,1.3981108665466309,0.01071178913116455,True,14,1.0,0.4109196662902832
424,3,1.3008604049682617,1.3028315305709839,-0.001971125602722168,False,14,1.0,0.16994576156139374
430,2,1.0573779344558716,1.0303432941436768,0.027034640312194824,True,14,1.0,0.6666666865348816
449,4,1.310554027557373,1.286039113998413,0.02451491355895996,True,14,1.0,0.32994064688682556
450,2,1.4252406358718872,1.42323637008667,0.002004265785217285,True,14,1.0,0.24483811855316162
461,0,1.206915259361267,1.2017107009887695,0.005204558372497559,True,14,1.0,0.6666666865348816
471,1,1.7147493362426758,1.7213032245635986,-0.0065538883209228516,False,14,1.0,0.1811101883649826
479,1,1.3495488166809082,1.3418439626693726,0.0077048540115356445,True,14,1.0,0.2741236388683319
558,2,1.4608690738677979,1.452132225036621,0.008736848831176758,True,14,1.0,0.2818818986415863
655,1,1.257058024406433,1.247772455215454,0.009285569190979004,True,14,1.0,0.6666666865348816
683,2,1.0337028503417969,1.0066050291061401,0.02709782123565674,True,14,1.0,0.6666666865348816
687,4,1.4038279056549072,1.3839850425720215,0.019842863082885742,True,14,1.0,0.20647604763507843
732,2,1.4759174585342407,1.4704612493515015,0.005456209182739258,True,14,1.0,0.0989561602473259
752,2,1.5308023691177368,1.5353193283081055,-0.004516959190368652,False,14,1.0,0.34097930788993835
809,0,1.5879273414611816,1.5943639278411865,-0.006436586380004883,False,14,1.0,0.6666666865348816
822,3,1.2038874626159668,1.1983745098114014,0.00551295280456543,True,14,1.0,0.6666666865348816
830,4,1.3110066652297974,1.285280466079712,0.02572619915008545,True,14,1.0,0.33949795365333557
878,2,0.8956620097160339,0.8687726855278015,0.026889324188232422,True,14,1.0,0.6666666865348816
882,2,1.068499207496643,1.0521553754806519,0.01634383201599121,True,14,1.0,0.19868403673171997
896,2,1.5455528497695923,1.5379207134246826,0.007632136344909668,True,14,1.0,0.3590278923511505
929,0,1.643603801727295,1.650585651397705,-0.006981849670410156,False,14,1.0,0.35441854596138
930,3,1.3302901983261108,1.3244353532791138,0.00585484504699707,True,14,1.0,0.6666666865348816
969,0,1.4769864082336426,1.4731453657150269,0.0038410425186157227,True,14,1.0,0.6666666865348816
1016,2,1.404571771621704,1.3885846138000488,0.015987157821655273,True,14,1.0,0.23849289119243622
1048,4,1.2714059352874756,1.2443568706512451,0.02704906463623047,True,14,1.0,0.6666666865348816
1086,4,1.1520856618881226,1.1184788942337036,0.033606767654418945,True,14,1.0,0.6666666865348816
1089,4,1.3857218027114868,1.3649650812149048,0.02075672149658203,True,14,1.0,0.38388165831565857
