seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_delta_eps,prompt_correction_loss,prompt_anti_harm_loss,prompt_correction_supervised_count,prompt_correction_harmful_count,prompt_correction_target_norm,prompt_delta_logit_norm,prompt_delta_logit_label_alignment,harmful_prompt_delta_ratio,prompt_message_help_loss,prompt_class_anti_harm_loss,class_balanced_mean_delta_ce,class_balanced_positive_delta_ratio,message_help_supervised_count,message_help_class_count,message_help_margin,message_help_class_balanced,prompt_class_anti_harm_floor,utility_receive_gate_loss,utility_gate_supervised_count,utility_gate_positive_count,utility_gate_negative_count,utility_gate_ignored_count,utility_gate_target_mean,utility_gate_delta_corr_train,use_utility_receive_gate,utility_receive_gate_mean,utility_receive_gate_min,utility_receive_gate_max,utility_receive_gate_floor,benefit_gate_mean,benefit_gate_min,benefit_gate_max,use_hard_receive_gate,hard_receive_ratio,hard_receive_selected_ratio,receive_gate_mean,receive_gate_min,receive_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,dominant_prompt_slot_ratio,active_prompt_slot_count@0.05,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,correction_norm,node_to_prompt_update_norm,raw_prompt_update_norm,unbounded_prompt_update_norm,prompt_update_clip_ratio,bounded_correction_clip_ratio,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,bounded_prompt_update,max_prompt_update_norm,prompt_update_bound_mode,receiver_version,prompt_fusion,prompt_slot_head_count,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_mean_delta_ce_train_pool,utility_positive_delta_ratio_train_pool,utility_mean_delta_ce_val_pool,utility_positive_delta_ratio_val_pool,utility_mean_delta_ce_test_pool,utility_positive_delta_ratio_test_pool,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,50.0,0.2658460736274719,0.2275632455945015,0.25806450843811035,0.2361575961112976,0.4850665032863617,0.9997689127922058,0.2,0.23921053111553192,0.05026315897703171,16,7272,0.05741611123085022,0.05741611123085022,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.3272435963153839,0.3366413116455078,0.33611512184143066,0.9999235272407532,0.021863717585802078,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004687438253313303,0.00042050256161019206,0.00031256169313564897,0.4551418721675873,382.0,5.0,0.005,1.0,0.0,0.4499126076698303,93.0,51.0,42.0,289.0,0.5483871102333069,0.1341959536075592,1.0,0.7615883350372314,0.27619469165802,0.9633702635765076,0.10000000149011612,1.0,1.0,1.0,0.0,1.0,1.0,0.7615883350372314,0.27619469165802,0.9633702635765076,1.6507563591003418,1.1590161323547363,0.0,0.0,0.0,0.211361668796636,0.734099455177784,0.009069549851119518,0.009209170937538147,0.20883719623088837,0.949921727180481,0.20009976625442505,12.0,0.0018201858038082719,0.06379466503858566,0.00011923852434847504,0.0018240106292068958,0.0018240106292068958,3.4044178391923197e-06,0.0072807432152330875,0.0018201858038082719,0.0,0.0,0.114285908639431,0.11420530080795288,0.11436650156974792,0.11436650156974792,0.25,0.25,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.0018240106292068958,0.0,0.0,0.0,"[30019, 3636, 3636]",0.0,0.0,0.0,False,80,0.25,0.03730149194598198,0.9057591557502747,0.7111720442771912,0.6738705635070801,0.03730149194598198,0.9057591557502747,-0.07115905731916428,0.3030303120613098,-0.042982447892427444,0.41404011845588684,0.0,-0.15725646913051605
0,55.0,0.26386532187461853,0.23429552614688873,0.25735709071159363,0.23466110229492188,0.4830969274044037,0.9964341521263123,0.2,0.23907895386219025,0.05026315897703171,16,7268,0.058200493454933167,0.058200493454933167,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.31098461151123047,0.4037485420703888,0.2852668762207031,0.9892228841781616,0.02226782590150833,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005544017069041729,0.0010885876836255193,0.02484257146716118,0.7806167602539062,382.0,5.0,0.005,1.0,0.0,0.554185152053833,127.0,79.0,48.0,255.0,0.6220472455024719,0.37392744421958923,1.0,0.765210747718811,0.2814426124095917,0.9761728048324585,0.10000000149011612,1.0,1.0,1.0,0.0,1.0,1.0,0.765210747718811,0.2814426124095917,0.9761728048324585,1.718132495880127,0.9931890368461609,0.013089004904031754,0.0,0.04490377753973007,0.29811524517240495,0.7311690524220467,0.12038591504096985,0.21128959953784943,0.36910924315452576,0.9259273409843445,0.2591387629508972,5.0,0.03457839787006378,0.7439268827438354,0.015062952414155006,0.034649357199668884,0.034649357199668884,0.000871349242515862,0.08720226585865021,0.043601132929325104,0.11016281694173813,0.11016281694173813,0.11660707741975784,0.11569452285766602,0.11751963198184967,0.11751963198184967,0.5,0.5,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.034649357199668884,0.0,0.0,0.0,"[30019, 3634, 3634]",0.0,0.0,0.0,False,80,0.5,0.06522763520479202,0.945026159286499,0.7370086908340454,0.671781063079834,0.06522763520479202,0.945026159286499,-0.06501534581184387,0.4117647111415863,-0.05226888507604599,0.44721826910972595,0.0,-0.0017414280446246266
0,55.0,0.26471421122550964,0.22758361995220183,0.25976231694221497,0.23462578058242797,0.4828175902366638,0.9965425729751587,0.2,0.2388157844543457,0.05026315897703171,16,7260,0.058200493454933167,0.058200493454933167,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.3406629264354706,0.347183495759964,0.3121536076068878,0.9990428686141968,0.025350742042064667,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022921995259821415,0.0,0.05028731748461723,0.9177510142326355,382.0,5.0,0.005,1.0,0.0,0.40667468309402466,111.0,79.0,32.0,271.0,0.7117117047309875,0.28923487663269043,1.0,0.8711520433425903,0.31738781929016113,0.9848125576972961,0.10000000149011612,1.0,1.0,1.0,0.0,1.0,1.0,0.8711520433425903,0.3173878490924835,0.9848124980926514,1.6240073442459106,1.6899611949920654,0.0,0.0,0.0,0.211361668796636,0.8672391604632139,0.02767091803252697,0.029489388689398766,0.09588603675365448,0.6554968953132629,0.5770142674446106,1.0,0.04401629418134689,0.5144608020782471,0.0071261851117014885,0.04410722851753235,0.04410722851753235,0.0008244189666584134,0.05998481065034866,0.05998481065034866,0.1382615566253662,0.1382615566253662,0.1162588894367218,0.11569169163703918,0.11682610213756561,0.11682610213756561,1.0,1.0,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.04410722851753235,0.0,0.0,0.0,"[30019, 3630, 3630]",0.0,0.0,0.0,False,80,1.0,0.0850321352481842,0.9764397740364075,0.732266902923584,0.6472346782684326,0.0850321352481842,0.9764397740364075,-0.11104036122560501,0.2857142984867096,-0.06529873609542847,0.41428571939468384,0.0,-0.04178446903824806
1,60.0,0.269100159406662,0.23779392540454863,0.2688172161579132,0.23779151886701583,0.4808153212070465,0.9941820502281189,0.2,0.23960526287555695,0.05026315897703171,16,7284,0.058992378413677216,0.058992378413677216,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.33804574608802795,0.3365356922149658,0.32541853189468384,0.9998695850372314,0.02431521937251091,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009923938661813736,0.005874702241271734,0.013314971700310707,0.6194518804550171,382.0,5.0,0.005,1.0,0.0,0.5012633204460144,119.0,75.0,44.0,263.0,0.6302521228790283,0.10449370741844177,1.0,0.8243511915206909,0.2871837615966797,0.9853752851486206,0.10000000149011612,1.0,1.0,1.0,0.0,1.0,1.0,0.8243511915206909,0.2871837615966797,0.9853752851486206,2.627810001373291,1.2036964893341064,0.11256544291973114,0.3235294222831726,0.10676156729459763,0.211361668796636,0.33339892141520977,0.02007462829351425,0.021631615236401558,0.12564685940742493,0.7170113325119019,0.510831356048584,3.0,0.03592541068792343,1.3831582069396973,0.008467704057693481,0.03600051626563072,0.03600051626563072,0.0002480952243786305,0.1640789955854416,0.0410197488963604,0.11620272696018219,0.11620272696018219,0.1180967390537262,0.11719579994678497,0.11899767816066742,0.11899767816066742,0.25,0.25,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.03600051626563072,0.0,0.0,0.0,"[30019, 3642, 3642]",0.0,0.0,0.0,False,80,0.25,0.035040974617004395,0.9188481569290161,0.7413317561149597,0.7062906622886658,0.035040974617004395,0.9188481569290161,-0.050960008054971695,0.5333333611488342,-0.05611032620072365,0.4925689995288849,0.0,-0.087938092648983
1,70.0,0.27122241258621216,0.23683469891548156,0.2676853537559509,0.23537538051605225,0.47659096121788025,0.9779893159866333,0.2,0.23973684012889862,0.05026315897703171,16,7288,0.06059855595231056,0.06059855595231056,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.35230323672294617,0.33134356141090393,0.3163532316684723,0.9991117715835571,0.025475099682807922,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036222361959517,0.0,0.04811902716755867,0.9287623167037964,382.0,5.0,0.005,1.0,0.0,0.4846377372741699,106.0,79.0,27.0,276.0,0.7452830076217651,0.23347559571266174,1.0,0.8407824635505676,0.3561210036277771,0.986288845539093,0.10000000149011612,1.0,1.0,1.0,0.0,1.0,1.0,0.8407824635505676,0.3561210036277771,0.986288845539093,1.618157148361206,1.4771956205368042,0.0,0.0,0.0,0.211361668796636,0.8580003995448351,0.04168064892292023,0.04258140176534653,0.10066400468349457,0.6431613564491272,0.5858539938926697,1.0,0.04416107013821602,1.138422966003418,0.003424151800572872,0.04425360634922981,0.04425360634922981,0.00020584028970915824,0.1413745880126953,0.07068729400634766,0.15821954607963562,0.15821954607963562,0.12228982150554657,0.1202300563454628,0.12434957921504974,0.12434957921504974,0.5,0.5,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.04425360634922981,0.0,0.0,0.0,"[30019, 3644, 3644]",0.0,0.0,0.0,False,80,0.5,0.0540393702685833,0.9345549941062927,0.7542694211006165,0.700230062007904,0.0540393702685833,0.9345549941062927,-0.08567054569721222,0.4516128897666931,-0.06140565499663353,0.4850427210330963,0.0,-0.10567017644643784
1,65.0,0.27419355511665344,0.23570347279310228,0.2662705183029175,0.2342577114701271,0.4786643385887146,0.9873911738395691,0.2,0.23921053111553192,0.05026315897703171,16,7272,0.05979172885417938,0.05979172885417938,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.34448912739753723,0.3228440582752228,0.3326668441295624,0.999679446220398,0.025867732241749763,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003440186847001314,0.0,0.060589712113142014,0.935370147228241,382.0,5.0,0.005,1.0,0.0,0.43779242038726807,104.0,79.0,25.0,278.0,0.7596153616905212,0.20309187471866608,1.0,0.8652612566947937,0.34272655844688416,0.9768980741500854,0.10000000149011612,1.0,1.0,1.0,0.0,1.0,1.0,0.8652612566947937,0.34272655844688416,0.9768980741500854,1.6482082605361938,1.7886756658554077,0.0,0.0,0.0,0.211361668796636,0.8936630226671696,0.02442651242017746,0.024432633072137833,0.10355743765830994,0.6135703921318054,0.6117342114448547,2.0,0.044778503477573395,0.6390566825866699,0.004596893675625324,0.044871628284454346,0.044871628284454346,0.0005456447834149003,0.07724893093109131,0.07724893093109131,0.17614233493804932,0.17614233493804932,0.1200067326426506,0.11870327591896057,0.12131019681692123,0.12131019681692123,1.0,1.0,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.044871628284454346,0.0,0.0,0.0,"[30019, 3636, 3636]",0.0,0.0,0.0,False,80,1.0,0.07214424014091492,0.9502617716789246,0.7589467763900757,0.6868025660514832,0.07214424014091492,0.9502617716789246,-0.08449408411979675,0.5161290168762207,-0.07221571356058121,0.45266902446746826,0.0,-0.08262612670660019
2,1.0,0.2593378722667694,0.08350651636719704,0.2606112062931061,0.19324541762471198,0.5,0.9999986886978149,0.2,0.2409210503101349,0.05026315897703171,16,7324,0.005014018155634403,0.05014017969369888,0.1,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.31461071968078613,0.3380284607410431,0.34736084938049316,0.9992164373397827,0.0013788549695163965,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5500000715255737,0.550000011920929,0.550000011920929,0.10000000149011612,1.0,1.0,1.0,0.0,1.0,1.0,0.5500000715255737,0.5499999523162842,0.5500000715255737,1.613566279411316,0.006332695484161377,0.002617801073938608,0.0,0.009831461124122143,0.22459842220321263,0.6897413060069084,0.0035905397962778807,0.0037179316859692335,0.5287460088729858,0.9999129176139832,0.06581750512123108,16.0,0.0001079394860425964,0.004315005149692297,0.0,0.00010816672875080258,0.00010816672875080258,0.0,0.0004317579441703856,0.0001079394860425964,0.0,0.0,0.10027032345533371,0.10027032345533371,0.10027032345533371,0.10027032345533371,0.25,0.25,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.00010816672875080258,0.0,0.0,0.0,"[30019, 3662, 3662]",0.0,0.0,0.0,True,40,0.25,0.00037022208562120795,0.7120419144630432,1.2969492673873901,1.2965790033340454,0.00037022208562120795,0.7120419144630432,-0.0005918787210248411,0.5,0.00016813992988318205,0.6758087277412415,0.0,0.16060078144073486
2,1.0,0.2593378722667694,0.08349759662523866,0.25806450843811035,0.20253269448876382,0.5,0.9999948740005493,0.2,0.2409210503101349,0.05026315897703171,16,7324,0.005014018155634403,0.05014017969369888,0.1,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.31461071968078613,0.3380284607410431,0.34736084938049316,0.9992164373397827,0.0013788549695163965,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5500000715255737,0.550000011920929,0.550000011920929,0.10000000149011612,1.0,1.0,1.0,0.0,1.0,1.0,0.5500000715255737,0.5499999523162842,0.5500000715255737,1.613566279411316,0.006332695484161377,0.002617801073938608,0.0,0.009831461124122143,0.22459842220321263,0.6897413060069084,0.0035905397962778807,0.0037179316859692335,0.5287460088729858,0.9999129176139832,0.06581750512123108,16.0,0.00021871167700737715,0.004371625371277332,0.0,0.00021917212870903313,0.00021917212870903313,0.0,0.0004374233540147543,0.00021871167700737715,0.0,0.0,0.10027032345533371,0.10027032345533371,0.10027032345533371,0.10027032345533371,0.5,0.5,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.00021917212870903313,0.0,0.0,0.0,"[30019, 3662, 3662]",0.0,0.0,0.0,True,40,0.5,0.014979531988501549,0.7041884660720825,1.3028806447982788,1.2879010438919067,0.014979531988501549,0.7041884660720825,-0.011748270131647587,0.43478259444236755,0.005238371901214123,0.6187806725502014,0.0,0.16522829234600067
2,1.0,0.2593378722667694,0.08350651636719704,0.2604697346687317,0.19893833845853806,0.5,0.999979555606842,0.2,0.2409210503101349,0.05026315897703171,16,7324,0.005014018155634403,0.05014017969369888,0.1,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.31461071968078613,0.3380284607410431,0.34736084938049316,0.9992164373397827,0.0013788549695163965,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5500000715255737,0.550000011920929,0.550000011920929,0.10000000149011612,1.0,1.0,1.0,0.0,1.0,1.0,0.5500000715255737,0.5499999523162842,0.5500000715255737,1.613566279411316,0.006332695484161377,0.002617801073938608,0.0,0.009831461124122143,0.22459842220321263,0.6897413060069084,0.0035905397962778807,0.0037179316859692335,0.5287460088729858,0.9999129176139832,0.06581750512123108,16.0,0.0004407612723298371,0.004404984414577484,0.0,0.0004416892188601196,0.0004416892188601196,0.0,0.0004407612723298371,0.0004407612723298371,0.0,0.0,0.10027032345533371,0.10027032345533371,0.10027032345533371,0.10027032345533371,1.0,1.0,weighted_mean,1.0,0.20000000298023224,norm_clip,v4_multi_expert_residual,multi_expert_residual_correction,16.0,1.0,1.0,0.0004416892188601196,0.0,0.0,0.0,"[30019, 3662, 3662]",0.0,0.0,0.0,True,40,1.0,0.0275634303689003,0.8376963138580322,1.3054877519607544,1.2779244184494019,0.0275634303689003,0.8376963138580322,-0.0006211749278008938,0.517241358757019,0.009174270555377007,0.6341975927352905,0.0,0.1812412440776825
