dataset,strategy,runs,mean_train_acc,mean_val_acc,mean_test_acc,mean_train_pool_acc,mean_val_pool_acc,mean_test_pool_acc,mean_test_pool_accepted_ratio,mean_test_pool_fixed,mean_test_pool_broken
chameleon,oracle_all_splits_upper_bound,3,0.9425287246704102,0.3688888947168986,0.34261560440063477,0.9425287246704102,0.40269360939661664,0.4063357313474019,0.009222661455472311,21.0,0.0
chameleon,oracle_test_upper_bound,3,0.9166666467984518,0.34222222367922467,0.34261560440063477,0.9166666467984518,0.25319866339365643,0.4063357313474019,0.009222661455472311,21.0,0.0
chameleon,prompt_off,3,0.9166666467984518,0.34222222367922467,0.33217304944992065,0.9166666467984518,0.25319866339365643,0.35428592562675476,0.0,0.0,0.0
chameleon,prompt_on_all_pool,3,0.9425287246704102,0.36444444457689923,0.3339963455994924,0.9425287246704102,0.3764309883117676,0.3633761703968048,0.17728004852930704,21.0,17.333333333333332
chameleon,train_high_learned_acceptance,3,0.9425287246704102,0.36444444457689923,0.3339963455994924,0.9425287246704102,0.3764309883117676,0.3633761703968048,0.1765480935573578,21.0,17.333333333333332
chameleon,train_high_logit_delta,3,0.9425287246704102,0.36444444457689923,0.3339963455994924,0.9425287246704102,0.3764309883117676,0.3633761703968048,0.17713365455468497,21.0,17.333333333333332
chameleon,train_high_structural_score,3,0.9425287246704102,0.36444444457689923,0.3339963455994924,0.9425287246704102,0.3764309883117676,0.3633761703968048,0.17728004852930704,21.0,17.333333333333332
chameleon,train_low_conf_off,3,0.9425287246704102,0.36444444457689923,0.3339963455994924,0.9425287246704102,0.3764309883117676,0.3633761703968048,0.1768408715724945,21.0,17.333333333333332
chameleon,train_low_conf_on,3,0.9425287246704102,0.36444444457689923,0.3339963455994924,0.9425287246704102,0.3764309883117676,0.3633761703968048,0.1768408715724945,21.0,17.333333333333332
chameleon,train_low_margin_off,3,0.9425287246704102,0.36444444457689923,0.3339963455994924,0.9425287246704102,0.3764309883117676,0.3633761703968048,0.17728004852930704,21.0,17.333333333333332
chameleon,train_low_margin_on,3,0.9425287246704102,0.36444444457689923,0.3339963455994924,0.9425287246704102,0.3764309883117676,0.3633761703968048,0.1768408715724945,21.0,17.333333333333332
