node_id,label,ce_no_prompt,ce_prompt,delta_ce,benefited,primary_prompt_slot,acceptance_gate,structural_score
3196,2,1.5645331144332886,1.5612231492996216,0.003309965133666992,True,8,0.8175243139266968,0.6666666865348816
3199,4,1.620564341545105,1.6110590696334839,0.009505271911621094,True,12,0.6780884265899658,0.6666666865348816
3206,4,1.6158316135406494,1.6082959175109863,0.007535696029663086,True,12,0.8212341070175171,0.39529743790626526
3233,3,1.6522870063781738,1.6484442949295044,0.0038427114486694336,True,12,0.5486270785331726,0.4797845780849457
3264,3,1.6465177536010742,1.640491008758545,0.006026744842529297,True,12,0.4134710431098938,0.6666666865348816
3332,4,1.6127108335494995,1.605191946029663,0.007518887519836426,True,12,0.6750930547714233,0.30328047275543213
3357,1,1.6446408033370972,1.6466293334960938,-0.001988530158996582,False,12,0.5701082944869995,0.3202526867389679
3359,3,1.6415115594863892,1.635324478149414,0.006187081336975098,True,12,0.7125251293182373,0.6666666865348816
3369,1,1.6449741125106812,1.6476083993911743,-0.002634286880493164,False,12,0.7147932648658752,0.6666666865348816
3429,4,1.5985456705093384,1.5900800228118896,0.00846564769744873,True,12,0.6840158104896545,0.6666666865348816
3498,1,1.6392226219177246,1.6428139209747314,-0.003591299057006836,False,8,0.8239651322364807,0.5414250493049622
3524,4,1.622044324874878,1.613411545753479,0.008632779121398926,True,8,0.818983256816864,0.6798624396324158
3529,3,1.63600754737854,1.631654977798462,0.004352569580078125,True,12,0.6784558296203613,0.1951456516981125
3559,4,1.615563154220581,1.609088659286499,0.006474494934082031,True,12,0.7425039410591125,0.34820905327796936
3570,4,1.615878939628601,1.6081782579421997,0.007700681686401367,True,12,0.8674802780151367,0.5489962697029114
3582,4,1.6119093894958496,1.6028279066085815,0.009081482887268066,True,8,0.6854378581047058,0.6666666865348816
3606,2,1.571316123008728,1.5682451725006104,0.0030709505081176758,True,12,0.6208182573318481,0.6666666865348816
3608,4,1.6183542013168335,1.6117730140686035,0.0065811872482299805,True,12,0.6959022879600525,0.5767006278038025
3615,4,1.616168737411499,1.6094563007354736,0.006712436676025391,True,12,0.8048595190048218,0.2607939541339874
3634,1,1.6391260623931885,1.6412428617477417,-0.0021167993545532227,False,8,0.7128270268440247,0.5111904144287109
3637,4,1.6232199668884277,1.6136513948440552,0.009568572044372559,True,8,0.7049934267997742,0.6666666865348816
3641,3,1.6358232498168945,1.6293554306030273,0.0064678192138671875,True,12,0.6962499022483826,0.330282062292099
3651,1,1.6419004201889038,1.644543170928955,-0.0026427507400512695,False,12,0.4065854251384735,0.4038991630077362
3688,3,1.6449570655822754,1.638628363609314,0.006328701972961426,True,12,0.3465637266635895,0.0
3698,4,1.614667534828186,1.606229543685913,0.00843799114227295,True,12,0.6431483030319214,0.25158193707466125
3727,1,1.6415693759918213,1.643371343612671,-0.0018019676208496094,False,8,0.7988987565040588,0.4475211203098297
3729,0,1.5799705982208252,1.5953569412231445,-0.015386343002319336,False,12,0.4298379719257355,0.6666666865348816
3736,4,1.617830514907837,1.6094896793365479,0.008340835571289062,True,8,0.8240368962287903,0.28820985555648804
3771,3,1.650577187538147,1.6440272331237793,0.006549954414367676,True,12,0.6641367673873901,0.6666666865348816
3791,3,1.6541341543197632,1.6493157148361206,0.004818439483642578,True,12,0.5431301593780518,0.28647077083587646
3804,4,1.6219135522842407,1.6132442951202393,0.008669257164001465,True,8,0.8063955307006836,0.5898577570915222
3822,4,1.6183228492736816,1.6086525917053223,0.009670257568359375,True,8,0.7191035747528076,0.6666666865348816
3831,2,1.5716103315353394,1.568326473236084,0.003283858299255371,True,8,0.7256498336791992,0.6666666865348816
3834,4,1.6154121160507202,1.6086452007293701,0.006766915321350098,True,12,0.7530057430267334,0.271292507648468
3843,2,1.5758110284805298,1.5724964141845703,0.0033146142959594727,True,8,0.7215681672096252,0.6666666865348816
3888,1,1.6385607719421387,1.6406729221343994,-0.002112150192260742,False,12,0.8075114488601685,0.5659264922142029
3896,4,1.6172850131988525,1.6100986003875732,0.007186412811279297,True,12,0.6075077652931213,0.5979236960411072
3916,1,1.6405880451202393,1.6426342725753784,-0.00204622745513916,False,12,0.6593384742736816,0.5128797888755798
3936,0,1.5964330434799194,1.6082751750946045,-0.011842131614685059,False,12,0.4894520342350006,0.25321057438850403
3943,3,1.6531095504760742,1.648287296295166,0.004822254180908203,True,12,0.6050562858581543,0.4384984076023102
3955,4,1.6152409315109253,1.6088284254074097,0.006412506103515625,True,12,0.682201623916626,0.1955152153968811
3961,0,1.5698446035385132,1.5821360349655151,-0.012291431427001953,False,12,0.4378630220890045,0.283830851316452
3968,3,1.6501256227493286,1.6462984085083008,0.003827214241027832,True,12,0.3869194984436035,0.14618398249149323
3978,1,1.639540195465088,1.6418471336364746,-0.0023069381713867188,False,12,0.664353609085083,0.2332056164741516
3981,0,1.583652377128601,1.5945463180541992,-0.010893940925598145,False,12,0.8994879722595215,0.21087555587291718
