node_id,label,ce_no_prompt,ce_prompt,delta_ce,benefited,primary_prompt_slot,acceptance_gate,structural_score
7,4,0.0003106111544184387,0.00026079590315930545,4.981525125913322e-05,True,9,1.0,0.11354108899831772
36,0,0.003153472673147917,0.000291662581730634,0.0028618101496249437,True,9,1.0,0.0844695195555687
62,4,0.00814296305179596,0.005529703106731176,0.002613259945064783,True,9,1.0,0.13085682690143585
64,3,0.0005820487276650965,0.000582525331992656,-4.7660432755947113e-07,False,9,1.0,0.1543455570936203
88,1,-0.0,-0.0,0.0,False,9,1.0,0.6666666865348816
110,2,-0.0,-0.0,0.0,False,9,1.0,0.0746956393122673
147,4,0.022979626432061195,0.0216375645250082,0.0013420619070529938,True,9,1.0,0.4034331738948822
149,0,0.09711902588605881,0.0918760672211647,0.005242958664894104,True,9,1.0,0.2059546262025833
156,1,1.4305104514278355e-06,1.847726889536716e-05,-1.704675923974719e-05,False,9,1.0,0.6666666865348816
218,2,0.014744480140507221,0.012008163146674633,0.002736316993832588,True,9,1.0,0.07973597198724747
220,4,1.0490362910786644e-05,9.179073458653875e-06,1.311289452132769e-06,True,9,1.0,0.1317123919725418
265,4,0.0018744770204648376,0.0015628041001036763,0.00031167292036116123,True,9,1.0,0.28796371817588806
270,0,0.04369350150227547,0.007280722260475159,0.03641277924180031,True,9,1.0,0.37118783593177795
309,4,1.1920928244535389e-07,-0.0,1.1920928244535389e-07,True,9,1.0,0.6666666865348816
368,1,0.00035089056473225355,0.0012043612077832222,-0.0008534706430509686,False,9,1.0,0.0927288755774498
386,0,4.887569048150908e-06,3.099436753473128e-06,1.78813229467778e-06,True,9,1.0,0.6666666865348816
393,3,-0.0,-0.0,0.0,False,9,1.0,0.17936968803405762
411,3,6.16293036728166e-05,3.373566141817719e-05,2.7893642254639417e-05,True,9,1.0,0.07343097776174545
423,2,0.8130965828895569,0.9205051064491272,-0.10740852355957031,False,9,1.0,0.28705763816833496
424,3,0.005555309820920229,0.00582366855815053,-0.0002683587372303009,False,9,1.0,0.07439377903938293
430,2,-0.0,-0.0,0.0,False,9,1.0,0.6666666865348816
449,4,0.0016621834365651011,0.0014013956533744931,0.000260787783190608,True,9,1.0,0.280033141374588
450,2,0.00023135847004596144,0.0003070359816774726,-7.567751163151115e-05,False,9,1.0,0.08132362365722656
461,0,1.1920928244535389e-07,1.1920928244535389e-07,0.0,False,9,1.0,0.6666666865348816
471,1,0.009561103768646717,0.021322423592209816,-0.011761319823563099,False,9,1.0,0.06797053664922714
479,1,2.586808113846928e-05,0.00044824567157775164,-0.0004223776049911976,False,9,1.0,0.06775820255279541
558,2,0.14203985035419464,0.1520148664712906,-0.009975016117095947,False,9,1.0,0.160002663731575
655,1,-0.0,-0.0,0.0,False,9,1.0,0.6666666865348816
683,2,-0.0,-0.0,0.0,False,9,1.0,0.6666666865348816
687,4,0.0011147005716338754,0.0010182439582422376,9.64566133916378e-05,True,9,1.0,0.1271660178899765
732,2,0.05326022580265999,0.032992005348205566,0.020268220454454422,True,9,1.0,0.05057791247963905
752,2,0.0013773487880825996,0.0002961912250611931,0.001081157592125237,True,9,1.0,0.3297653794288635
809,0,0.16517600417137146,0.00996861606836319,0.15520739555358887,True,9,1.0,0.6666666865348816
822,3,-0.0,-0.0,0.0,False,9,1.0,0.6666666865348816
830,4,0.005126782692968845,0.003959673922508955,0.0011671087704598904,True,9,1.0,0.10584493726491928
878,2,-0.0,-0.0,0.0,False,9,1.0,0.6666666865348816
882,2,1.1920928244535389e-07,1.1920928244535389e-07,0.0,False,9,1.0,0.1334254890680313
896,2,0.06868059188127518,0.06811036169528961,0.0005702301859855652,True,9,1.0,0.08733437210321426
929,0,0.018663395196199417,0.024673283100128174,-0.006009887903928757,False,9,1.0,0.09700760245323181
930,3,0.3462470471858978,0.04193553328514099,0.30431151390075684,True,9,1.0,0.6666666865348816
969,0,8.237022848334163e-05,3.099436753473128e-06,7.927079423097894e-05,True,9,1.0,0.6666666865348816
1016,2,0.025333089753985405,0.002222926588729024,0.02311016246676445,True,9,1.0,0.06903871893882751
1048,4,-0.0,-0.0,0.0,False,9,1.0,0.6666666865348816
1086,4,-0.0,-0.0,0.0,False,9,1.0,0.6666666865348816
1089,4,0.0001486429391661659,0.00013314791431184858,1.5495024854317307e-05,True,9,1.0,0.4269140660762787
1122,0,0.6063055396080017,0.18307064473628998,0.42323487997055054,True,9,1.0,0.03690695762634277
1157,1,0.006968954112380743,0.031105099245905876,-0.024136144667863846,False,9,1.0,0.0975215807557106
1185,1,7.593343616463244e-05,0.00033456450910307467,-0.00025863107293844223,False,9,1.0,0.12779434025287628
1201,1,0.003246158827096224,0.005615531001240015,-0.002369372174143791,False,9,1.0,0.4336812496185303
1203,1,-0.0,-0.0,0.0,False,9,1.0,0.3772263526916504
1209,0,2.3841855067985307e-07,1.1920928244535389e-07,1.1920926823449918e-07,True,9,1.0,0.6666666865348816
1225,3,-0.0,-0.0,0.0,False,9,1.0,0.6002514362335205
1239,4,0.004175160080194473,0.0005012686015106738,0.0036738915368914604,True,9,1.0,0.6666666865348816
1243,4,0.14828678965568542,0.022747179493308067,0.1255396157503128,True,9,1.0,0.6666666865348816
1255,0,0.0035835590679198503,0.004011204931885004,-0.0004276458639651537,False,9,1.0,0.5759828686714172
1257,3,-0.0,-0.0,0.0,False,9,1.0,0.5023921132087708
1269,4,0.00011336160969221964,8.368142152903602e-05,2.968018816318363e-05,True,9,1.0,0.40300074219703674
1277,3,0.007226637098938227,0.008069531992077827,-0.0008428948931396008,False,9,1.0,0.3991083800792694
1283,1,4.768370445162873e-07,8.702239938429557e-06,-8.225402780226432e-06,False,9,1.0,0.6666666865348816
1295,2,-0.0,-0.0,0.0,False,9,1.0,0.10473320633172989
1308,4,0.07241063565015793,0.05612427368760109,0.01628636196255684,True,9,1.0,0.6666666865348816
1312,4,0.005812883377075195,0.005445883143693209,0.0003670002333819866,True,9,1.0,0.10911381244659424
1377,2,0.0008316157618537545,0.00018714107864070684,0.0006444746977649629,True,9,1.0,0.05488840863108635
1396,3,-0.0,-0.0,0.0,False,9,1.0,0.6666666865348816
1412,4,8.583032467868179e-06,6.079655122448457e-06,2.5033773454197217e-06,True,9,1.0,0.6666666865348816
1466,3,0.00384935992769897,0.00359341804869473,0.00025594187900424004,True,9,1.0,0.11626273393630981
1482,0,4.768370445162873e-07,2.3841855067985307e-07,2.384184938364342e-07,True,9,1.0,0.6666666865348816
1486,2,0.005571195390075445,0.002942282473668456,0.002628912916406989,True,9,1.0,0.07857263088226318
1487,3,-0.0,-0.0,0.0,False,9,1.0,0.14957158267498016
1502,3,1.4185804502631072e-05,7.867782187531702e-06,6.31802231509937e-06,True,9,1.0,0.5140938758850098
1643,2,0.008221828378736973,0.0021627387031912804,0.0060590896755456924,True,9,1.0,0.1911279410123825
1683,4,-0.0,-0.0,0.0,False,9,1.0,0.6666666865348816
1732,0,0.18871043622493744,0.010993978939950466,0.177716463804245,True,9,1.0,0.6666666865348816
1755,4,0.019718457013368607,0.013360025361180305,0.006358431652188301,True,9,1.0,0.19635331630706787
