seed,selected_route_budget,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,route_semantic,route_structural,route_null,prompt_message_norm,gamma,init_adapted_x_delta,init_logit_delta
0,0.05,140.0,0.7194478511810303,0.6911291692938123,0.5533901453018188,0.5556957806859698,0.057803016155958176,0.052784860134124756,0.8894121646881104,0.0007235633675009012,0.011318676173686981,0.0,0.0
1,0.05,115.0,0.7080795764923096,0.686365578855787,0.6069833636283875,0.5936929540974754,0.06207770109176636,0.059886038303375244,0.8780362606048584,0.000797443266492337,0.011075073853135109,0.0,0.0
2,0.05,95.0,0.6609825491905212,0.6317727225167411,0.5062931180000305,0.491409284727914,0.08325576037168503,0.07182576507329941,0.8449184894561768,0.0013794426340609789,0.010886043310165405,0.0,0.0
3,0.05,125.0,0.7243199348449707,0.6998109562056405,0.7365002036094666,0.7094604798725673,0.05805263668298721,0.06418550759553909,0.8777618408203125,0.0007698987610638142,0.011173740960657597,0.0,0.0
4,0.05,100.0,0.6398700475692749,0.6081877052783966,0.36581405997276306,0.33412006084940266,0.06953845173120499,0.08019275218248367,0.8502687811851501,0.0015324358828365803,0.01093663927167654,0.0,0.0
