dataset,strategy,runs,mean_train_acc,mean_val_acc,mean_test_acc,mean_train_pool_acc,mean_val_pool_acc,mean_test_pool_acc,mean_test_pool_accepted_ratio,mean_test_pool_fixed,mean_test_pool_broken
Actor,oracle_all_splits_upper_bound,3,0.9733333388964335,0.26888889571030933,0.25050505499045056,0.9733333388964335,0.2723214328289032,0.3196032643318176,0.018114035328229267,137.66666666666666,0.0
Actor,oracle_test_upper_bound,3,0.9200000166893005,0.24444443980852762,0.25050505499045056,0.9200000166893005,0.15962301443020502,0.3196032643318176,0.018114035328229267,137.66666666666666,0.0
Actor,prompt_off,3,0.9200000166893005,0.24444443980852762,0.23196409145991007,0.9200000166893005,0.15962301443020502,0.2268014152844747,0.0,0.0,0.0
Actor,prompt_on_all_pool,3,0.9466666579246521,0.2577777753273646,0.23043770591417947,0.9466666579246521,0.21418651441733041,0.21918477614720663,0.1953947345415751,137.66666666666666,149.0
Actor,train_high_learned_acceptance,3,0.9733333388964335,0.262222225467364,0.23200897872447968,0.9733333388964335,0.24196429053942362,0.22700731456279755,0.16162280986706415,126.66666666666667,126.33333333333333
Actor,train_high_logit_delta,3,0.9733333388964335,0.25999999543031055,0.23093153536319733,0.9733333388964335,0.22807539999485016,0.22165228426456451,0.1279824562370777,103.33333333333333,111.0
Actor,train_high_structural_score,3,0.9599999984105428,0.2577777753273646,0.23043770591417947,0.9599999984105428,0.21418651441733041,0.21918477614720663,0.1953947345415751,137.66666666666666,149.0
Actor,train_low_conf_off,3,0.9733333388964335,0.262222225467364,0.2309764325618744,0.9733333388964335,0.24196429053942362,0.22186394532521567,0.13052631324778,108.66666666666667,116.0
Actor,train_low_conf_on,3,0.9733333388964335,0.25999999543031055,0.23093154033025107,0.9733333388964335,0.22807539999485016,0.22164068619410196,0.12969298164049783,108.0,115.66666666666667
Actor,train_low_margin_off,3,0.9599999984105428,0.2577777753273646,0.2313355803489685,0.9599999984105428,0.21418651441733041,0.22365005811055502,0.136184207474192,115.66666666666667,120.33333333333333
Actor,train_low_margin_on,3,0.9733333388964335,0.25999999543031055,0.2307968537012736,0.9733333388964335,0.22807539999485016,0.220970888932546,0.1311842097590367,109.66666666666667,118.33333333333333
