dataset,seed,selected_message_scale,strategy,direction,threshold,train_acc,val_acc,test_acc,train_pool_acc,val_pool_acc,test_pool_acc,train_pool_accepted_ratio,val_pool_accepted_ratio,test_pool_accepted_ratio,test_pool_fixed,test_pool_broken,test_prediction_change_ratio
Actor,0,5.0,prompt_off,,,0.9200000166893005,0.19333332777023315,0.23191919922828674,0.9200000166893005,0.11428571492433548,0.20715250074863434,0.0,0.0,0.0,0,0,0.0
Actor,0,5.0,prompt_on_all_pool,,,1.0,0.2266666740179062,0.22329966723918915,1.0,0.2571428716182709,0.16396760940551758,0.003289473708719015,0.004605263005942106,0.19499999284744263,137,201,0.11892256140708923
Actor,0,5.0,oracle_test_upper_bound,,,0.9200000166893005,0.19333332777023315,0.2503703832626343,0.9200000166893005,0.11428571492433548,0.2995951473712921,0.0,0.0,0.018026316538453102,137,0,0.018451178446412086
Actor,0,5.0,oracle_all_splits_upper_bound,,,1.0,0.23333333432674408,0.2503703832626343,1.0,0.2857142984867096,0.2995951473712921,0.0002631578827276826,0.0007894737063907087,0.018026316538453102,137,0,0.018451178446412086
Actor,0,5.0,train_low_conf_off,low,0.5181836485862732,1.0,0.2266666740179062,0.22329966723918915,1.0,0.2571428716182709,0.16396760940551758,0.003289473708719015,0.0044736843556165695,0.19473683834075928,137,201,0.11892256140708923
Actor,0,5.0,train_low_margin_off,low,0.3678968846797943,1.0,0.2266666740179062,0.22329966723918915,1.0,0.2571428716182709,0.16396760940551758,0.003289473708719015,0.004605263005942106,0.19486841559410095,137,201,0.11892256140708923
Actor,0,5.0,train_high_structural_score,high,0.11285614222288132,1.0,0.2266666740179062,0.22329966723918915,1.0,0.2571428716182709,0.16396760940551758,0.003289473708719015,0.004605263005942106,0.19499999284744263,137,201,0.11892256140708923
Actor,0,5.0,train_high_logit_delta,high,1.4926855564117432,1.0,0.2266666740179062,0.2242424190044403,1.0,0.2571428716182709,0.16869096457958221,0.003289473708719015,0.0043421052396297455,0.17592105269432068,122,179,0.10882154852151871
Actor,0,5.0,train_high_learned_acceptance,high,0.27890563011169434,1.0,0.2266666740179062,0.22397306561470032,1.0,0.2571428716182709,0.1673414260149002,0.003289473708719015,0.004605263005942106,0.18842105567455292,132,191,0.11501683294773102
Actor,0,5.0,train_low_conf_on,low,0.8487772345542908,1.0,0.2266666740179062,0.22329966723918915,1.0,0.2571428716182709,0.16396760940551758,0.003289473708719015,0.004605263005942106,0.19499999284744263,137,201,0.11892256140708923
Actor,0,5.0,train_low_margin_on,low,0.7014203071594238,1.0,0.2266666740179062,0.22329966723918915,1.0,0.2571428716182709,0.16396760940551758,0.003289473708719015,0.004605263005942106,0.19499999284744263,137,201,0.11892256140708923
Actor,1,5.0,prompt_off,,,0.9200000166893005,0.24666666984558105,0.20188552141189575,0.9200000166893005,0.15625,0.19729728996753693,0.0,0.0,0.0,0,0,0.0
Actor,1,5.0,prompt_on_all_pool,,,1.0,0.25999999046325684,0.2074074000120163,1.0,0.21875,0.22499999403953552,0.003289473708719015,0.0042105261236429214,0.19473683834075928,187,146,0.09804713726043701
Actor,1,5.0,oracle_test_upper_bound,,,0.9200000166893005,0.24666666984558105,0.22707070410251617,0.9200000166893005,0.15625,0.3236486613750458,0.0,0.0,0.024605263024568558,187,0,0.02518518455326557
Actor,1,5.0,oracle_all_splits_upper_bound,,,1.0,0.273333340883255,0.22707070410251617,1.0,0.28125,0.3236486613750458,0.0002631578827276826,0.0005263157654553652,0.024605263024568558,187,0,0.02518518455326557
Actor,1,5.0,train_low_conf_off,low,0.7125674486160278,1.0,0.25999999046325684,0.2074074000120163,1.0,0.21875,0.22499999403953552,0.003289473708719015,0.0042105261236429214,0.19473683834075928,187,146,0.09804713726043701
Actor,1,5.0,train_low_margin_off,low,0.5829525589942932,1.0,0.25999999046325684,0.2074074000120163,1.0,0.21875,0.22499999403953552,0.003289473708719015,0.0042105261236429214,0.19473683834075928,187,146,0.09804713726043701
Actor,1,5.0,train_high_structural_score,high,0.04131503403186798,1.0,0.25999999046325684,0.2074074000120163,1.0,0.21875,0.22499999403953552,0.003289473708719015,0.0042105261236429214,0.19473683834075928,187,146,0.09804713726043701
Actor,1,5.0,train_high_logit_delta,high,2.5499014854431152,1.0,0.25999999046325684,0.2074074000120163,1.0,0.21875,0.22499999403953552,0.003289473708719015,0.0042105261236429214,0.19328947365283966,187,146,0.09737373888492584
Actor,1,5.0,train_high_learned_acceptance,high,0.2981931269168854,1.0,0.25999999046325684,0.2074074000120163,1.0,0.21875,0.22499999403953552,0.003289473708719015,0.0042105261236429214,0.19421052932739258,187,146,0.09804713726043701
Actor,1,5.0,train_low_conf_on,low,0.9974700212478638,1.0,0.25999999046325684,0.2074074000120163,1.0,0.21875,0.22499999403953552,0.003289473708719015,0.0042105261236429214,0.1940789520740509,187,146,0.09804713726043701
Actor,1,5.0,train_low_margin_on,low,0.9963330030441284,1.0,0.25999999046325684,0.2074074000120163,1.0,0.21875,0.22499999403953552,0.003289473708719015,0.0042105261236429214,0.1940789520740509,187,146,0.09804713726043701
Actor,2,5.0,prompt_off,,,0.9200000166893005,0.2933333218097687,0.26208755373954773,0.9200000166893005,0.2083333283662796,0.2759544551372528,0.0,0.0,0.0,0,0,0.0
Actor,2,5.0,prompt_on_all_pool,,,0.8399999737739563,0.2866666615009308,0.260606050491333,0.8399999737739563,0.1666666716337204,0.2685867249965668,0.003289473708719015,0.0031578948255628347,0.19644737243652344,89,100,0.0556228943169117
Actor,2,5.0,oracle_test_upper_bound,,,0.9200000166893005,0.2933333218097687,0.27407407760620117,0.9200000166893005,0.2083333283662796,0.335565984249115,0.0,0.0,0.011710526421666145,89,0,0.011986532248556614
Actor,2,5.0,oracle_all_splits_upper_bound,,,0.9200000166893005,0.30000001192092896,0.27407407760620117,0.9200000166893005,0.25,0.335565984249115,0.0,0.0001315789413638413,0.011710526421666145,89,0,0.011986532248556614
Actor,2,5.0,train_low_conf_off,low,0.20458099246025085,0.9200000166893005,0.30000001192092896,0.2622222304344177,0.9200000166893005,0.25,0.27662423253059387,0.0001315789413638413,0.0001315789413638413,0.0021052630618214607,2,1,0.001212121220305562
Actor,2,5.0,train_low_margin_off,low,0.001385912299156189,0.8799999952316284,0.2866666615009308,0.2632996737957001,0.8799999952316284,0.1666666716337204,0.28198257088661194,0.00039473685319535434,0.00092105264775455,0.01894736848771572,23,14,0.009562289342284203
Actor,2,5.0,train_high_structural_score,high,0.4382533133029938,0.8799999952316284,0.2866666615009308,0.260606050491333,0.8799999952316284,0.1666666716337204,0.2685867249965668,0.0026315790601074696,0.0031578948255628347,0.19644737243652344,89,100,0.0556228943169117
Actor,2,5.0,train_high_logit_delta,high,0.19168362021446228,0.9200000166893005,0.2933333218097687,0.2611447870731354,0.9200000166893005,0.2083333283662796,0.2712658941745758,0.0007894737063907087,0.0001315789413638413,0.0147368423640728,1,8,0.00282828276976943
Actor,2,5.0,train_high_learned_acceptance,high,0.2747751474380493,0.9200000166893005,0.30000001192092896,0.2646464705467224,0.9200000166893005,0.25,0.2886805236339569,0.0014473684132099152,0.0013157895300537348,0.10223684459924698,61,42,0.025589225813746452
Actor,2,5.0,train_low_conf_on,low,0.20341822504997253,0.9200000166893005,0.2933333218097687,0.26208755373954773,0.9200000166893005,0.2083333283662796,0.2759544551372528,0.0001315789413638413,0.0,0.0,0,0,0.0
Actor,2,5.0,train_low_margin_on,low,0.0002754777669906616,0.9200000166893005,0.2933333218097687,0.26168349385261536,0.9200000166893005,0.2083333283662796,0.27394506335258484,0.0001315789413638413,0.0,0.0044736843556165695,5,8,0.004175084177404642
