run,best_epoch,best_test_acc,final_test_acc,final_macro_f1,final_pattern_only_train_acc,final_pattern_only_test_acc,final_test_delta_ce,final_train_delta_ce,final_gate_mean,final_gate_open_ratio
p22_v02_full,32.0,0.35178351402282715,0.3444034357865651,0.3022468189398448,0.7550724744796753,0.3175188899040222,0.002426834932217995,0.034719061106443405,nan,nan
v02_basis_only,1.0,0.3523106674353282,0.35213495294253033,0.3068897972504298,0.7318840622901917,0.35283781091372174,-0.0024210087722167373,0.009590214739243189,nan,nan
v02_no_transition,83.66666666666667,0.3561764160792033,0.35108065605163574,0.30373820662498474,0.726086954275767,0.33965911467870075,0.004634740296751261,0.03389837654928366,nan,nan
p22_v03,4.0,0.3523106674353282,0.3523106674353282,0.3070816268523534,0.7318840622901917,0.3551221291224162,-0.0010366923719023664,0.007981307649364075,0.8038903673489889,0.9685258467992147
