dataset,strategy,runs,mean_train_acc,mean_val_acc,mean_test_acc,mean_train_pool_acc,mean_val_pool_acc,mean_test_pool_acc,mean_test_pool_accepted_ratio,mean_test_pool_fixed,mean_test_pool_broken
Actor,oracle_all_splits_upper_bound,3,0.5924956401189169,0.23111110925674438,0.2573571056127548,0.5924956401189169,0.20484848817189535,0.2846635381380717,0.0,0.0,0.0
Actor,oracle_test_upper_bound,3,0.5924956401189169,0.23111110925674438,0.2573571056127548,0.5924956401189169,0.20484848817189535,0.2846635381380717,0.0,0.0,0.0
Actor,prompt_off,3,0.5924956401189169,0.23111110925674438,0.2573571056127548,0.5924956401189169,0.20484848817189535,0.2846635381380717,0.0,0.0,0.0
Actor,prompt_on_all_pool,3,0.5924956401189169,0.23111110925674438,0.2573571056127548,0.5924956401189169,0.20484848817189535,0.2846635381380717,0.1857017527023951,0.0,0.0
Actor,train_high_learned_acceptance,3,0.5924956401189169,0.23111110925674438,0.2573571056127548,0.5924956401189169,0.20484848817189535,0.2846635381380717,0.185482457280159,0.0,0.0
Actor,train_high_logit_delta,3,0.5924956401189169,0.23111110925674438,0.2573571056127548,0.5924956401189169,0.20484848817189535,0.2846635381380717,0.1857017527023951,0.0,0.0
Actor,train_high_structural_score,3,0.5924956401189169,0.23111110925674438,0.2573571056127548,0.5924956401189169,0.20484848817189535,0.2846635381380717,0.1857017527023951,0.0,0.0
Actor,train_low_conf_off,3,0.5924956401189169,0.23111110925674438,0.2573571056127548,0.5924956401189169,0.20484848817189535,0.2846635381380717,0.18530701597531637,0.0,0.0
Actor,train_low_conf_on,3,0.5924956401189169,0.23111110925674438,0.2573571056127548,0.5924956401189169,0.20484848817189535,0.2846635381380717,0.18530701597531637,0.0,0.0
Actor,train_low_margin_off,3,0.5924956401189169,0.23111110925674438,0.2573571056127548,0.5924956401189169,0.20484848817189535,0.2846635381380717,0.18539473414421082,0.0,0.0
Actor,train_low_margin_on,3,0.5924956401189169,0.23111110925674438,0.2573571056127548,0.5924956401189169,0.20484848817189535,0.2846635381380717,0.18539473414421082,0.0,0.0
