dataset,seed,selected_message_scale,strategy,direction,threshold,train_acc,val_acc,test_acc,train_pool_acc,val_pool_acc,test_pool_acc,train_pool_accepted_ratio,val_pool_accepted_ratio,test_pool_accepted_ratio,test_pool_fixed,test_pool_broken,test_prediction_change_ratio
Actor,0,0.0,prompt_off,,,0.9293193817138672,0.25333333015441895,0.24646292626857758,0.9293193817138672,0.1818181872367859,0.2852037250995636,0.0,0.0,0.0,0,0,0.0
Actor,0,0.0,prompt_on_all_pool,,,0.9293193817138672,0.25333333015441895,0.24646292626857758,0.9293193817138672,0.1818181872367859,0.2852037250995636,0.05026315897703171,0.0043421052396297455,0.18407894670963287,0,0,0.0
Actor,0,0.0,oracle_test_upper_bound,,,0.9293193817138672,0.25333333015441895,0.24646292626857758,0.9293193817138672,0.1818181872367859,0.2852037250995636,0.0,0.0,0.0,0,0,0.0
Actor,0,0.0,oracle_all_splits_upper_bound,,,0.9293193817138672,0.25333333015441895,0.24646292626857758,0.9293193817138672,0.1818181872367859,0.2852037250995636,0.0,0.0,0.0,0,0,0.0
Actor,0,0.0,train_low_conf_off,low,0.9997112154960632,0.9293193817138672,0.25333333015441895,0.24646292626857758,0.9293193817138672,0.1818181872367859,0.2852037250995636,0.05026315897703171,0.0043421052396297455,0.18315789103507996,0,0,0.0
Actor,0,0.0,train_low_margin_off,low,0.9994851350784302,0.9293193817138672,0.25333333015441895,0.24646292626857758,0.9293193817138672,0.1818181872367859,0.2852037250995636,0.05026315897703171,0.0043421052396297455,0.18315789103507996,0,0,0.0
Actor,0,0.0,train_high_structural_score,high,0.0,0.9293193817138672,0.25333333015441895,0.24646292626857758,0.9293193817138672,0.1818181872367859,0.2852037250995636,0.05026315897703171,0.0043421052396297455,0.18407894670963287,0,0,0.0
Actor,0,0.0,train_high_logit_delta,high,0.0,0.9293193817138672,0.25333333015441895,0.24646292626857758,0.9293193817138672,0.1818181872367859,0.2852037250995636,0.05026315897703171,0.0043421052396297455,0.18407894670963287,0,0,0.0
Actor,0,0.0,train_high_learned_acceptance,high,0.11375358700752258,0.9293193817138672,0.25333333015441895,0.24646292626857758,0.9293193817138672,0.1818181872367859,0.2852037250995636,0.05026315897703171,0.0043421052396297455,0.18407894670963287,0,0,0.0
Actor,0,0.0,train_low_conf_on,low,0.9997112154960632,0.9293193817138672,0.25333333015441895,0.24646292626857758,0.9293193817138672,0.1818181872367859,0.2852037250995636,0.05026315897703171,0.0043421052396297455,0.18315789103507996,0,0,0.0
Actor,0,0.0,train_low_margin_on,low,0.9994851350784302,0.9293193817138672,0.25333333015441895,0.24646292626857758,0.9293193817138672,0.1818181872367859,0.2852037250995636,0.05026315897703171,0.0043421052396297455,0.18315789103507996,0,0,0.0
Actor,1,0.0,prompt_off,,,0.5890052318572998,0.23999999463558197,0.2662705183029175,0.5890052318572998,0.27272728085517883,0.30403968691825867,0.0,0.0,0.0,0,0,0.0
Actor,1,0.0,prompt_on_all_pool,,,0.5890052318572998,0.23999999463558197,0.2662705183029175,0.5890052318572998,0.27272728085517883,0.30403968691825867,0.05026315897703171,0.0043421052396297455,0.18565788865089417,0,0,0.0
Actor,1,0.0,oracle_test_upper_bound,,,0.5890052318572998,0.23999999463558197,0.2662705183029175,0.5890052318572998,0.27272728085517883,0.30403968691825867,0.0,0.0,0.0,0,0,0.0
Actor,1,0.0,oracle_all_splits_upper_bound,,,0.5890052318572998,0.23999999463558197,0.2662705183029175,0.5890052318572998,0.27272728085517883,0.30403968691825867,0.0,0.0,0.0,0,0,0.0
Actor,1,0.0,train_low_conf_off,low,0.543460488319397,0.5890052318572998,0.23999999463558197,0.2662705183029175,0.5890052318572998,0.27272728085517883,0.30403968691825867,0.05026315897703171,0.0043421052396297455,0.1855263113975525,0,0,0.0
Actor,1,0.0,train_low_margin_off,low,0.35133999586105347,0.5890052318572998,0.23999999463558197,0.2662705183029175,0.5890052318572998,0.27272728085517883,0.30403968691825867,0.05026315897703171,0.0043421052396297455,0.18565788865089417,0,0,0.0
Actor,1,0.0,train_high_structural_score,high,3.973643103449831e-08,0.5890052318572998,0.23999999463558197,0.2662705183029175,0.5890052318572998,0.27272728085517883,0.30403968691825867,0.05026315897703171,0.0043421052396297455,0.18565788865089417,0,0,0.0
Actor,1,0.0,train_high_logit_delta,high,0.0,0.5890052318572998,0.23999999463558197,0.2662705183029175,0.5890052318572998,0.27272728085517883,0.30403968691825867,0.05026315897703171,0.0043421052396297455,0.18565788865089417,0,0,0.0
Actor,1,0.0,train_high_learned_acceptance,high,0.11107400059700012,0.5890052318572998,0.23999999463558197,0.2662705183029175,0.5890052318572998,0.27272728085517883,0.30403968691825867,0.05026315897703171,0.0043421052396297455,0.1850000023841858,0,0,0.0
Actor,1,0.0,train_low_conf_on,low,0.543460488319397,0.5890052318572998,0.23999999463558197,0.2662705183029175,0.5890052318572998,0.27272728085517883,0.30403968691825867,0.05026315897703171,0.0043421052396297455,0.1855263113975525,0,0,0.0
Actor,1,0.0,train_low_margin_on,low,0.35133999586105347,0.5890052318572998,0.23999999463558197,0.2662705183029175,0.5890052318572998,0.27272728085517883,0.30403968691825867,0.05026315897703171,0.0043421052396297455,0.18565788865089417,0,0,0.0
Actor,2,0.0,prompt_off,,,0.2591623067855835,0.20000000298023224,0.2593378722667694,0.2591623067855835,0.1599999964237213,0.2647472023963928,0.0,0.0,0.0,0,0,0.0
Actor,2,0.0,prompt_on_all_pool,,,0.2591623067855835,0.20000000298023224,0.2593378722667694,0.2591623067855835,0.1599999964237213,0.2647472023963928,0.05026315897703171,0.003289473708719015,0.18736842274665833,0,0,0.0
Actor,2,0.0,oracle_test_upper_bound,,,0.2591623067855835,0.20000000298023224,0.2593378722667694,0.2591623067855835,0.1599999964237213,0.2647472023963928,0.0,0.0,0.0,0,0,0.0
Actor,2,0.0,oracle_all_splits_upper_bound,,,0.2591623067855835,0.20000000298023224,0.2593378722667694,0.2591623067855835,0.1599999964237213,0.2647472023963928,0.0,0.0,0.0,0,0,0.0
Actor,2,0.0,train_low_conf_off,low,0.22236722707748413,0.2591623067855835,0.20000000298023224,0.2593378722667694,0.2591623067855835,0.1599999964237213,0.2647472023963928,0.05026315897703171,0.0031578948255628347,0.18723684549331665,0,0,0.0
Actor,2,0.0,train_low_margin_off,low,0.01888386905193329,0.2591623067855835,0.20000000298023224,0.2593378722667694,0.2591623067855835,0.1599999964237213,0.2647472023963928,0.05026315897703171,0.003289473708719015,0.18736842274665833,0,0,0.0
Actor,2,0.0,train_high_structural_score,high,0.0,0.2591623067855835,0.20000000298023224,0.2593378722667694,0.2591623067855835,0.1599999964237213,0.2647472023963928,0.05026315897703171,0.003289473708719015,0.18736842274665833,0,0,0.0
Actor,2,0.0,train_high_logit_delta,high,0.0,0.2591623067855835,0.20000000298023224,0.2593378722667694,0.2591623067855835,0.1599999964237213,0.2647472023963928,0.05026315897703171,0.003289473708719015,0.18736842274665833,0,0,0.0
Actor,2,0.0,train_high_learned_acceptance,high,0.2678662836551666,0.2591623067855835,0.20000000298023224,0.2593378722667694,0.2591623067855835,0.1599999964237213,0.2647472023963928,0.05026315897703171,0.003289473708719015,0.18736842274665833,0,0,0.0
Actor,2,0.0,train_low_conf_on,low,0.22236722707748413,0.2591623067855835,0.20000000298023224,0.2593378722667694,0.2591623067855835,0.1599999964237213,0.2647472023963928,0.05026315897703171,0.0031578948255628347,0.18723684549331665,0,0,0.0
Actor,2,0.0,train_low_margin_on,low,0.01888386905193329,0.2591623067855835,0.20000000298023224,0.2593378722667694,0.2591623067855835,0.1599999964237213,0.2647472023963928,0.05026315897703171,0.003289473708719015,0.18736842274665833,0,0,0.0
