seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,mean_prompt_edge_weight,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_message_scale,prompt_message_norm,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch
0,85.0,0.2549952566623688,0.24527539908885956,0.26213130354881287,0.24448633193969727,0.4797740876674652,0.7469165921211243,0.2,0.2081686407327652,0.010979359038174152,8,1896,0.06306380033493042,0.06306380033493042,1.0,0.03153190016746521,0.6962078809738159,0.9576078653335571,1.2168571949005127,3.868274450302124,0.38759303092956543,1.2207083702087402,0.1207449659705162,0.24337144196033478,0.06299715489149094,0.06282629072666168,0.06316801905632019,5.0,weighted_mean,1.2207083702087402,0.0,0.0,0.0,"[36101, 948, 948]",0.0,0.0,0.008424319326877594,False,100
1,15.0,0.3139866888523102,0.24127379367128016,0.2526165544986725,0.22691336572170256,0.4975675046443939,0.830351710319519,0.2,0.20860782265663147,0.010979359038174152,8,1900,0.03910472244024277,0.052139632403850555,0.75,0.019552361220121384,0.337218701839447,0.834570050239563,0.23594969511032104,0.9081094264984131,0.3389780521392822,0.23646792769432068,0.08845031261444092,0.04718994349241257,0.052154120057821274,0.05218890309333801,0.052119337022304535,5.0,weighted_mean,0.23646792769432068,0.0,0.0,0.0,"[36101, 950, 950]",0.0,0.0,0.009784022346138954,True,55
2,70.0,0.22787821292877197,0.22366548776626588,0.21693624556064606,0.20627042055130004,0.48500820994377136,0.712523877620697,0.2,0.20948617160320282,0.010979359038174152,8,1908,0.06059855595231056,0.06059855595231056,1.0,0.030299276113510132,0.691094696521759,0.9355248808860779,1.14143967628479,3.8421316146850586,0.4860113561153412,1.1449296474456787,0.14809755980968475,0.2282879650592804,0.06040101870894432,0.060896582901477814,0.05990545451641083,5.0,weighted_mean,1.1449296474456787,0.0,0.0,0.0,"[36101, 954, 954]",0.0,0.0,0.008018262684345245,False,100
