seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_delta_eps,prompt_correction_loss,prompt_anti_harm_loss,prompt_correction_supervised_count,prompt_correction_harmful_count,prompt_correction_target_norm,prompt_delta_logit_norm,prompt_delta_logit_label_alignment,harmful_prompt_delta_ratio,prompt_message_help_loss,prompt_message_help_query_loss,prompt_class_anti_harm_loss,class_balanced_mean_delta_ce,class_balanced_positive_delta_ratio,query_class_balanced_mean_delta_ce,query_class_balanced_positive_delta_ratio,message_help_supervised_count,message_help_query_supervised_count,message_help_class_count,message_help_query_class_count,message_help_margin,message_help_class_balanced,prompt_class_anti_harm_floor,utility_receive_gate_loss,utility_receive_gate_query_loss,utility_gate_supervised_count,utility_gate_query_supervised_count,utility_gate_positive_count,utility_gate_query_positive_count,utility_gate_negative_count,utility_gate_query_negative_count,utility_gate_ignored_count,utility_gate_query_ignored_count,utility_gate_target_mean,utility_gate_query_target_mean,utility_gate_delta_corr_train,utility_gate_query_delta_corr,query_proto_alignment_loss,query_proto_supervised_count,query_proto_class_count,query_proto_mean_delta_dist,query_proto_positive_ratio,support_query_enabled,support_count,query_count,train_support_ratio,use_utility_receive_gate,utility_receive_gate_mean,utility_receive_gate_min,utility_receive_gate_max,utility_receive_gate_floor,benefit_gate_mean,benefit_gate_min,benefit_gate_max,use_hard_receive_gate,hard_receive_ratio,hard_receive_selected_ratio,receive_gate_mean,receive_gate_min,receive_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,dominant_prompt_slot_ratio,active_prompt_slot_count@0.05,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,correction_norm,node_to_prompt_update_norm,raw_prompt_update_norm,unbounded_prompt_update_norm,prompt_update_clip_ratio,bounded_correction_clip_ratio,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,bounded_prompt_update,max_prompt_update_norm,prompt_update_bound_mode,receiver_version,prompt_fusion,prompt_slot_head_count,prototype_direction_strength_mean,prototype_direction_normalize,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_mean_delta_ce_train_pool,utility_positive_delta_ratio_train_pool,utility_mean_delta_ce_val_pool,utility_positive_delta_ratio_val_pool,utility_mean_delta_ce_test_pool,utility_positive_delta_ratio_test_pool,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,1.0,0.11262025684118271,0.053691531717777255,0.2603282332420349,0.19690186381340027,0.5002496838569641,0.9984169006347656,0.2,0.2403947412967682,0.05026315897703171,16,7308,0.005014018155634403,0.05014017969369888,0.1,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.32466915249824524,0.3437442481517792,0.3315865993499756,0.99974524974823,0.0013788552023470402,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,267.0,115.0,0.6989528795811518,1.0,0.5500001311302185,0.5500000715255737,0.5500000715255737,0.10000000149011612,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.5500001311302185,0.550000011920929,0.5500001311302185,1.6096302270889282,1.4770031157240737e-05,0.2591623067855835,0.1666666716337204,0.2664310932159424,0.211361668796636,0.5116996727883816,0.00271241320297122,0.002737883711233735,0.24999965727329254,0.9747978448867798,0.1004902720451355,7.0,0.00491501297801733,0.09827114641666412,0.0,0.004925360903143883,0.004925360903143883,0.0,0.01966005191206932,0.00491501297801733,0.0,0.0,0.1503753811120987,0.10027032345533371,0.20048043131828308,0.20048043131828308,0.25,0.25,weighted_mean,1.0,0.10000000149011612,norm_clip,v4_multi_expert_residual,classifier_directional_residual,16.0,0.049958374351263046,1.0,1.0,0.0,0.004925360903143883,0.0,0.0,0.0,"[30019, 3654, 3654]",0.0,0.0,0.0010412633419036865,True,40,0.25,0.02034841664135456,0.8272251486778259,1.3418681621551514,1.3215196132659912,0.02034841664135456,0.8272251486778259,0.006697523407638073,0.5,0.007070594467222691,0.5032028555870056,0.0,0.2506541609764099
0,75.0,0.2583474814891815,0.2331004559993744,0.2596208155155182,0.2349396288394928,0.4756726622581482,0.9855241179466248,0.2,0.23855262994766235,0.05026315897703171,16,7252,0.06141285225749016,0.06141285225749016,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.33817198872566223,0.6438196897506714,0.018008287996053696,0.6445443630218506,0.024437163025140762,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003146519884467125,0.0,0.0,0.0,0.047847457230091095,0.9069857597351074,0.0,115.0,0.0,5.0,0.005,1.0,0.0,0.0,0.6053031086921692,0.0,34.0,0.0,24.0,0.0,10.0,0.0,81.0,0.0,0.7058823704719543,0.0,0.10071272403001785,0.006308888550847769,115.0,5.0,3.146585731883533e-05,0.4338119626045227,1.0,267.0,115.0,0.6989528795811518,1.0,0.7958322763442993,0.25327813625335693,0.9812420606613159,0.10000000149011612,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.7958321571350098,0.25327813625335693,0.9812420606613159,0.7116907835006714,0.0495898611843586,0.8507853150367737,0.1818181872367859,0.26680973172187805,0.7564278704612365,0.6131704896688461,0.1306832879781723,0.31245794892311096,0.7407667636871338,0.9895076155662537,0.1064043641090393,13.0,0.022974278777837753,0.25760263204574585,0.0,0.023022646084427834,0.023022646084427834,0.0,0.06163948029279709,0.030819740146398544,0.19393381476402283,0.19393381476402283,0.18084844946861267,0.12176648527383804,0.2399304211139679,0.2399304211139679,0.5,0.5,weighted_mean,1.0,0.10000000149011612,norm_clip,v4_multi_expert_residual,classifier_directional_residual,16.0,0.049958374351263046,1.0,1.0,0.0,0.023022646084427834,0.0,0.0,0.0,"[30019, 3626, 3626]",0.0,0.0,0.0021285563707351685,False,80,0.5,0.052387822419404984,0.945026159286499,0.7559614777565002,0.7035736441612244,0.052387822419404984,0.945026159286499,-0.04009746015071869,0.2571428716182709,-0.03050645813345909,0.3268955647945404,0.0,-0.10025186836719513
1,70.0,0.27518391609191895,0.2373342379927635,0.2700905501842499,0.23879788666963578,0.47764909267425537,0.9847735166549683,0.2,0.23947368562221527,0.05026315897703171,16,7280,0.06059855595231056,0.06059855595231056,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.28845247626304626,0.6911619901657104,0.020385457202792168,0.6248565912246704,0.025144614279270172,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032592236530035734,0.0,0.0,0.0,0.03799232095479965,0.878267765045166,0.0,115.0,0.0,5.0,0.005,1.0,0.0,0.0,0.4745570123195648,0.0,37.0,0.0,24.0,0.0,13.0,0.0,78.0,0.0,0.6486486196517944,0.0,0.44095274806022644,0.007151077501475811,115.0,5.0,-0.0012892887461930513,0.4389743208885193,1.0,267.0,115.0,0.6989528795811518,1.0,0.8298750519752502,0.22740837931632996,0.96539306640625,0.10000000149011612,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.8298749923706055,0.22740837931632996,0.96539306640625,0.8569894433021545,0.1045098528265953,0.7853403091430664,0.3103448152542114,0.3144073784351349,0.6760285313972743,0.5818085223436356,0.14202900230884552,0.3054993450641632,0.6983221173286438,0.988009512424469,0.1028979942202568,13.0,0.022494420409202576,0.4369382858276367,0.0,0.022541776299476624,0.022541776299476624,0.0,0.10470905900001526,0.026177264750003815,0.16681985557079315,0.16681985557079315,0.18022066354751587,0.12023162841796875,0.240209698677063,0.240209698677063,0.25,0.25,weighted_mean,1.0,0.10000000149011612,norm_clip,v4_multi_expert_residual,classifier_directional_residual,16.0,0.049958374351263046,1.0,1.0,0.0,0.022541776299476624,0.0,0.0,0.0,"[30019, 3640, 3640]",0.0,0.0,0.00251571461558342,False,80,0.25,0.04104957357048988,0.8821989297866821,0.7847867012023926,0.7437371611595154,0.04104957357048988,0.8821989297866821,-0.039282191544771194,0.3636363744735718,-0.03364142030477524,0.4204545319080353,0.0,0.04063262790441513
1,80.0,0.269100159406662,0.2369220346212387,0.269100159406662,0.2369220346212387,0.47313857078552246,0.952763557434082,0.2,0.24013157188892365,0.05026315897703171,16,7300,0.06223461404442787,0.06223461404442787,1.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.24179324507713318,0.7309544086456299,0.02725233882665634,0.602168619632721,0.024926532059907913,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005509714595973492,0.0,0.0,0.0,0.032915230840444565,0.8400911092758179,0.0,115.0,0.0,5.0,0.005,1.0,0.0,0.0,0.6145237684249878,0.0,39.0,0.0,24.0,0.0,15.0,0.0,76.0,0.0,0.6153846383094788,0.0,0.16484080255031586,0.007157707121223211,115.0,5.0,-0.001001410884782672,0.3975156843662262,1.0,267.0,115.0,0.6989528795811518,1.0,0.8010504841804504,0.30329787731170654,0.9421067833900452,0.10000000149011612,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.8010504245758057,0.30329787731170654,0.9421067833900452,0.851691722869873,0.11004455387592316,0.7801046967506409,0.3448275923728943,0.3231966197490692,0.7145508282356176,0.5874533616006374,0.13874830305576324,0.3013339042663574,0.7350610494613647,0.9825251698493958,0.10725442320108414,11.0,0.022926924750208855,0.24362510442733765,0.0,0.022975191473960876,0.022975191473960876,0.0,0.05931638181209564,0.02965819090604782,0.17935924232006073,0.17935924232006073,0.1837451457977295,0.12331247329711914,0.24417781829833984,0.24417781829833984,0.5,0.5,weighted_mean,1.0,0.10000000149011612,norm_clip,v4_multi_expert_residual,classifier_directional_residual,16.0,0.049958374351263046,1.0,1.0,0.0,0.022975191473960876,0.0,0.0,0.0,"[30019, 3650, 3650]",0.0,0.0,0.004994489252567291,False,80,0.5,0.042361367493867874,0.9109947681427002,0.7744126319885254,0.7320513725280762,0.042361367493867874,0.9109947681427002,-0.035142816603183746,0.4482758641242981,-0.04103974252939224,0.3910891115665436,0.0,-0.0072760325856506824
2,1.0,0.25905489921569824,0.08323519588448107,0.2652801275253296,0.1945773545652628,0.4997500777244568,0.9986945986747742,0.2,0.24052631855010986,0.05026315897703171,16,7312,0.005014018155634403,0.05014017969369888,0.1,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.3382001519203186,0.35081642866134644,0.31098347902297974,0.9988590478897095,0.0013788555515930057,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,267.0,115.0,0.6989528795811518,1.0,0.5500001311302185,0.5500001907348633,0.5500001907348633,0.10000000149011612,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.5500001311302185,0.5500001311302185,0.5500002503395081,1.6093658208847046,1.8405913579044864e-05,0.2591623067855835,0.1785714328289032,0.26868829131126404,0.211361668796636,0.5329402722418308,0.003432710887864232,0.003603008110076189,0.24999943375587463,0.980232298374176,0.096275694668293,9.0,0.004873982165008783,0.09745076298713684,0.0,0.004884243011474609,0.004884243011474609,0.0,0.019495928660035133,0.004873982165008783,0.0,0.0,0.1503753811120987,0.10027032345533371,0.20048043131828308,0.20048043131828308,0.25,0.25,weighted_mean,1.0,0.10000000149011612,norm_clip,v4_multi_expert_residual,classifier_directional_residual,16.0,0.049958374351263046,1.0,1.0,0.0,0.004884243011474609,0.0,0.0,0.0,"[30019, 3656, 3656]",0.0,0.0,0.0014558974653482437,True,40,0.25,0.020654944702982903,0.8219895362854004,1.3250534534454346,1.3043984174728394,0.020654944702982903,0.8219895362854004,0.002634250558912754,0.5652173757553101,0.00916000735014677,0.5672268867492676,0.0,0.2371610403060913
2,1.0,0.25905489921569824,0.08323519588448107,0.2668364346027374,0.18787447549402714,0.499750018119812,0.9946133494377136,0.2,0.24197368323802948,0.05026315897703171,16,7356,0.005014018155634403,0.05014017969369888,0.1,1.0,1.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.33819055557250977,0.3508247137069702,0.31098470091819763,0.9988589286804199,0.0013788548531010747,1.0,1.0,1.0,0.0,0.10000000149011612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,267.0,115.0,0.6989528795811518,1.0,0.5500001311302185,0.550000011920929,0.550000011920929,0.10000000149011612,1.0,1.0,1.0,0.0,0.15000000596046448,1.0,0.5500001311302185,0.5499999523162842,0.5500000715255737,1.6093658208847046,1.8405913579044864e-05,0.2591623067855835,0.25925925374031067,0.25594404339790344,0.211361668796636,0.5329241640865803,0.003432659665122628,0.0036030560731887817,0.24999943375587463,0.9802286028862,0.09627953171730042,9.0,0.010042342357337475,0.10039367526769638,0.0,0.01006348431110382,0.01006348431110382,0.0,0.02008468471467495,0.010042342357337475,0.0,0.0,0.1503753811120987,0.10027032345533371,0.20048043131828308,0.20048043131828308,0.5,0.5,weighted_mean,1.0,0.10000000149011612,norm_clip,v4_multi_expert_residual,classifier_directional_residual,16.0,0.049958374351263046,1.0,1.0,0.0,0.01006348431110382,0.0,0.0,0.0,"[30019, 3678, 3678]",0.0,0.0,0.00288602989166975,True,40,0.5,0.030176332220435143,0.8429319262504578,1.3211660385131836,1.290989875793457,0.030176332220435143,0.8429319262504578,0.005900904070585966,0.48148149251937866,0.01115554478019476,0.5585331320762634,0.0,0.32740840315818787
