dataset,seed,selected_message_scale,strategy,direction,threshold,train_acc,val_acc,test_acc,train_pool_acc,val_pool_acc,test_pool_acc,train_pool_accepted_ratio,val_pool_accepted_ratio,test_pool_accepted_ratio,test_pool_fixed,test_pool_broken,test_prediction_change_ratio
Actor,0,5.0,prompt_off,,,0.5680628418922424,0.25333333015441895,0.2367006242275238,0.5680628418922424,0.2702702581882477,0.2539117932319641,0.0,0.0,0.0,0,0,0.0
Actor,0,5.0,prompt_on_all_pool,,,0.5052356123924255,0.2866666615009308,0.24688738584518433,0.5052356123924255,0.4054054021835327,0.30512091517448425,0.05026315897703171,0.004868421237915754,0.1850000023841858,282,210,0.1428975611925125
Actor,0,5.0,oracle_test_upper_bound,,,0.5680628418922424,0.25333333015441895,0.2765987515449524,0.5680628418922424,0.2702702581882477,0.4544807970523834,0.0,0.0,0.0371052622795105,282,0,0.03989813104271889
Actor,0,5.0,oracle_all_splits_upper_bound,,,0.8272251486778259,0.3266666531562805,0.2765987515449524,0.8272251486778259,0.5675675868988037,0.4544807970523834,0.013026315718889236,0.0014473684132099152,0.0371052622795105,282,0,0.03989813104271889
Actor,0,5.0,train_low_conf_off,low,0.22419136762619019,0.6230366230010986,0.2800000011920929,0.2451895922422409,0.6230366230010986,0.37837839126586914,0.2965860664844513,0.025131579488515854,0.0026315790601074696,0.0914473682641983,156,96,0.06975098699331284
Actor,0,5.0,train_low_margin_off,low,0.008679864928126335,0.6335078477859497,0.273333340883255,0.24221844971179962,0.6335078477859497,0.3513513505458832,0.2816500663757324,0.018421052023768425,0.0019736841786652803,0.0706578940153122,116,77,0.05616864562034607
Actor,0,5.0,train_high_structural_score,high,0.7015889286994934,0.5706806182861328,0.25333333015441895,0.23811544477939606,0.5706806182861328,0.2702702581882477,0.2610241770744324,0.0001315789413638413,0.0001315789413638413,0.00947368424385786,17,7,0.007215619552880526
Actor,0,5.0,train_high_logit_delta,high,4.269272327423096,0.5706806182861328,0.25333333015441895,0.23797397315502167,0.5706806182861328,0.2702702581882477,0.26031294465065,0.0017105262959375978,0.0005263157654553652,0.007236842066049576,17,8,0.00580079248175025
Actor,0,5.0,train_high_learned_acceptance,high,0.2837657034397125,0.5654450058937073,0.25999999046325684,0.23698358237743378,0.5654450058937073,0.29729729890823364,0.2553342878818512,0.0001315789413638413,0.0001315789413638413,0.0018421052955091,4,2,0.001980758272111416
Actor,0,5.0,train_low_conf_on,low,0.28794366121292114,0.5863874554634094,0.25333333015441895,0.23443689942359924,0.5863874554634094,0.2702702581882477,0.24253199994564056,0.006710526533424854,0.0007894737063907087,0.03526315838098526,37,53,0.024759478867053986
Actor,0,5.0,train_low_margin_on,low,0.004677413031458855,0.5759162306785583,0.25999999046325684,0.2357102483510971,0.5759162306785583,0.29729729890823364,0.24893313646316528,0.0017105262959375978,0.00039473685319535434,0.011710526421666145,12,19,0.009479343891143799
Actor,1,1.0,prompt_off,,,0.6020942330360413,0.25333333015441895,0.24490661919116974,0.6020942330360413,0.12121212482452393,0.2809388339519501,0.0,0.0,0.0,0,0,0.0
Actor,1,1.0,prompt_on_all_pool,,,0.5968586206436157,0.2933333218097687,0.2501414716243744,0.5968586206436157,0.3030303120613098,0.3072546124458313,0.05026315897703171,0.0043421052396297455,0.1850000023841858,205,168,0.09252971410751343
Actor,1,1.0,oracle_test_upper_bound,,,0.6020942330360413,0.25333333015441895,0.2739105820655823,0.6020942330360413,0.12121212482452393,0.4267425239086151,0.0,0.0,0.026973683387041092,205,0,0.029003961011767387
Actor,1,1.0,oracle_all_splits_upper_bound,,,0.7748690843582153,0.30000001192092896,0.2739105820655823,0.7748690843582153,0.3333333432674408,0.4267425239086151,0.008684210479259491,0.00092105264775455,0.026973683387041092,205,0,0.029003961011767387
Actor,1,1.0,train_low_conf_off,low,0.3017441928386688,0.6649214625358582,0.25999999046325684,0.25042444467544556,0.6649214625358582,0.1515151560306549,0.3086771070957184,0.026842106133699417,0.0019736841786652803,0.1092105284333229,147,108,0.06352575123310089
Actor,1,1.0,train_low_margin_off,low,0.05214883014559746,0.6649214625358582,0.2800000011920929,0.2509903907775879,0.6649214625358582,0.24242424964904785,0.3115220367908478,0.02342105284333229,0.0014473684132099152,0.09184210747480392,122,79,0.05149971693754196
Actor,1,1.0,train_high_structural_score,high,0.2857423424720764,0.6099476218223572,0.2933333218097687,0.2501414716243744,0.6099476218223572,0.3030303120613098,0.3072546124458313,0.031842105090618134,0.0043421052396297455,0.1850000023841858,205,168,0.09252971410751343
Actor,1,1.0,train_high_logit_delta,high,2.4170689582824707,0.6125654578208923,0.2933333218097687,0.248160719871521,0.6125654578208923,0.3030303120613098,0.29729729890823364,0.013421053066849709,0.0019736841786652803,0.09473684430122375,149,126,0.06479909271001816
Actor,1,1.0,train_high_learned_acceptance,high,0.2953716814517975,0.6439790725708008,0.273333340883255,0.24886813759803772,0.6439790725708008,0.21212121844291687,0.3008534908294678,0.012894736602902412,0.0015789474127814174,0.039605263620615005,50,22,0.017685342580080032
Actor,1,1.0,train_low_conf_on,low,0.26705825328826904,0.6020942330360413,0.25333333015441895,0.24476513266563416,0.6020942330360413,0.12121212482452393,0.2802276015281677,0.0017105262959375978,0.0,0.0038157894741743803,5,6,0.0028296548407524824
Actor,1,1.0,train_low_margin_on,low,0.01438299473375082,0.6073298454284668,0.25333333015441895,0.2433503121137619,0.6073298454284668,0.12121212482452393,0.27311521768569946,0.0034210525918751955,0.0002631578827276826,0.013289473950862885,5,16,0.007640067953616381
Actor,2,5.0,prompt_off,,,0.36125653982162476,0.20000000298023224,0.26174306869506836,0.36125653982162476,0.190476194024086,0.28061580657958984,0.0,0.0,0.0,0,0,0.0
Actor,2,5.0,prompt_on_all_pool,,,0.39005234837532043,0.2133333384990692,0.2632993757724762,0.39005234837532043,0.2857142984867096,0.28831350803375244,0.05026315897703171,0.00276315794326365,0.1880263090133667,67,56,0.045132994651794434
Actor,2,5.0,oracle_test_upper_bound,,,0.36125653982162476,0.20000000298023224,0.27122241258621216,0.36125653982162476,0.190476194024086,0.32750174403190613,0.0,0.0,0.008815789595246315,67,0,0.009479343891143799
