dataset,strategy,runs,mean_train_acc,mean_val_acc,mean_test_acc,mean_train_pool_acc,mean_val_pool_acc,mean_test_pool_acc,mean_test_pool_accepted_ratio,mean_test_pool_fixed,mean_test_pool_broken
Actor,oracle_all_splits_upper_bound,3,0.6762652695178986,0.2800000011920929,0.2739105820655823,0.6762652695178986,0.3955384095509847,0.4029083549976349,0.02429824508726597,184.66666666666666,0.0
Actor,oracle_test_upper_bound,3,0.5104712049166361,0.23555555442969003,0.2739105820655823,0.5104712049166361,0.1939861923456192,0.4029083549976349,0.02429824508726597,184.66666666666666,0.0
Actor,prompt_off,3,0.5104712049166361,0.23555555442969003,0.24778343737125397,0.5104712049166361,0.1939861923456192,0.27182214458783466,0.0,0.0,0.0
Actor,prompt_on_all_pool,3,0.49738219380378723,0.2644444406032562,0.25344274441401166,0.49738219380378723,0.331383337577184,0.300229678551356,0.18600877126057944,184.66666666666666,144.66666666666666
Actor,train_high_learned_acceptance,3,0.5340314110120138,0.248888889948527,0.24981135626633963,0.5340314110120138,0.26504427194595337,0.2819669544696808,0.0734649143802623,39.666666666666664,25.333333333333332
Actor,train_high_logit_delta,3,0.5261780122915903,0.25333333015441895,0.24990568061669668,0.5261780122915903,0.2863382895787557,0.282441109418869,0.09285088007648785,77.66666666666667,62.666666666666664
Actor,train_high_structural_score,3,0.5244327982266744,0.25333333015441895,0.2505187640587489,0.5244327982266744,0.2863382895787557,0.2855307658513387,0.12749999854713678,96.33333333333333,77.0
Actor,train_low_conf_off,3,0.5610820154349009,0.25111111005147296,0.25297113756338757,0.5610820154349009,0.27186928192774457,0.2978588938713074,0.11609649409850438,123.0,86.33333333333333
Actor,train_low_conf_on,3,0.5270506143569946,0.2399999996026357,0.24750046928723654,0.5270506143569946,0.22573222716649374,0.2703577031691869,0.07258771755732596,36.333333333333336,38.333333333333336
Actor,train_low_margin_off,3,0.5645724236965179,0.25555556019147235,0.2522637297709783,0.5645724236965179,0.2931632995605469,0.2942950626214345,0.08105263113975525,101.33333333333333,69.66666666666667
Actor,train_low_margin_on,3,0.5253054102261862,0.24222221970558167,0.24740615487098694,0.5253054102261862,0.2347412407398224,0.26988735795021057,0.05934210432072481,27.666666666666668,30.333333333333332
