seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch
0,65.0,0.3396320343017578,0.32143778800964357,0.33515664935112,0.31850009858608247,0.4797361195087433,0.9935217499732971,0.2,0.23847167193889618,0.05094422399997711,8,2172,0.05979172885417938,0.05979172885417938,1.0,1.0,0.33369776606559753,0.3345166742801666,0.33178555965423584,0.9999944567680359,0.0030281259678304195,0.2061985433101654,0.18821361660957336,0.23739954829216003,1.0,0.10000000149011612,0.10128913074731827,5.012033216189593e-05,0.0,0.0,0.0,0.0,116.0,0.0,0.4259726405143738,0.9985161423683167,0.0,0.0,0.0,0.0,0.0,0.0,0.060013990849256516,0.060013990849256516,0.060013990849256516,0.0,0.0,weighted_mean,1.0,1.0,0.0,0.0,0.0,0.0,"[36101, 1086, 1086]",0.0,0.0,0.0,False,80
1,35.0,0.36946791410446167,0.3261299952864647,0.3460964560508728,0.3354174643754959,0.4913848638534546,0.9999808073043823,0.2,0.24110671877861023,0.05094422399997711,8,2196,0.05510825663805008,0.05510825663805008,1.0,1.0,0.33450570702552795,0.3337506651878357,0.33174362778663635,0.9999943375587463,0.002760431496426463,0.20047572255134583,0.19242778420448303,0.22660991549491882,1.0,0.10000000149011612,0.10018214583396912,1.0471276254975237e-06,0.0,0.0,0.0,0.0,116.0,0.0,0.4431370198726654,0.9996758699417114,0.0,0.0,0.0,0.0,0.0,0.0,0.05521122366189957,0.05521122366189957,0.05521122366189957,0.0,0.0,weighted_mean,1.0,1.0,0.0,0.0,0.0,0.0,"[36101, 1098, 1098]",0.0,0.0,0.0,True,75
2,60.0,0.3092988431453705,0.2912252753973007,0.30581799149513245,0.28731762170791625,0.4814531207084656,0.9956528544425964,0.2,0.24418093264102936,0.05094422399997711,8,2224,0.058992378413677216,0.058992378413677216,1.0,1.0,0.33421507477760315,0.33558008074760437,0.33020487427711487,0.9999787211418152,0.002970839152112603,0.20608361065387726,0.18579652905464172,0.23863765597343445,1.0,0.10000000149011612,0.10071942210197449,3.883105455315672e-05,0.0,0.0,0.0,0.0,116.0,0.0,0.3917880654335022,0.9973379373550415,0.0,0.0,0.0,0.0,0.0,0.0,0.05919243022799492,0.05919243022799492,0.05919243022799492,0.0,0.0,weighted_mean,1.0,1.0,0.0,0.0,0.0,0.0,"[36101, 1112, 1112]",0.0,0.0,0.0,False,80
