seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,num_class_prompt_slots,residual_prompt_count,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch
0,65.0,0.2613186240196228,0.2307244896888733,0.2601867616176605,0.235595640540123,0.48130759596824646,0.9960407614707947,0.2,0.23907895386219025,0.05026315897703171,8,7268,0.05979172885417938,0.05979172885417938,1.0,1.0,1.0,5.0,2.0,0.0018339904490858316,0.9964494109153748,0.0017165896715596318,0.022320833057165146,0.0029945222195237875,0.20620638132095337,0.18445925414562225,0.23730292916297913,1.0,0.10000000149011612,0.10016510635614395,3.810242924373597e-05,0.0,0.0,0.0,0.0,382.0,0.0,0.0,0.4586806893348694,0.03193696588277817,0.9319371581077576,0.23333333432674408,0.2982206344604492,0.8390962426663338,0.31617336720228195,0.1288907378911972,0.5837622284889221,0.8479868173599243,0.9818344116210938,0.0,0.0,0.0,0.0,0.0,0.0,0.060013990849256516,0.060013990849256516,0.060013990849256516,0.0,0.0,weighted_mean,1.0,1.0,0.0,0.0,0.0,0.0,"[30019, 3634, 3634]",0.0,0.0,0.0,False,80
1,35.0,0.2662705183029175,0.19463264830410482,0.27320316433906555,0.2408313050866127,0.4918171167373657,0.999991238117218,0.2,0.2402631640434265,0.05026315897703171,8,7304,0.05510825663805008,0.05510825663805008,1.0,1.0,1.0,5.0,2.0,0.007943769916892052,0.9860348701477051,0.0060214088298380375,0.07307187467813492,0.0027614485006779432,0.20550702512264252,0.18860584497451782,0.23107804358005524,1.0,0.10000000149011612,0.10021905601024628,3.303526318632066e-05,0.0,0.0,0.0,0.0,382.0,0.0,0.0,0.6353014707565308,0.08393959701061249,0.9083769917488098,0.24242424964904785,0.33238837122917175,0.8242412722549579,0.2995768263936043,0.15308526158332825,0.5461522340774536,0.8241587281227112,0.9827159643173218,0.0,0.0,0.0,0.0,0.0,0.0,0.05521122366189957,0.05521122366189957,0.05521122366189957,0.0,0.0,weighted_mean,1.0,1.0,0.0,0.0,0.0,0.0,"[30019, 3652, 3652]",0.0,0.0,0.0,True,75
2,5.0,0.26004526019096375,0.09012727290391923,0.25990378856658936,0.08316022627986967,0.49996745586395264,1.0,0.2,0.24157895147800446,0.05026315897703171,8,7344,0.012676122598350048,0.05070449039340019,0.25,1.0,1.0,5.0,2.0,0.31977471709251404,0.3358553946018219,0.34436988830566406,0.9995707273483276,0.0006351869669742882,0.26450231671333313,0.2266879677772522,0.27016064524650574,1.0,0.10000000149011612,0.10021786391735077,0.00433943048119545,1.3755463361740112,43.0,7.0,36.0,339.0,0.1627907007932663,-2.8915183065691963e-06,1.5725361108779907,1.002742886543274,0.27225130796432495,0.17391304671764374,0.245981827378273,0.210550026620797,0.366494357585907,0.010126241482794285,0.010706938803195953,0.3332400619983673,0.9896395206451416,2.3225750283017987e-06,0.0004568920121528208,0.0014589582569897175,2.3172310648078565e-06,7.3994351623696275e-06,2.322575164726004e-05,0.05071725323796272,0.05071725323796272,0.05071725323796272,0.10000000149011612,0.1,weighted_mean,1.0,1.0,2.3172310648078565e-06,0.0,0.0,0.0,"[30019, 3672, 3672]",0.0,0.0,0.0,True,45
