dataset,strategy,runs,mean_train_acc,mean_val_acc,mean_test_acc,mean_train_pool_acc,mean_val_pool_acc,mean_test_pool_acc,mean_test_pool_accepted_ratio,mean_test_pool_fixed,mean_test_pool_broken
squirrel,oracle_all_splits_upper_bound,3,0.9438058733940125,0.2844444413979848,0.2407098114490509,0.9438058733940125,0.37859363357226056,0.27723096311092377,0.014997115824371576,78.0,0.0
squirrel,oracle_test_upper_bound,3,0.8812260627746582,0.26222222050031024,0.2407098114490509,0.8812260627746582,0.26847805579503375,0.27723096311092377,0.014997115824371576,78.0,0.0
squirrel,prompt_off,3,0.8812260627746582,0.26222222050031024,0.2244258870681127,0.8812260627746582,0.26847805579503375,0.19615704814592996,0.0,0.0,0.0
squirrel,prompt_on_all_pool,3,0.9348658919334412,0.2800000011920929,0.23208072781562805,0.9348658919334412,0.35567211111386615,0.234276349345843,0.1853489726781845,78.0,41.333333333333336
squirrel,train_high_learned_acceptance,3,0.9361430207888285,0.2800000011920929,0.23208072781562805,0.9361430207888285,0.35567211111386615,0.234276349345843,0.1852207879225413,78.0,41.333333333333336
squirrel,train_high_logit_delta,3,0.9361430406570435,0.2800000011920929,0.23208072781562805,0.9361430406570435,0.35567211111386615,0.234276349345843,0.14663846790790558,74.66666666666667,38.0
squirrel,train_high_structural_score,3,0.9361430207888285,0.2800000011920929,0.23208072781562805,0.9361430207888285,0.35567211111386615,0.234276349345843,0.1853489726781845,78.0,41.333333333333336
squirrel,train_low_conf_off,3,0.9348658919334412,0.2800000011920929,0.23208072781562805,0.9348658919334412,0.35567211111386615,0.234276349345843,0.18528488278388977,78.0,41.333333333333336
squirrel,train_low_conf_on,3,0.9348658919334412,0.2800000011920929,0.23208072781562805,0.9348658919334412,0.35567211111386615,0.234276349345843,0.18502851823965707,78.0,41.333333333333336
squirrel,train_low_margin_off,3,0.9348658919334412,0.2800000011920929,0.23208072781562805,0.9348658919334412,0.35567211111386615,0.234276349345843,0.18528488278388977,78.0,41.333333333333336
squirrel,train_low_margin_on,3,0.9348658919334412,0.2800000011920929,0.23208072781562805,0.9348658919334412,0.35567211111386615,0.234276349345843,0.18502851823965707,78.0,41.333333333333336
