dataset,strategy,runs,mean_train_acc,mean_val_acc,mean_test_acc,mean_train_pool_acc,mean_val_pool_acc,mean_test_pool_acc,mean_test_pool_accepted_ratio,mean_test_pool_fixed,mean_test_pool_broken
Actor,oracle_all_splits_upper_bound,3,0.8280977408091227,0.27111110587914783,0.2683456043402354,0.8280977408091227,0.3729645609855652,0.406384398539861,0.025350877394278843,192.66666666666666,0.0
Actor,oracle_test_upper_bound,3,0.5794066190719604,0.24222221970558167,0.2683456043402354,0.5794066190719604,0.22042624652385712,0.406384398539861,0.025350877394278843,192.66666666666666,0.0
Actor,prompt_off,3,0.5794066190719604,0.24222221970558167,0.2410865823427836,0.5794066190719604,0.22042624652385712,0.2699684153000514,0.0,0.0,0.0
Actor,prompt_on_all_pool,3,0.7155322829882304,0.262222225467364,0.250707412759463,0.7155322829882304,0.3302203118801117,0.31807635227839154,0.18592105309168497,192.66666666666666,124.66666666666667
Actor,train_high_learned_acceptance,3,0.7417103052139282,0.2533333400885264,0.24820788701375326,0.7417103052139282,0.2746647546688716,0.30575649936993915,0.12964912317693233,139.66666666666666,89.33333333333333
Actor,train_high_logit_delta,3,0.7321116924285889,0.2533333400885264,0.2497641940911611,0.7321116924285889,0.2746647546688716,0.31346572438875836,0.1317543846865495,152.0,90.66666666666667
Actor,train_high_structural_score,3,0.7260034879048666,0.262222225467364,0.250707412759463,0.7260034879048666,0.3302203118801117,0.31807635227839154,0.18592105309168497,192.66666666666666,124.66666666666667
Actor,train_low_conf_off,3,0.7373472849527994,0.25777778526147205,0.25,0.7373472849527994,0.3024425307909648,0.3145831028620402,0.14767543971538544,173.0,110.0
Actor,train_low_conf_on,3,0.7260034879048666,0.2533333400885264,0.24707602461179098,0.7260034879048666,0.2746647546688716,0.3001776933670044,0.12320175340088706,129.0,86.66666666666667
Actor,train_low_margin_off,3,0.7443281014760336,0.25777778526147205,0.24943406879901886,0.7443281014760336,0.3024425307909648,0.31179935733477276,0.1458771899342537,168.66666666666666,109.66666666666667
Actor,train_low_margin_on,3,0.7251308957735697,0.2533333400885264,0.24707602461179098,0.7251308957735697,0.2746647546688716,0.3001776933670044,0.1228508750597636,128.33333333333334,86.0
