seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,pool_only_prompt_update,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch
0,55.0,0.2361169159412384,0.23536005914211272,0.23444676399230957,0.2337576925754547,0.4846133589744568,0.9975450038909912,0.2,0.24187655746936798,0.050182655453681946,8,5032,0.058200493454933167,0.058200493454933167,1.0,1.0,0.33497393131256104,0.33494386076927185,0.3300822079181671,0.9999784231185913,0.002914651297032833,0.15416954457759857,0.14122073352336884,0.2002543807029724,1.0,0.10000000149011612,0.10015898197889328,3.967820157413371e-05,0.0,0.0,0.0,0.0,261.0,0.0,0.3331093490123749,0.9973915815353394,0.0,0.00038891599979251623,0.008554892614483833,0.0,0.0,2.3436803530785255e-05,0.058379314839839935,0.058379314839839935,0.058379314839839935,0.0,0.0,weighted_mean,1.0,0.0,0.0,0.0,0.0,"[217073, 2516, 2516]",0.0,0.0,0.0,True,95
1,35.0,0.24258872866630554,0.2418370097875595,0.2400835007429123,0.23830044269561768,0.4923422932624817,0.9999851584434509,0.2,0.24072293937206268,0.050182655453681946,8,5008,0.05510825663805008,0.05510825663805008,1.0,1.0,0.33505430817604065,0.33462539315223694,0.3303202986717224,0.9999813437461853,0.0027730194851756096,0.11365120112895966,0.09819314628839493,0.1796731799840927,1.0,0.10000000149011612,0.1006389781832695,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.4180649518966675,0.9995575547218323,0.0,0.0008197061833925545,0.03709673509001732,0.0,0.0,4.8333040467696264e-05,0.05521122366189957,0.05521122366189957,0.05521122366189957,0.0,0.0,weighted_mean,1.0,0.0,0.0,0.0,0.0,"[217073, 2504, 2504]",0.0,0.0,0.0,True,75
2,20.0,0.23215031623840332,0.19409913718700408,0.22943632304668427,0.2270711302757263,0.4961509108543396,0.9999996423721313,0.2,0.24033840000629425,0.050182655453681946,8,5000,0.05286979675292969,0.05286979675292969,1.0,1.0,0.3357604444026947,0.33042076230049133,0.33381879329681396,0.9999800324440002,0.002643489744514227,0.10187195241451263,0.0843707025051117,0.16312621533870697,1.0,0.10000000149011612,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.41160741448402405,0.9989845156669617,0.0,0.0021585673093795776,0.0501125231385231,0.0,0.0,0.00011813885066658258,0.052924491465091705,0.052924491465091705,0.052924491465091705,0.0,0.0,weighted_mean,1.0,0.0,0.0,0.0,0.0,"[217073, 2500, 2500]",0.0,0.0,0.0,True,60
