seed,selected_route_budget,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,route_semantic,route_structural,route_null,prompt_message_norm,structural_neighbor_var_norm,structural_degree_mean,structural_similarity_mean,structural_cache_hit,gamma,init_adapted_x_delta,init_logit_delta
0,0.35,1.0,0.1325252503156662,0.10973335355520249,0.13804714381694794,0.11840577758848667,0.3310278058052063,0.33033421635627747,0.33863794803619385,0.018125440925359726,0.0,0.0,0.0,0.0,0.0502086877822876,0.0,0.0
1,0.35,10.0,0.16579124331474304,0.08501121057197451,0.1667340099811554,0.08448306573554873,0.30599236488342285,0.3074643313884735,0.38654330372810364,0.07970153540372849,0.0,0.0,0.0,0.0,0.05214568227529526,0.0,0.0
2,0.35,1.0,0.26370370388031006,0.17138620242476463,0.26397305727005005,0.16788246892392636,0.3312390446662903,0.33143776655197144,0.33732321858406067,0.01706133782863617,0.0,0.0,0.0,0.0,0.0502086877822876,0.0,0.0
3,0.35,1.0,0.21306397020816803,0.11247708662413061,0.2134680151939392,0.11259547825902701,0.33056730031967163,0.3295890688896179,0.33984360098838806,0.016932176426053047,0.0,0.0,0.0,0.0,0.0502086877822876,0.0,0.0
4,0.35,10.0,0.18127946555614471,0.0942927572876215,0.18127946555614471,0.0965332418680191,0.30818116664886475,0.310089647769928,0.38172921538352966,0.09333247691392899,0.0,0.0,0.0,0.0,0.0521467886865139,0.0,0.0
