seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,early_stopped,stopped_epoch
0,499.0,0.6289078593254089,0.5803790369204113,0.6329679489135742,0.586063700062888,0.23177215456962585,0.751328706741333,False,500
1,500.0,0.64149409532547,0.633982811655317,0.64149409532547,0.633982811655317,0.22624437510967255,0.6435421109199524,False,500
2,497.0,0.39951279759407043,0.41448129287787844,0.4039788842201233,0.41698082855769564,0.2215288132429123,0.7212145924568176,False,500
3,500.0,0.48518067598342896,0.5115380116871425,0.48518067598342896,0.5115380116871425,0.21938687562942505,0.6473874449729919,False,500
4,494.0,0.6017052531242371,0.5965599715709686,0.598051130771637,0.5960703960486821,0.21957187354564667,0.7110629677772522,False,500
