seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,pool_only_prompt_update,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch
0,60.0,0.2507074177265167,0.21019633561372758,0.24547255039215088,0.20420083105564119,0.48309391736984253,0.8723360300064087,0.2,0.23868420720100403,0.05026315897703171,8,7256,0.058992378413677216,0.058992378413677216,1.0,1.0,0.3158591687679291,0.44694286584854126,0.23719801008701324,0.9567065238952637,0.007625611964613199,0.2585287094116211,0.1930965632200241,0.39765438437461853,0.0044858637265861034,0.1447998285293579,359.0,326.0,33.0,23.0,0.9080780148506165,0.40499404072761536,0.8612683415412903,0.9375311136245728,7.6428093910217285,0.5292547941207886,0.9384512901306152,0.06329165399074554,0.4687655568122864,0.060460202395915985,0.05950838327407837,0.0614120215177536,2.0,2.0,weighted_mean,1.0,0.9384512901306152,0.0,0.0,0.0,"[30019, 3628, 3628]",0.0,0.0,0.0025740712881088257,True,100
1,65.0,0.2490096241235733,0.20854401588439941,0.2528296411037445,0.2068982020020485,0.4803520143032074,0.9079647660255432,0.2,0.23894736170768738,0.05026315897703171,8,7264,0.05979172885417938,0.05979172885417938,1.0,1.0,0.20156100392341614,0.6573390364646912,0.1410999596118927,0.783233106136322,0.01024535484611988,0.34270140528678894,0.27513784170150757,0.48627424240112305,0.020749883726239204,0.09374061226844788,366.0,342.0,24.0,16.0,0.9344262480735779,0.48295319080352783,0.9022691249847412,0.4647132158279419,7.4619293212890625,0.21493397653102875,0.46518877148628235,0.012921509332954884,0.4647132158279419,0.06122490018606186,0.06006982922554016,0.062379974871873856,1.0,1.0,weighted_mean,1.0,0.46518877148628235,0.0,0.0,0.0,"[30019, 3632, 3632]",0.0,0.0,0.0015183072537183762,False,100
2,35.0,0.25240519642829895,0.21139196939766408,0.23556876182556152,0.1890166789293289,0.490881085395813,0.9066509008407593,0.2,0.24210526049137115,0.05026315897703171,8,7360,0.05510825663805008,0.05510825663805008,1.0,1.0,0.27765658497810364,0.45362019538879395,0.2687232196331024,0.9671006202697754,0.010855100117623806,0.3939554691314697,0.3117024600505829,0.6332381367683411,0.03623957186937332,0.3193542957305908,336.0,259.0,77.0,46.0,0.7708333134651184,0.4729004204273224,0.9185930490493774,0.3601868152618408,3.221081256866455,0.25208067893981934,0.3605366349220276,0.027858629822731018,0.1800934076309204,0.05560123920440674,0.05523878335952759,0.05596369132399559,2.0,2.0,weighted_mean,1.0,0.3605366349220276,0.0,0.0,0.0,"[30019, 3680, 3680]",0.0,0.0,0.0038149282336235046,True,75
