tag,override,best_acc_mean,best_acc_std,best_f1_mean,best_f1_std,best_auroc_mean,best_auroc_std,best_auprc_mean,best_auprc_std,final_acc_mean,final_acc_std,final_f1_mean,final_f1_std,contrastive_loss_mean,contrastive_loss_std,topology_loss_mean,topology_loss_std
edge010_baseline,"{""loss"": {""lambda_ctr"": 0.0, ""lambda_fus"": 0.0, ""use_original_contrastive"": false, ""use_original_topology_fusion"": false}}",0.37761378288269043,0.011750663800970678,0.36427232424418127,0.0122639268376515,0.6484785755475362,0.010870685616328871,0.31106564501921335,0.007220206545493435,0.37216658393541974,0.013446576898156721,0.3596025864283244,0.013478657421182054,0.0,0.0,0.0,0.0
ctr0005,"{""loss"": {""lambda_ctr"": 0.0005, ""lambda_fus"": 0.0, ""use_original_contrastive"": true, ""use_original_topology_fusion"": false}}",0.37761378288269043,0.011750663800970678,0.3642579893271128,0.01225327064270958,0.6485413988431294,0.010899480732170043,0.31136620342731475,0.00703242958251123,0.37286944190661114,0.012814024621089843,0.3603236714998881,0.012817180086334127,4.980166753133138,0.015471686032198104,0.0,0.0
ctr001,"{""loss"": {""lambda_ctr"": 0.001, ""lambda_fus"": 0.0, ""use_original_contrastive"": true, ""use_original_topology_fusion"": false}}",0.37532946467399597,0.016406650530159824,0.35524110396703085,0.015848748006663846,0.6579828302065531,0.015531076233760757,0.31270707746346793,0.007888991778833277,0.3654893636703491,0.012069535706567599,0.34284088760614395,0.01958436372159519,5.005512237548828,0.043247281344833764,0.0,0.0
ctr005,"{""loss"": {""lambda_ctr"": 0.005, ""lambda_fus"": 0.0, ""use_original_contrastive"": true, ""use_original_topology_fusion"": false}}",0.379195233186086,0.011308796954648223,0.3619333187739054,0.009417084837202622,0.6570304155349732,0.013466050886601313,0.31314341723918915,0.008285481995506362,0.36425936222076416,0.012739103825903094,0.34327203184366223,0.01861967524285625,4.97774616877238,0.03421517409795005,0.0,0.0
ctr010,"{""loss"": {""lambda_ctr"": 0.01, ""lambda_fus"": 0.0, ""use_original_contrastive"": true, ""use_original_topology_fusion"": false}}",0.3806009391943614,0.010516571485944927,0.3652211308479309,0.010002450227166788,0.6582626064618428,0.01428171229217991,0.31361441512902577,0.00826378971255349,0.3658408025900523,0.012526461881687555,0.3458194876710574,0.017892174470650123,4.951305389404297,0.02215994801931805,0.0,0.0
fus0005,"{""loss"": {""lambda_ctr"": 0.0, ""lambda_fus"": 0.0005, ""use_original_contrastive"": false, ""use_original_topology_fusion"": true}}",0.3723422884941101,0.009967917289613246,0.35663489301999407,0.007706978219029541,0.6539045055707295,0.012614407347000377,0.31083999971548715,0.008653102911251844,0.3726937274138133,0.010176373620270206,0.35303926616907116,0.007566334312335185,0.0,0.0,5.248715082804362,1.2129661078844791
fus001,"{""loss"": {""lambda_ctr"": 0.0, ""lambda_fus"": 0.001, ""use_original_contrastive"": false, ""use_original_topology_fusion"": true}}",0.3733965853850047,0.00866548916957453,0.3582424422105153,0.00722981838857394,0.6555193463961283,0.013826122311235887,0.3113635987043381,0.009260337625323216,0.364435076713562,0.014818601772173607,0.3450776110092799,0.01791259660962971,0.0,0.0,4.376560211181641,0.513126730896604
ctr001_fus0005,"{""loss"": {""lambda_ctr"": 0.001, ""lambda_fus"": 0.0005, ""use_original_contrastive"": true, ""use_original_topology_fusion"": true}}",0.37216658393541974,0.01116592433857054,0.35674580534299216,0.008820806012181697,0.6539974172910055,0.012646602424440998,0.31083858907222744,0.008781469559867326,0.3726937274138133,0.009927571870789971,0.35298369576533634,0.008138400292711815,4.971656322479248,0.03724683765015693,5.183788140614827,1.169177324590513
