dataset,strategy,runs,mean_train_acc,mean_val_acc,mean_test_acc,mean_train_pool_acc,mean_val_pool_acc,mean_test_pool_acc,mean_test_pool_accepted_ratio,mean_test_pool_fixed,mean_test_pool_broken
chameleon,oracle_all_splits_upper_bound,3,1.0,0.3177777777115504,0.30177609125773114,1.0,0.4668109615643819,0.4311266541481018,0.027667983900755644,63.0,0.0
chameleon,oracle_test_upper_bound,3,0.9466666579246521,0.2844444513320923,0.30177609125773114,0.9466666579246521,0.23780664056539536,0.4311266541481018,0.027667983900755644,63.0,0.0
chameleon,prompt_off,3,0.9466666579246521,0.2844444513320923,0.2718046307563782,0.9466666579246521,0.23780664056539536,0.28391427795092267,0.0,0.0,0.0
chameleon,prompt_on_all_pool,3,1.0,0.30444444715976715,0.2773549010356267,1.0,0.37518038352330524,0.31088992953300476,0.1869418869415919,63.0,51.333333333333336
chameleon,train_high_learned_acceptance,3,1.0,0.30444444715976715,0.2773549010356267,1.0,0.37518038352330524,0.31088992953300476,0.18679549296696982,63.0,51.333333333333336
chameleon,train_high_logit_delta,3,1.0,0.30444444715976715,0.2773549010356267,1.0,0.37518038352330524,0.31088992953300476,0.1854779670635859,63.0,51.333333333333336
chameleon,train_high_structural_score,3,1.0,0.30444444715976715,0.2773549010356267,1.0,0.37518038352330524,0.31088992953300476,0.1869418869415919,63.0,51.333333333333336
chameleon,train_low_conf_off,3,1.0,0.30444444715976715,0.2773549010356267,1.0,0.37518038352330524,0.31088992953300476,0.18664910395940146,63.0,51.333333333333336
chameleon,train_low_conf_on,3,1.0,0.30444444715976715,0.2773549010356267,1.0,0.37518038352330524,0.31088992953300476,0.1865027149518331,63.0,51.333333333333336
chameleon,train_low_margin_off,3,1.0,0.30444444715976715,0.2773549010356267,1.0,0.37518038352330524,0.31088992953300476,0.1869418869415919,63.0,51.333333333333336
chameleon,train_low_margin_on,3,1.0,0.30444444715976715,0.2773549010356267,1.0,0.37518038352330524,0.31088992953300476,0.186356320977211,63.0,51.333333333333336
