dataset,seed,selected_message_scale,strategy,direction,threshold,train_acc,val_acc,test_acc,train_pool_acc,val_pool_acc,test_pool_acc,train_pool_accepted_ratio,val_pool_accepted_ratio,test_pool_accepted_ratio,test_pool_fixed,test_pool_broken,test_prediction_change_ratio
chameleon,0,0.5,prompt_off,,,1.0,0.3400000035762787,0.31018078327178955,1.0,0.30000001192092896,0.33571428060531616,0.0,0.0,0.0,0,0,0.0
chameleon,0,0.5,prompt_on_all_pool,,,1.0,0.3466666638851166,0.3044719398021698,1.0,0.3333333432674408,0.30714285373687744,0.010979359038174152,0.013175230473279953,0.18445323407649994,12,24,0.03092293068766594
chameleon,0,0.5,oracle_test_upper_bound,,,1.0,0.3400000035762787,0.3158896267414093,1.0,0.30000001192092896,0.3642857074737549,0.0,0.0,0.005270092282444239,12,0,0.005708848591893911
chameleon,0,0.5,oracle_all_splits_upper_bound,,,1.0,0.3466666638851166,0.3158896267414093,1.0,0.3333333432674408,0.3642857074737549,0.0,0.0004391743568703532,0.005270092282444239,12,0,0.005708848591893911
chameleon,0,0.5,train_low_conf_off,low,0.9991519451141357,1.0,0.3466666638851166,0.3044719398021698,1.0,0.3333333432674408,0.30714285373687744,0.010979359038174152,0.013175230473279953,0.18445323407649994,12,24,0.03092293068766594
chameleon,0,0.5,train_low_margin_off,low,0.9986149668693542,1.0,0.3466666638851166,0.3044719398021698,1.0,0.3333333432674408,0.30714285373687744,0.010979359038174152,0.013175230473279953,0.18445323407649994,12,24,0.03092293068766594
chameleon,0,0.5,train_high_structural_score,high,0.08236099034547806,1.0,0.3466666638851166,0.3044719398021698,1.0,0.3333333432674408,0.30714285373687744,0.010979359038174152,0.013175230473279953,0.18445323407649994,12,24,0.03092293068766594
chameleon,0,0.5,train_high_logit_delta,high,0.10191439837217331,1.0,0.3466666638851166,0.3044719398021698,1.0,0.3333333432674408,0.30714285373687744,0.010979359038174152,0.012296881526708603,0.18137900531291962,12,24,0.03092293068766594
chameleon,0,0.5,train_high_learned_acceptance,high,0.3117177486419678,1.0,0.3466666638851166,0.3044719398021698,1.0,0.3333333432674408,0.30714285373687744,0.010979359038174152,0.013175230473279953,0.18445323407649994,12,24,0.03092293068766594
chameleon,0,0.5,train_low_conf_on,low,0.9991945624351501,1.0,0.3466666638851166,0.3044719398021698,1.0,0.3333333432674408,0.30714285373687744,0.010979359038174152,0.013175230473279953,0.18445323407649994,12,24,0.03092293068766594
