seed,best_epoch,best_test_acc,best_test_macro_f1,final_test_acc,final_test_macro_f1,alpha,branch_cosine,rho,pool_ratio,train_pool_ratio,prompt_node_count,prompt_edge_count,edge_scale,raw_edge_scale,edge_scale_multiplier,use_multiview_routing,use_class_aware_routing,use_pattern_prompt_bank,use_receiver_only_prompt,use_benefit_gate,num_class_prompt_slots,residual_prompt_count,class_key_proto_init_coverage,pattern_key_init_coverage,semantic_view_weight,structural_view_weight,role_view_weight,view_gate_entropy,mean_prompt_edge_weight,pool_acceptance_mean,pool_acceptance_min,pool_acceptance_max,use_hard_acceptance,hard_acceptance_ratio,hard_acceptance_selected_ratio,prompt_acceptance_budget,prompt_acceptance_supervision,acceptance_supervised_count,acceptance_positive_count,acceptance_negative_count,acceptance_ignored_count,acceptance_target_mean,acceptance_score_delta_mean,ce_delta_positive_ratio_train,ce_delta_negative_ratio_train,prompt_helpful_acceptance_precision_train,prompt_harmful_rejection_precision_train,prompt_benefit_supervision,benefit_supervised_count,benefit_positive_count,benefit_negative_count,benefit_ignored_count,mean_delta_ce_train_pool,positive_delta_ratio_train_pool,benefit_weight_delta_corr_train,benefit_label_strategy_quantile,benefit_quantile_fraction,benefit_positive_threshold,benefit_negative_threshold,benefit_delta_eps,prompt_correction_loss,prompt_anti_harm_loss,prompt_correction_supervised_count,prompt_correction_harmful_count,prompt_correction_target_norm,prompt_delta_logit_norm,prompt_delta_logit_label_alignment,harmful_prompt_delta_ratio,benefit_gate_mean,benefit_gate_min,benefit_gate_max,use_hard_receive_gate,hard_receive_ratio,hard_receive_selected_ratio,receive_gate_mean,receive_gate_min,receive_gate_max,class_route,key_proto,class_router_hit_rate_train,class_router_hit_rate_val,class_router_hit_rate_test,prompt_label_purity_train,residual_prompt_usage_ratio,same_class_route_compactness,different_class_route_separation,prompt_usage_entropy,prompt_usage_full_entropy,prompt_msg_norm,prompt_to_original_msg_norm,node_to_prompt_msg_norm,prompt_to_original_update_norm,node_to_prompt_update_norm,raw_prompt_update_norm,unbounded_prompt_update_norm,prompt_update_clip_ratio,prompt_gate_mean,prompt_gate_node_to_prompt_mean,prompt_gate_prompt_to_node_mean,prompt_receiver_gate_mean,prompt_message_scale,selected_message_scale,prompt_message_norm,bounded_prompt_update,max_prompt_update_norm,prompt_update_bound_mode,receiver_version,prompt_fusion,pool_only_prompt_update,zero_init_prompt_messages,adapted_branch_delta_norm,capacity_routing_enabled,prompt_capacity,capacity_overflow_count,edge_type_counts,init_original_x_delta,init_logit_delta,init_logit_delta_full_edge_scale,early_stopped,stopped_epoch,diagnostic_message_scale,utility_mean_delta_ce,utility_positive_delta_ratio,utility_mean_ce_no_prompt,utility_mean_ce_prompt,utility_acceptance_delta_correlation,utility_structural_score_delta_correlation
0,75.0,0.2644312381744385,0.23750564008951186,0.2594793438911438,0.23296566009521485,0.4763783812522888,0.9843169450759888,0.2,0.23868420720100403,0.05026315897703171,8,3628,0.06148315966129303,0.06148315966129303,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3291008770465851,0.35552269220352173,0.3153764009475708,0.998869001865387,0.00393655663356185,0.2797892093658447,0.03751029819250107,0.9945025444030762,0.0,1.0,0.2797892093658447,0.007988386787474155,0.04811886325478554,63.0,57.0,6.0,319.0,0.9047619104385376,0.00035481268423609436,0.14921465968586387,0.015706806282722512,1.0,0.42857142857142855,0.03288883715867996,61.0,57.0,4.0,321.0,0.0004669161862693727,0.14921465968586387,0.671011745929718,1.0,0.2,0.0,0.0,0.0001,0.04896196722984314,0.00027930736541748047,52.0,1.0,0.4756666421890259,0.0010748078348115087,0.0009246623376384377,1.0,0.3079559803009033,0.04104149341583252,0.999710738658905,1.0,0.15000000596046448,0.15049614012241364,0.15782004594802856,0.0016093975864350796,0.9941744208335876,0.0,0.0,0.0,0.0,0.0,0.23849210611105146,1.0000000074505806,0.06260614097118378,0.09757928550243378,0.4455127716064453,0.9780450463294983,2.914488868555054e-05,0.0004912202712148428,0.0,2.9175567760830745e-05,0.0,0.00011657955474220216,2.914488868555054e-05,0.0,0.14962652325630188,0.06168249994516373,0.23757055401802063,0.23757055401802063,0.25,0.25,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,2.9175567760830745e-05,0.0,0.0,0.0,"[30019, 0, 3628]",0.0,0.0,2.3793429136276245e-05,False,80,0.25,7.597842341056094e-05,0.19109947979450226,0.7306576371192932,0.7305817008018494,0.7513430118560791,0.013377119787037373
0,80.0,0.25226372480392456,0.22987655103206633,0.25226372480392456,0.22987655103206633,0.47383061051368713,0.9734312891960144,0.2,0.238289475440979,0.05026315897703171,8,3622,0.0625612735748291,0.0625612735748291,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32181689143180847,0.3492479622364044,0.3289352059364319,0.999441921710968,0.004243586678057909,0.24017128348350525,0.02236359938979149,0.9960198998451233,0.0,1.0,0.24017128348350525,0.0005687184166163206,0.07784447818994522,76.0,67.0,9.0,306.0,0.8815789222717285,0.0016897516325116158,0.17539267015706805,0.02356020942408377,0.9830508474576272,0.47058823529411764,0.051233794540166855,73.0,67.0,6.0,309.0,0.001337289228104055,0.17539267015706805,0.6443286538124084,1.0,0.2,0.0,0.0,0.0001,0.04776358976960182,0.0034377712290734053,66.0,6.0,0.4779592454433441,0.005131936632096767,0.004405447281897068,1.0,0.3072500228881836,0.005744488909840584,0.9998190999031067,1.0,0.15000000596046448,0.1501932591199875,0.1471640169620514,0.00013062680955044925,0.9958275556564331,0.0,0.0,0.0,0.0,0.0,0.2700726030322443,0.9999999888241291,0.06735827773809433,0.11651603877544403,0.511658251285553,0.97423255443573,0.00014189118519425392,0.0011796262115240097,0.0,0.00014204054605215788,0.0,0.00028378237038850784,0.00014189118519425392,0.0,0.1516660451889038,0.06252950429916382,0.240802600979805,0.240802600979805,0.5,0.5,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.00014204054605215788,0.0,0.0,0.0,"[30019, 0, 3622]",0.0,0.0,4.7579407691955566e-05,False,80,0.5,0.0003409079508855939,0.1780104786157608,0.7388319373130798,0.7384910583496094,0.7756713628768921,0.0353640653192997
0,70.0,0.2632993757724762,0.2345629468560219,0.25594228506088257,0.23290134817361832,0.47847333550453186,0.9928316473960876,0.2,0.23947368562221527,0.05026315897703171,8,3640,0.06133356690406799,0.06133356690406799,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3317214548587799,0.351272314786911,0.3170062303543091,0.9991944432258606,0.004011207260191441,0.2756020128726959,0.041074227541685104,0.9829196929931641,0.0,1.0,0.2756020128726959,0.0062910569831728935,0.10395172983407974,60.0,51.0,9.0,322.0,0.8500000238418579,0.0056534577161073685,0.13350785340314136,0.02356020942408377,0.9761904761904762,0.4444444444444444,0.09510893374681473,59.0,51.0,8.0,323.0,0.0011974084191024303,0.13350785340314136,0.710423469543457,1.0,0.2,0.0,0.0,0.0001,0.04933201149106026,0.016564570367336273,51.0,8.0,0.5173317193984985,0.01574135571718216,0.013440077193081379,1.0,0.31018519401550293,0.038305483758449554,0.9999638795852661,1.0,0.15000000596046448,0.15000000596046448,0.14768263697624207,0.0016312054358422756,0.9828574061393738,0.0,0.0,0.0,0.0,0.0,0.23073618314051617,0.9999999552965164,0.057391490787267685,0.07182631641626358,0.48860499262809753,0.9614985585212708,0.0005049139144830406,0.0022247585002332926,0.0,0.0005054454086348414,0.0,0.000526835850905627,0.000526835850905627,0.007886434905230999,0.14884768426418304,0.060844000428915024,0.23685136437416077,0.23685136437416077,1.0,1.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.0005054454086348414,0.0,0.0,0.0,"[30019, 0, 3640]",0.0,0.0,9.514763951301575e-05,False,80,1.0,0.001346222241409123,0.16753926873207092,0.7444459795951843,0.7430996894836426,0.8294893503189087,0.07253311574459076
0,75.0,0.25806450843811035,0.23153618723154068,0.2596208155155182,0.23640462160110473,0.47563278675079346,0.985123872756958,0.2,0.23894736170768738,0.05026315897703171,8,3632,0.06223101168870926,0.06223101168870926,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32913729548454285,0.34629103541374207,0.32457172870635986,0.9996433258056641,0.003557265503332019,0.2033730298280716,0.04144981503486633,0.9939663410186768,0.0,1.0,0.2033730298280716,0.0,0.09698375314474106,76.0,67.0,9.0,306.0,0.8815789222717285,0.007252105977386236,0.17539267015706805,0.02356020942408377,1.0,0.2903225806451613,0.06937156617641449,75.0,67.0,8.0,307.0,0.001442724373191595,0.17539267015706805,0.7346778512001038,1.0,0.2,0.0,0.0,0.0001,0.05390285328030586,0.00866567250341177,67.0,8.0,0.5284603834152222,0.02004021219909191,0.016827907413244247,1.0,0.37099429965019226,0.013478771783411503,0.9707287549972534,1.0,0.15000000596046448,0.15033039450645447,0.11014223098754883,0.001241307589225471,0.9638698697090149,0.0,0.0,0.0,0.0,0.0,0.211361668796636,0.999999962747097,0.04551447927951813,0.0644952580332756,0.3287419080734253,0.9584166407585144,0.0006105006905272603,0.0012855965178459883,0.0,0.000611143303103745,0.0,0.00030773700564168394,0.0006154740112833679,0.004403259605169296,0.15065351128578186,0.06168249994516373,0.2396245300769806,0.2396245300769806,2.0,2.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.000611143303103745,0.0,0.0,0.0,"[30019, 0, 3632]",0.0,0.0,0.00019024312496185303,False,80,2.0,0.001689807279035449,0.18324607610702515,0.7366828322410583,0.7349929213523865,0.7595633864402771,0.022702131420373917
0,80.0,0.2526881694793701,0.2299635022878647,0.2526881694793701,0.2299635022878647,0.4725237190723419,0.9759438037872314,0.2,0.23842105269432068,0.05026315897703171,8,3624,0.062385790050029755,0.062385790050029755,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32724785804748535,0.35366591811180115,0.3190861940383911,0.9991141557693481,0.003843284910544753,0.2588428556919098,0.03389009088277817,0.9590101838111877,0.0,1.0,0.2588428556919098,0.0014089185278862715,0.07274216413497925,68.0,62.0,6.0,314.0,0.9117646813392639,0.007731880526989698,0.16230366492146597,0.015706806282722512,0.9803921568627451,0.29411764705882354,0.04155879095196724,65.0,61.0,4.0,317.0,0.0006797893438488245,0.15968586387434555,0.6265971064567566,1.0,0.2,0.0,0.0,0.0001,0.03543534129858017,0.02066514641046524,61.0,5.0,0.4380533695220947,0.02530859224498272,0.021755697205662727,1.0,0.3502594828605652,0.02561672404408455,0.9974439144134521,1.0,0.15000000596046448,0.1501103788614273,0.13463608920574188,0.0008756853058002889,0.9367225766181946,0.0,0.0,0.0,0.0,0.0,0.2358058788715723,0.9999999925494194,0.05290267616510391,0.07143670320510864,0.5250257849693298,0.9635459780693054,0.0007113030296750367,0.0007211529882624745,0.0,0.0007120517548173666,0.0,0.00017311850388068706,0.0008655925048515201,0.03266298770904541,0.15141986310482025,0.06252950429916382,0.24031022191047668,0.24031022191047668,5.0,5.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.0007120517548173666,0.0,0.0,0.0,"[30019, 0, 3624]",0.0,0.0,0.00046454742550849915,False,80,5.0,0.0013371487148106098,0.15706805884838104,0.7362439036369324,0.734906792640686,0.6841428279876709,0.11963662505149841
1,40.0,0.26853424310684204,0.19999764375388623,0.26740238070487976,0.23778321892023085,0.4901820421218872,0.9999619722366333,0.2,0.24065789580345154,0.05026315897703171,8,3658,0.0558723583817482,0.0558723583817482,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3291316032409668,0.340023010969162,0.330845445394516,0.9999066591262817,0.0030427200254052877,0.2988237738609314,0.2556842565536499,0.7214449048042297,0.0,1.0,0.2988237738609314,0.011324986815452576,0.22259551286697388,128.0,105.0,23.0,254.0,0.8203125,6.694602780044079e-05,0.27486910994764396,0.060209424083769635,0.9428571428571428,0.3275862068965517,0.42785972356796265,154.0,77.0,77.0,228.0,0.00017934085917659104,0.20157068062827224,0.6937424540519714,1.0,0.2,0.00014150142669677734,0.0,0.0001,0.11546575278043747,0.00024679824127815664,56.0,2.0,0.7580410242080688,0.00024089656653814018,0.00016832977416925132,1.0,0.3571474552154541,0.2663097381591797,0.9996763467788696,1.0,0.15000000596046448,0.15035538375377655,0.11526495963335037,0.06901859492063522,0.7197403311729431,0.0,0.0,0.0,0.0,0.0,0.22899931017601638,1.0000000074505806,0.05676719918847084,0.07943757623434067,0.3703870475292206,0.9693976640701294,1.088632780010812e-05,0.00019840465392917395,0.0,1.0897786523855757e-05,0.0,4.354531120043248e-05,1.088632780010812e-05,0.0,0.13784916698932648,0.05599058419466019,0.21970775723457336,0.21970775723457336,0.25,0.25,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,1.0897786523855757e-05,0.0,0.0,0.0,"[30019, 0, 3658]",0.0,0.0,1.9650906324386597e-05,True,80,0.25,2.7063073503086343e-05,0.1518324613571167,0.7704927325248718,0.770465612411499,0.680385410785675,0.11127790063619614
1,65.0,0.27051499485969543,0.23696846514940262,0.26867571473121643,0.2394727274775505,0.48003050684928894,0.993057906627655,0.2,0.23907895386219025,0.05026315897703171,8,3634,0.05993267893791199,0.05993267893791199,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33199310302734375,0.34141016006469727,0.326596736907959,0.9998467564582825,0.0041212718933820724,0.28977611660957336,0.05840612202882767,0.9808242321014404,0.0,1.0,0.28977611660957336,0.0032870532013475895,0.14157702028751373,76.0,64.0,12.0,306.0,0.8421052694320679,0.0010077847400680184,0.16753926701570682,0.031413612565445025,0.9795918367346939,0.4074074074074074,0.0900343656539917,74.0,63.0,11.0,308.0,0.0007993823965080082,0.1649214659685864,0.7711545825004578,1.0,0.2,0.0,0.0,0.0001,0.05064854025840759,0.0018476172117516398,63.0,6.0,0.515815258026123,0.003313124645501375,0.002446520607918501,1.0,0.6202682256698608,0.10886573046445847,0.9978273510932922,1.0,0.15000000596046448,0.15024766325950623,0.215596541762352,0.006526925601065159,0.972547173500061,0.0,0.0,0.0,0.0,0.0,0.2441708229426434,0.9999999813735485,0.09955659508705139,0.11988969892263412,0.5258024334907532,0.9342775344848633,0.00010276293323840946,0.0008841661037877202,0.0,0.00010287110490025952,0.0,0.00020552586647681892,0.00010276293323840946,0.0,0.1463521420955658,0.060013990849256516,0.23269030451774597,0.23269030451774597,0.5,0.5,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.00010287110490025952,0.0,0.0,0.0,"[30019, 0, 3634]",0.0,0.0,3.9268285036087036e-05,False,80,0.5,0.0001552501489641145,0.17277486622333527,0.7661705017089844,0.7660151720046997,0.7478914856910706,0.01661003567278385
1,75.0,0.26556310057640076,0.23773627281188964,0.269100159406662,0.2397015407681465,0.4752729833126068,0.9746744632720947,0.2,0.23960526287555695,0.05026315897703171,8,3642,0.062239013612270355,0.062239013612270355,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32615926861763,0.3552667498588562,0.3185740113258362,0.9989302158355713,0.0037709996104240417,0.28424063324928284,0.052415162324905396,0.9983419179916382,0.0,1.0,0.28424063324928284,0.006472645793110132,0.07316172868013382,67.0,60.0,7.0,315.0,0.89552241563797,0.0039762589149177074,0.15706806282722513,0.01832460732984293,1.0,0.35,0.06690307706594467,66.0,59.0,7.0,316.0,0.0011198956053704023,0.1544502617801047,0.5575413703918457,1.0,0.2,0.0,0.0,0.0001,0.024556783959269524,0.0023670049849897623,58.0,6.0,0.38473981618881226,0.018662650138139725,0.01389042753726244,1.0,0.4062109887599945,0.04892144724726677,0.9794498682022095,1.0,0.15000000596046448,0.15046676993370056,0.16662269830703735,0.0031739824917167425,0.9711709022521973,0.0,0.0,0.0,0.0,0.0,0.25421408142152985,1.0000000149011612,0.07754448801279068,0.1065167561173439,0.7129859924316406,0.9650475978851318,0.00047086109407246113,0.0019916014280170202,0.0,0.0004713567323051393,0.0,0.00047691870713606477,0.00047691870713606477,0.0013801262248307467,0.1506662368774414,0.06168249994516373,0.23964999616146088,0.23964999616146088,1.0,1.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.0004713567323051393,0.0,0.0,0.0,"[30019, 0, 3642]",0.0,0.0,7.853657007217407e-05,False,80,1.0,0.0007274762610904872,0.1518324613571167,0.7659872770309448,0.7652599215507507,0.712588906288147,0.06041022017598152
1,75.0,0.2682512700557709,0.23612779080867768,0.2678268253803253,0.23795680552721024,0.475163072347641,0.9740133881568909,0.2,0.23921053111553192,0.05026315897703171,8,3636,0.06222452223300934,0.06222452223300934,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.29637229442596436,0.40764307975769043,0.29598468542099,0.9879544377326965,0.002657452365383506,0.3397321403026581,0.08828393369913101,0.9927277565002441,0.0,1.0,0.3397321403026581,0.012812916189432144,0.22318679094314575,90.0,69.0,21.0,292.0,0.7666666507720947,0.005194251891225576,0.1806282722513089,0.0549738219895288,0.9016393442622951,0.5172413793103449,0.18733428418636322,88.0,68.0,20.0,294.0,0.0012245484394952655,0.17801047120418848,0.6905035972595215,1.0,0.2,0.0,0.0,0.0001,0.03978421166539192,0.012236137874424458,68.0,20.0,0.43609997630119324,0.02304062247276306,0.01683528907597065,1.0,0.2010568529367447,0.024335455149412155,0.9974830746650696,1.0,0.15000000596046448,0.15016502141952515,0.09582805633544922,0.003352222964167595,0.98802250623703,0.0,0.0,0.0,0.0,0.0,0.2248342700677331,1.0000000447034836,0.06909671425819397,0.08458690345287323,0.39685916900634766,0.9619531035423279,0.0004911032156087458,0.0010790256783366203,0.0,0.0004916201578453183,0.0,0.00025821750750765204,0.0005164350150153041,0.006703469902276993,0.15062552690505981,0.06168249994516373,0.2395685613155365,0.2395685613155365,2.0,2.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.0004916201578453183,0.0,0.0,0.0,"[30019, 0, 3636]",0.0,0.0,0.0001569986343383789,False,80,2.0,0.0010203500278294086,0.16492146253585815,0.7671487331390381,0.7661283612251282,0.6298589706420898,-0.013837190344929695
1,75.0,0.2661290466785431,0.23631927818059922,0.2700905501842499,0.23699654638767242,0.47480544447898865,0.9751567840576172,0.2,0.23960526287555695,0.05026315897703171,8,3642,0.06153801828622818,0.06153801828622818,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.33347782492637634,0.3318133056163788,0.33470889925956726,0.9999938011169434,0.004056339617818594,0.3111967146396637,0.04518291354179382,0.9950160384178162,0.0,1.0,0.3111967146396637,0.019403917714953423,0.05757562443614006,72.0,64.0,8.0,310.0,0.8888888955116272,0.006499786861240864,0.16753926701570682,0.020942408376963352,1.0,0.47058823529411764,0.04436296597123146,69.0,62.0,7.0,313.0,0.0005791147705167532,0.16230366492146597,0.6310277581214905,1.0,0.2,0.0,0.0,0.0001,0.024046171456575394,0.006287135183811188,63.0,8.0,0.3809763491153717,0.029646003618836403,0.02128021977841854,1.0,0.3016150891780853,0.011193214915692806,0.9945791959762573,1.0,0.15000000596046448,0.15046676993370056,0.17262493073940277,0.0007606985745951533,0.9831775426864624,0.0,0.0,0.0,0.0,0.0,0.211361668796636,0.9999999552965164,0.06740544736385345,0.10200704634189606,0.31978797912597656,0.9246442914009094,0.0007179331732913852,0.0007005059742368758,0.0,0.0007186888833530247,0.0,0.00016632229380775243,0.0008316114544868469,0.03332018852233887,0.14968129992485046,0.06168249994516373,0.2376801073551178,0.2376801073551178,5.0,5.0,weighted_sum,1.0,0.019999999552965164,norm_clip,v2_conditioned,residual_gate,1.0,0.0,0.0007186888833530247,0.0,0.0,0.0,"[30019, 0, 3642]",0.0,0.0,0.0003785528242588043,False,80,5.0,0.0010689892806112766,0.18324607610702515,0.7667752504348755,0.7657062411308289,0.6109352707862854,-0.010427889414131641
